Title,pIC50,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CHEMBL364376,1,3.6906,189.782,313.9656527,166.43,775.225,774.27556,13,4,14,4,11,2,17,54,96,5,0,6,4,2,2,2,2,2,2,0,0,0.459459459,30.00808876,18.0529824,13.99168982,9.698046562,6.764471054,17.67501792,13.55525404,9.446070247,6.638482896,-4.32,39.37546671,17.87698849,10.88896595,10.63357721,118.4300562,27.29151535,5.917906046,24.49261459,75.56433963,5.022633314,22.77787432,0,13.17124514,0,11.60093989,46.54453913,0,30.63076029,5.917906046,56.27513423,45.93754596,83.40364241,0,22.77787432,23.41529935,34.41779683,19.38889383,0,13.17124514,10.19736362,29.8000411,61.37257979,61.27417155,31.40141198,24.10709207,0,23.5958073,0,6.176298517,37,3,1,0,0,0,0,2,4,4,3,54,23,2,0,23,11,0,14,20,13,4,4,0,0,8,7,4,1,22,12,0,0,0,2,4,0,0,0,0,0,0
CHEMBL116954,1,3.2088,195.0548,299.2958791,152.17,713.901,713.3247052,11,4,11,4,8,2,12,51,98,5,1,6,4,1,2,1,1,1,3,0,1,0.41025641,30.09055886,18.92167971,16.58338141,11.56436778,8.834777639,17.48161638,14.67702455,9.667641452,7.231715398,-4.2,36.58619877,15.18666147,8.478482791,10.63357721,94.60203996,32.45400877,5.917906046,49.92422853,96.02146601,0,10.90292493,0,0,0,0,28.21992614,0,24.82268145,5.917906046,74.75969963,26.17902562,107.816337,0,0,32.74057554,20.846632,19.47296262,8.417796984,4.305215991,0,72.79640482,62.43594346,55.63974633,23.76647432,10.9373243,0,21.83765061,0,0,39,0,0,0,0,1,0,2,3,6,0,51,19,4,0,22,11,0,11,17,11,4,4,0,0,9,5,4,2,20,11,0,0,0,1,5,0,0,0,0,4,2
CHEMBL433165,1,2.6038,192.8498,298.5155271,165.06,714.889,714.3199542,12,4,11,4,9,2,13,51,97,5,0,6,4,1,2,2,1,1,2,0,1,0.421052632,29.96042219,18.77141082,16.45324474,11.47089926,8.739554872,17.33134749,14.54688787,9.574172932,7.136492631,-4.27,36.51852492,15.14333962,8.450104253,10.63357721,99.58601848,32.45400877,5.917906046,49.92422853,90.21605194,0,10.90292493,0,0,0,0,28.21992614,0,29.80665997,5.917906046,74.75969963,26.17902562,102.0109229,0,0,32.74057554,20.846632,24.45694114,8.417796984,4.305215991,0,42.46456948,74.56867759,68.03343347,23.76647432,10.9373243,0,21.83765061,0,0,38,0,0,0,0,1,0,2,4,6,0,51,19,4,0,22,11,0,11,18,12,4,4,0,0,9,5,4,2,20,11,0,0,0,1,5,0,0,0,0,4,2
CHEMBL128395,1,5.2179,201.384,330.4846728,132.19,824.128,822.2077861,11,4,13,4,9,2,17,55,95,5,0,6,4,1,2,2,1,2,2,0,0,0.394736842,31.699866,18.76946079,14.97590029,10.88867467,7.574735284,17.63556737,13.78353556,9.691828086,6.990082086,-3.89,40.76375184,17.92553667,10.70065159,15.37044016,105.135048,22.5546524,5.917906046,29.15301693,79.3846779,15.06789994,5.687386275,0,13.17124514,5.749511833,34.80281967,37.71023725,0,29.98447484,5.917906046,49.8543126,39.33066399,111.1429323,0,11.43689811,46.61717913,30.1505946,24.37287235,0,13.17124514,0,59.06828794,54.30038157,74.67990013,27.21370716,31.04695742,0,11.81435946,0,6.176298517,38,3,3,0,0,0,0,2,4,4,1,55,24,2,0,23,11,0,13,16,11,4,4,0,0,10,7,4,1,19,14,0,0,0,1,5,0,0,0,0,2,1
CHEMBL338142,1,4.5645,196.374,320.1814066,132.19,789.683,788.2467584,11,4,13,4,9,2,16,54,95,5,0,6,4,1,2,2,1,2,2,0,0,0.394736842,30.64332285,18.28584741,14.47294935,10.3654628,7.236850237,17.52991847,13.65854909,9.626433526,6.944518525,-4.18,39.51129016,17.52239522,10.3128572,15.37044016,105.135048,22.5546524,5.917906046,29.15301693,85.45104497,10.04526663,5.687386275,0,13.17124514,5.749511833,23.20187978,37.71023725,0,29.98447484,5.917906046,49.8543126,39.33066399,112.1866661,0,11.43689811,35.01623924,30.1505946,24.37287235,0,13.17124514,0,47.46734805,60.36674864,74.67990013,22.19107384,31.04695742,0,11.81435946,0,6.176298517,38,3,2,0,0,0,0,2,4,4,1,54,23,2,0,23,11,0,13,16,11,4,4,0,0,9,7,4,1,20,13,0,0,0,1,5,0,0,0,0,2,1
CHEMBL3706615,1,3.8657,198.398,322.378091,162.52,780.845,780.3458325,13,4,14,4,11,2,16,56,103,5,0,6,4,1,2,2,1,2,2,0,0,0.45,31.40757554,18.42952633,14.67046413,10.35372525,7.239494119,18.42952633,14.67046413,10.35372525,7.239494119,-5.03,40.62774507,17.4071382,9.847943524,20.10730312,112.6617244,21.54882124,5.917906046,43.32776376,83.67135234,0,11.32369891,0,13.17124514,11.49902367,0,46.86425115,0,30.40135371,5.917906046,62.69595585,46.44046154,96.2718283,0,22.82272258,11.81435946,34.73750884,24.37287235,4.983978521,13.17124514,0,48.53093655,44.38530327,49.42067822,37.18821715,36.79646925,5.760247419,17.70508338,0,6.176298517,40,3,0,0,0,0,0,2,4,5,2,56,25,2,0,23,11,0,14,20,13,4,4,0,0,10,7,4,2,21,12,0,0,0,1,5,0,0,0,0,2,1
CHEMBL3706622,1,4.5105,196.856,321.2028699,153.29,785.264,784.2962955,12,4,13,4,10,2,16,55,99,5,0,6,4,1,2,2,1,2,2,0,0,0.435897436,31.13322067,18.39008367,14.819743,10.48326087,7.322414615,18.0121192,14.41254288,10.15367265,7.124145685,-4.54,40.13245614,17.08182509,9.829618352,15.37044016,105.5519269,21.54882124,5.917906046,43.32776376,83.67135234,5.022633314,11.32369891,0,13.17124514,5.749511833,11.60093989,42.12738819,0,30.40135371,5.917906046,62.69595585,39.33066399,101.2944616,0,17.07321074,23.41529935,30.00064589,24.37287235,4.983978521,13.17124514,0,60.13187644,44.38530327,50.0540703,34.46766085,31.04695742,5.760247419,17.70508338,0,6.176298517,39,3,1,0,0,0,0,2,4,4,2,55,24,2,0,23,11,0,13,18,12,4,4,0,0,10,6,4,2,21,12,0,0,0,1,5,0,0,0,0,2,1
CHEMBL373039,1,5.7252,212.239,341.5248977,153.29,841.353,840.2683665,12,4,13,4,11,2,17,58,102,5,0,7,5,1,2,3,1,2,2,0,0,0.414634146,33.35796554,20.10286242,16.80929336,12.12978151,8.80991087,18.90840136,15.20452963,10.73940047,7.572662573,-4.58,41.57503485,17.33372213,9.644563239,15.37044016,105.5519269,21.54882124,5.917906046,42.64145946,83.67135234,5.022633314,21.40984304,0,13.17124514,5.749511833,22.93772577,42.12738819,0,30.40135371,5.917906046,62.69595585,39.33066399,100.6081573,0,17.07321074,44.83822936,30.00064589,24.37287235,4.983978521,13.17124514,11.33678588,29.8000411,69.15368712,75.60344643,23.88157604,31.04695742,5.760247419,17.70508338,0,6.176298517,41,3,1,0,0,1,0,2,4,4,2,58,24,2,0,25,13,0,13,18,12,4,4,0,0,10,6,4,2,22,14,0,0,0,2,5,0,0,0,0,4,2
CHEMBL381630,1,5.2567,206.628,336.6788637,166.43,825.285,824.2912101,13,4,13,4,11,2,17,58,102,5,0,7,5,1,2,3,1,2,2,0,0,0.414634146,32.54146896,19.28636584,15.64096541,10.99772948,7.698650731,18.90840136,15.20452963,10.74575316,7.572662573,-5,41.1697788,17.07511678,9.475326992,15.37044016,105.5519269,21.54882124,5.917906046,43.52455968,88.08850327,5.022633314,22.29294327,0,13.17124514,5.749511833,11.60093989,46.54453913,0,30.40135371,5.917906046,62.69595585,39.33066399,101.4912575,0,17.07321074,34.38454371,34.41779683,24.37287235,4.983978521,13.17124514,0,29.8000411,62.7328655,66.25035738,30.07841961,36.80720484,11.34326756,17.70508338,0,6.176298517,41,3,1,0,0,0,0,2,4,4,3,58,24,2,0,25,13,0,13,20,13,4,4,0,0,10,6,4,2,22,14,0,0,0,2,5,0,0,0,0,4,2
CHEMBL435095,1,3.3064,191.847,319.7774541,179.32,787.812,787.3316597,14,4,14,4,12,2,18,56,101,5,0,6,4,2,2,2,2,2,2,0,0,0.5,30.91491636,18.33864078,14.5888766,10.1404858,6.933332981,18.33864078,14.5888766,10.1404858,6.933332981,-4.75,40.89977778,17.58652571,10.35038874,10.63357721,123.4140348,26.2856842,11.73512689,38.47056549,69.62844906,0,22.77787432,0,17.56166019,0,0,50.93495418,0,35.61473881,5.917906046,69.11677747,45.93754596,78.39281587,0,22.77787432,11.81435946,34.41779683,19.38889383,9.374393569,13.17124514,10.19736362,18.19910121,63.08732006,56.25153824,36.59242439,18.40381808,5.760247419,29.48653122,0,6.176298517,38,4,0,0,0,0,0,2,5,4,3,56,25,2,0,23,11,0,14,21,14,4,4,0,0,10,6,4,2,22,12,0,0,0,2,4,0,0,0,0,0,0
