Model,Enzyme,Descriptor,te_precision,te_recall,te_accuracy,te_f1,te_auc,te_mcc
ABC,IN,PC,0.7488,0.7055,0.7594,0.7252,0.7547,0.5137
ABC,IN,ECFP4,0.7873,0.6436,0.7599,0.7064,0.7498,0.516
ABC,IN,MIX,0.7792,0.6843,0.77,0.7282,0.7626,0.5343
ABC,PR,PC,0.9412,0.9925,0.9353,0.9661,0.5978,0.2707
ABC,PR,ECFP4,0.9336,0.9979,0.9321,0.9647,0.5439,0.1227
ABC,PR,MIX,0.9438,0.9923,0.9377,0.9673,0.6157,0.3132
ABC,RT,PC,0.7516,0.9782,0.7468,0.8483,0.566,0.1677
ABC,RT,ECFP4,0.7396,0.9853,0.7367,0.8438,0.5424,0.1056
ABC,RT,MIX,0.754,0.978,0.7489,0.8494,0.5699,0.1739
CNN,IN,PC,0.8482,0.894,0.8781,0.8695,0.8795,0.7581
CNN,IN,ECFP4,0.9232,0.9304,0.9333,0.9267,0.933,0.8657
CNN,IN,MIX,0.9298,0.9404,0.9408,0.935,0.9408,0.8808
CNN,PR,PC,0.9661,0.9945,0.9624,0.98,0.7735,0.6802
CNN,PR,ECFP4,0.9735,0.9965,0.9716,0.9849,0.8245,0.767
CNN,PR,MIX,0.9788,0.9962,0.9764,0.9874,0.8598,0.8117
CNN,RT,PC,0.8956,0.9447,0.8805,0.9193,0.8305,0.695
CNN,RT,ECFP4,0.9347,0.9593,0.9224,0.9468,0.8937,0.805
CNN,RT,MIX,0.9367,0.9522,0.919,0.9442,0.8931,0.7978
DTC,IN,PC,0.8831,0.8437,0.88,0.8607,0.8768,0.7585
DTC,IN,ECFP4,0.8809,0.8472,0.88,0.862,0.8772,0.7585
DTC,IN,MIX,0.8774,0.8396,0.8758,0.8567,0.8726,0.7494
DTC,PR,PC,0.9748,0.9884,0.9654,0.9815,0.8292,0.7144
DTC,PR,ECFP4,0.9737,0.9894,0.9649,0.9813,0.8207,0.6765
DTC,PR,MIX,0.9729,0.9902,0.9651,0.9814,0.8176,0.7082
DTC,RT,PC,0.8912,0.9484,0.8724,0.9166,0.813,0.6419
DTC,RT,ECFP4,0.877,0.9436,0.8556,0.906,0.7868,0.5952
DTC,RT,MIX,0.8876,0.9505,0.8706,0.9157,0.8082,0.6361
GNB,IN,PC,0.5244,0.0667,0.55,0.1183,0.5083,0.0355
GNB,IN,ECFP4,0.8546,0.8395,0.8624,0.8467,0.8604,0.7224
GNB,IN,MIX,0.9037,0.712,0.8348,0.7955,0.8242,0.6744
GNB,PR,PC,0.9701,0.8939,0.876,0.9302,0.7704,0.4026
GNB,PR,ECFP4,0.98,0.8557,0.85,0.9125,0.8159,0.4398
GNB,PR,MIX,0.98,0.836,0.8322,0.9005,0.8096,0.4216
GNB,RT,PC,0.8858,0.5481,0.62,0.6661,0.6762,0.3272
GNB,RT,ECFP4,0.9283,0.783,0.8004,0.8495,0.814,0.5778
GNB,RT,MIX,0.9284,0.745,0.7752,0.8265,0.7987,0.5438
GPC,IN,PC,0.8664,0.7825,0.8469,0.8219,0.8414,0.6915
GPC,IN,ECFP4,0.9352,0.8205,0.8928,0.8729,0.8866,0.7874
GPC,IN,MIX,0.9373,0.843,0.9036,0.8866,0.8984,0.808
GPC,PR,PC,0.927,0.9848,0.9276,0.955,0.5904,0.369
GPC,PR,ECFP4,0.9489,0.984,0.9344,0.9646,0.6419,0.293
GPC,PR,MIX,0.9345,0.9996,0.9342,0.9658,0.549,0.1297
GPC,RT,PC,0.8411,0.97,0.8465,0.9009,0.7501,0.5983
GPC,RT,ECFP4,0.8728,0.9507,0.8681,0.9057,0.8035,0.677
GPC,RT,MIX,0.813,0.9771,0.8315,0.8868,0.7178,0.5648
KNN,IN,PC,0.878,0.9053,0.9,0.8912,0.9004,0.7994
KNN,IN,ECFP4,0.9581,0.8782,0.9275,0.9155,0.9233,0.8559
KNN,IN,MIX,0.9615,0.8775,0.9287,0.9167,0.9243,0.8585
KNN,PR,PC,0.9648,0.9954,0.9618,0.9798,0.7639,0.6594
KNN,PR,ECFP4,0.9685,0.9944,0.9646,0.9812,0.7884,0.694
KNN,PR,MIX,0.9664,0.9966,0.9645,0.9812,0.7749,0.6837
KNN,RT,PC,0.9086,0.9612,0.9019,0.934,0.8556,0.7488
KNN,RT,ECFP4,0.9409,0.9396,0.9141,0.9401,0.8942,0.789
KNN,RT,MIX,0.9321,0.9508,0.9147,0.9413,0.8864,0.7861
MLP,IN,PC,0.9045,0.9216,0.9204,0.9129,0.9205,0.8398
