te_,Descriptor,va_precision,va_recall,va_accuracy,va_f1,va_auc,va_mcc
ABC,PC,0.8139,0.8921,0.8138,0.8465,0.6395,0.3173
ABC,ECFP4,0.8202,0.8756,0.8095,0.8383,0.6121,0.2481
ABC,MIX,0.8256,0.8849,0.8189,0.8483,0.6494,0.3404
CNN,PC,0.9033,0.9444,0.907,0.9229,0.8278,0.7111
CNN,ECFP4,0.9438,0.9621,0.9424,0.9528,0.8837,0.8126
CNN,MIX,0.9484,0.9629,0.9454,0.9555,0.8979,0.8301
DTC,PC,0.9163,0.9268,0.9059,0.9196,0.8397,0.7049
DTC,ECFP4,0.9105,0.9267,0.9002,0.9165,0.8282,0.6767
DTC,MIX,0.9127,0.9267,0.9038,0.9179,0.8328,0.6979
GNB,PC,0.7935,0.5029,0.682,0.5715,0.6516,0.2551
GNB,ECFP4,0.921,0.8261,0.8376,0.8696,0.8301,0.58
GNB,MIX,0.9374,0.7643,0.8141,0.8408,0.8108,0.5466
GPC,PC,0.8782,0.9124,0.8737,0.8926,0.7273,0.5529
GPC,ECFP4,0.919,0.9184,0.8984,0.9144,0.7773,0.5858
GPC,MIX,0.8949,0.9399,0.8898,0.9131,0.7217,0.5008
KNN,PC,0.9172,0.954,0.9212,0.935,0.84,0.7359
KNN,ECFP4,0.9558,0.9374,0.9354,0.9456,0.8686,0.7796
KNN,MIX,0.9533,0.9416,0.936,0.9464,0.8619,0.7761
MLP,PC,0.9333,0.9563,0.9323,0.9446,0.8719,0.7792
MLP,ECFP4,0.9526,0.9484,0.94,0.9502,0.8854,0.7966
MLP,MIX,0.9557,0.9426,0.9369,0.9487,0.9086,0.8141
QDA,PC,0.7971,0.7783,0.7787,0.7491,0.6249,0.2855
QDA,ECFP4,0.7655,0.6384,0.66,0.6284,0.6285,0.2248
QDA,MIX,0.7578,0.6435,0.6611,0.6298,0.6257,0.2165
RFC,PC,0.9669,0.9724,0.963,0.9695,0.9267,0.8817
RFC,ECFP4,0.9659,0.9748,0.9628,0.97,0.9163,0.875
RFC,MIX,0.9665,0.9738,0.9628,0.9699,0.9178,0.8777
SVC,PC,0.8674,0.8092,0.8199,0.8009,0.6963,0.4806
SVC,ECFP4,0.9239,0.9186,0.901,0.9076,0.7928,0.6681
SVC,MIX,0.9226,0.9113,0.8969,0.9021,0.7894,0.6626
