model,Descriptor,Enzyme,scaler,split,Accuracy,max_depth
dtc,PC,HIV-1 IN,std,1,0.721465076660988,1
dtc,PC,HIV-1 IN,std,1,0.795144804088586,3
dtc,PC,HIV-1 IN,std,1,0.8445485519591142,5
dtc,PC,HIV-1 IN,std,1,0.9233390119250426,10
dtc,PC,HIV-1 IN,std,1,0.9305792163543442,15
dtc,PC,HIV-1 IN,std,1,0.9305792163543442,20
dtc,PC,HIV-1 IN,std,1,0.9305792163543442,50
dtc,PC,HIV-1 IN,std,1,0.9305792163543442,100
dtc,PC,HIV-1 IN,std,1,0.9305792163543442,200
dtc,PC,HIV-1 IN,std,2,0.721465076660988,1
dtc,PC,HIV-1 IN,std,2,0.75809199318569,3
dtc,PC,HIV-1 IN,std,2,0.8228279386712095,5
dtc,PC,HIV-1 IN,std,2,0.9169505962521296,10
dtc,PC,HIV-1 IN,std,2,0.9331345826235092,15
dtc,PC,HIV-1 IN,std,2,0.9327086882453152,20
dtc,PC,HIV-1 IN,std,2,0.9327086882453152,50
dtc,PC,HIV-1 IN,std,2,0.9327086882453152,100
dtc,PC,HIV-1 IN,std,2,0.9327086882453152,200
dtc,PC,HIV-1 IN,std,3,0.721465076660988,1
dtc,PC,HIV-1 IN,std,3,0.8023850085178875,3
dtc,PC,HIV-1 IN,std,3,0.8351788756388415,5
dtc,PC,HIV-1 IN,std,3,0.9293015332197616,10
dtc,PC,HIV-1 IN,std,3,0.9361158432708688,15
dtc,PC,HIV-1 IN,std,3,0.936541737649063,20
dtc,PC,HIV-1 IN,std,3,0.936541737649063,50
dtc,PC,HIV-1 IN,std,3,0.936541737649063,100
dtc,PC,HIV-1 IN,std,3,0.936541737649063,200
dtc,PC,HIV-1 IN,std,4,0.7074105621805792,1
dtc,PC,HIV-1 IN,std,4,0.7900340715502555,3
dtc,PC,HIV-1 IN,std,4,0.8215502555366269,5
dtc,PC,HIV-1 IN,std,4,0.9084327086882452,10
dtc,PC,HIV-1 IN,std,4,0.9310051107325384,15
dtc,PC,HIV-1 IN,std,4,0.9318568994889268,20
dtc,PC,HIV-1 IN,std,4,0.9318568994889268,50
dtc,PC,HIV-1 IN,std,4,0.9318568994889268,100
dtc,PC,HIV-1 IN,std,4,0.9318568994889268,200
dtc,PC,HIV-1 IN,minmax,1,0.721465076660988,1
dtc,PC,HIV-1 IN,minmax,1,0.795144804088586,3
dtc,PC,HIV-1 IN,minmax,1,0.8449744463373083,5
dtc,PC,HIV-1 IN,minmax,1,0.9237649063032368,10
dtc,PC,HIV-1 IN,minmax,1,0.9310051107325384,15
dtc,PC,HIV-1 IN,minmax,1,0.9310051107325384,20
dtc,PC,HIV-1 IN,minmax,1,0.9310051107325384,50
dtc,PC,HIV-1 IN,minmax,1,0.9310051107325384,100
dtc,PC,HIV-1 IN,minmax,1,0.9310051107325384,200
dtc,PC,HIV-1 IN,minmax,2,0.721465076660988,1
dtc,PC,HIV-1 IN,minmax,2,0.75809199318569,3
dtc,PC,HIV-1 IN,minmax,2,0.8228279386712095,5
dtc,PC,HIV-1 IN,minmax,2,0.9169505962521296,10
dtc,PC,HIV-1 IN,minmax,2,0.9331345826235092,15
dtc,PC,HIV-1 IN,minmax,2,0.9327086882453152,20
dtc,PC,HIV-1 IN,minmax,2,0.9327086882453152,50
dtc,PC,HIV-1 IN,minmax,2,0.9327086882453152,100
dtc,PC,HIV-1 IN,minmax,2,0.9327086882453152,200
dtc,PC,HIV-1 IN,minmax,3,0.721465076660988,1
dtc,PC,HIV-1 IN,minmax,3,0.8023850085178875,3
dtc,PC,HIV-1 IN,minmax,3,0.8347529812606473,5
dtc,PC,HIV-1 IN,minmax,3,0.9288756388415672,10
dtc,PC,HIV-1 IN,minmax,3,0.9361158432708688,15
dtc,PC,HIV-1 IN,minmax,3,0.9361158432708688,20
dtc,PC,HIV-1 IN,minmax,3,0.9361158432708688,50
dtc,PC,HIV-1 IN,minmax,3,0.9361158432708688,100
dtc,PC,HIV-1 IN,minmax,3,0.9361158432708688,200
dtc,PC,HIV-1 IN,minmax,4,0.7074105621805792,1
dtc,PC,HIV-1 IN,minmax,4,0.7900340715502555,3
dtc,PC,HIV-1 IN,minmax,4,0.8215502555366269,5
dtc,PC,HIV-1 IN,minmax,4,0.9084327086882452,10
dtc,PC,HIV-1 IN,minmax,4,0.9314310051107324,15
dtc,PC,HIV-1 IN,minmax,4,0.932282793867121,20
dtc,PC,HIV-1 IN,minmax,4,0.932282793867121,50
dtc,PC,HIV-1 IN,minmax,4,0.932282793867121,100
dtc,PC,HIV-1 IN,minmax,4,0.932282793867121,200
dtc,ECFP4,HIV-1 IN,std,1,0.7120954003407155,1
dtc,ECFP4,HIV-1 IN,std,1,0.7891822827938672,3
dtc,ECFP4,HIV-1 IN,std,1,0.8496592844974447,5
dtc,ECFP4,HIV-1 IN,std,1,0.926320272572402,10
dtc,ECFP4,HIV-1 IN,std,1,0.9416524701873936,15
dtc,ECFP4,HIV-1 IN,std,1,0.9408006814310051,20
dtc,ECFP4,HIV-1 IN,std,1,0.9356899488926746,50
dtc,ECFP4,HIV-1 IN,std,1,0.9356899488926746,100
dtc,ECFP4,HIV-1 IN,std,1,0.9356899488926746,200
dtc,ECFP4,HIV-1 IN,std,2,0.7210391822827938,1
dtc,ECFP4,HIV-1 IN,std,2,0.7653321976149915,3
dtc,ECFP4,HIV-1 IN,std,2,0.8143100511073254,5
dtc,ECFP4,HIV-1 IN,std,2,0.895655877342419,10
dtc,ECFP4,HIV-1 IN,std,2,0.918228279386712,15
dtc,ECFP4,HIV-1 IN,std,2,0.9267461669505964,20
dtc,ECFP4,HIV-1 IN,std,2,0.924190800681431,50
dtc,ECFP4,HIV-1 IN,std,2,0.924190800681431,100
dtc,ECFP4,HIV-1 IN,std,2,0.924190800681431,200
dtc,ECFP4,HIV-1 IN,std,3,0.7120954003407155,1
dtc,ECFP4,HIV-1 IN,std,3,0.8028109028960818,3
dtc,ECFP4,HIV-1 IN,std,3,0.8594548551959114,5
dtc,ECFP4,HIV-1 IN,std,3,0.9395229982964224,10
dtc,ECFP4,HIV-1 IN,std,3,0.9454855195911414,15
dtc,ECFP4,HIV-1 IN,std,3,0.9463373083475298,20
dtc,ECFP4,HIV-1 IN,std,3,0.9463373083475298,50
dtc,ECFP4,HIV-1 IN,std,3,0.9463373083475298,100
dtc,ECFP4,HIV-1 IN,std,3,0.9463373083475298,200
dtc,ECFP4,HIV-1 IN,std,4,0.7201873935264055,1
dtc,ECFP4,HIV-1 IN,std,4,0.787052810902896,3
dtc,ECFP4,HIV-1 IN,std,4,0.8343270868824532,5
dtc,ECFP4,HIV-1 IN,std,4,0.901618398637138,10
dtc,ECFP4,HIV-1 IN,std,4,0.9173764906303236,15
dtc,ECFP4,HIV-1 IN,std,4,0.9212095400340716,20
dtc,ECFP4,HIV-1 IN,std,4,0.9246166950596252,50
dtc,ECFP4,HIV-1 IN,std,4,0.9246166950596252,100
dtc,ECFP4,HIV-1 IN,std,4,0.9246166950596252,200
dtc,ECFP4,HIV-1 IN,minmax,1,0.7120954003407155,1
dtc,ECFP4,HIV-1 IN,minmax,1,0.7891822827938672,3
dtc,ECFP4,HIV-1 IN,minmax,1,0.8496592844974447,5
dtc,ECFP4,HIV-1 IN,minmax,1,0.926320272572402,10
dtc,ECFP4,HIV-1 IN,minmax,1,0.9416524701873936,15
dtc,ECFP4,HIV-1 IN,minmax,1,0.9408006814310051,20
dtc,ECFP4,HIV-1 IN,minmax,1,0.9356899488926746,50
dtc,ECFP4,HIV-1 IN,minmax,1,0.9356899488926746,100
dtc,ECFP4,HIV-1 IN,minmax,1,0.9356899488926746,200
dtc,ECFP4,HIV-1 IN,minmax,2,0.7210391822827938,1
dtc,ECFP4,HIV-1 IN,minmax,2,0.7653321976149915,3
dtc,ECFP4,HIV-1 IN,minmax,2,0.8143100511073254,5
dtc,ECFP4,HIV-1 IN,minmax,2,0.895655877342419,10
dtc,ECFP4,HIV-1 IN,minmax,2,0.918228279386712,15
dtc,ECFP4,HIV-1 IN,minmax,2,0.9267461669505964,20
dtc,ECFP4,HIV-1 IN,minmax,2,0.924190800681431,50
dtc,ECFP4,HIV-1 IN,minmax,2,0.924190800681431,100
dtc,ECFP4,HIV-1 IN,minmax,2,0.924190800681431,200
dtc,ECFP4,HIV-1 IN,minmax,3,0.7120954003407155,1
dtc,ECFP4,HIV-1 IN,minmax,3,0.8028109028960818,3
dtc,ECFP4,HIV-1 IN,minmax,3,0.8594548551959114,5
dtc,ECFP4,HIV-1 IN,minmax,3,0.9395229982964224,10
dtc,ECFP4,HIV-1 IN,minmax,3,0.9454855195911414,15
dtc,ECFP4,HIV-1 IN,minmax,3,0.9463373083475298,20
dtc,ECFP4,HIV-1 IN,minmax,3,0.9463373083475298,50
dtc,ECFP4,HIV-1 IN,minmax,3,0.9463373083475298,100
dtc,ECFP4,HIV-1 IN,minmax,3,0.9463373083475298,200
dtc,ECFP4,HIV-1 IN,minmax,4,0.7201873935264055,1
dtc,ECFP4,HIV-1 IN,minmax,4,0.787052810902896,3
dtc,ECFP4,HIV-1 IN,minmax,4,0.8343270868824532,5
dtc,ECFP4,HIV-1 IN,minmax,4,0.901618398637138,10
dtc,ECFP4,HIV-1 IN,minmax,4,0.9173764906303236,15
dtc,ECFP4,HIV-1 IN,minmax,4,0.9212095400340716,20
dtc,ECFP4,HIV-1 IN,minmax,4,0.9246166950596252,50
dtc,ECFP4,HIV-1 IN,minmax,4,0.9246166950596252,100
dtc,ECFP4,HIV-1 IN,minmax,4,0.9246166950596252,200
dtc,MIX,HIV-1 IN,std,1,0.7201873935264055,1
dtc,MIX,HIV-1 IN,std,1,0.780664395229983,3
dtc,MIX,HIV-1 IN,std,1,0.8394378194207837,5
dtc,MIX,HIV-1 IN,std,1,0.8986371379897785,10
dtc,MIX,HIV-1 IN,std,1,0.9122657580919932,15
dtc,MIX,HIV-1 IN,std,1,0.9216354344122658,20
dtc,MIX,HIV-1 IN,std,1,0.9212095400340716,50
dtc,MIX,HIV-1 IN,std,1,0.9212095400340716,100
dtc,MIX,HIV-1 IN,std,1,0.9212095400340716,200
dtc,MIX,HIV-1 IN,std,2,0.7210391822827938,1
dtc,MIX,HIV-1 IN,std,2,0.7772572402044293,3
dtc,MIX,HIV-1 IN,std,2,0.8492333901192505,5
dtc,MIX,HIV-1 IN,std,2,0.9126916524701874,10
dtc,MIX,HIV-1 IN,std,2,0.924190800681431,15
dtc,MIX,HIV-1 IN,std,2,0.9284497444633732,20
dtc,MIX,HIV-1 IN,std,2,0.9284497444633732,50
dtc,MIX,HIV-1 IN,std,2,0.9284497444633732,100
dtc,MIX,HIV-1 IN,std,2,0.9284497444633732,200
dtc,MIX,HIV-1 IN,std,3,0.721465076660988,1
dtc,MIX,HIV-1 IN,std,3,0.7781090289608177,3
dtc,MIX,HIV-1 IN,std,3,0.8530664395229983,5
dtc,MIX,HIV-1 IN,std,3,0.8982112436115843,10
dtc,MIX,HIV-1 IN,std,3,0.9216354344122658,15
dtc,MIX,HIV-1 IN,std,3,0.9216354344122658,20
dtc,MIX,HIV-1 IN,std,3,0.9216354344122658,50
dtc,MIX,HIV-1 IN,std,3,0.9216354344122658,100
dtc,MIX,HIV-1 IN,std,3,0.9216354344122658,200
dtc,MIX,HIV-1 IN,std,4,0.721465076660988,1
dtc,MIX,HIV-1 IN,std,4,0.7755536626916525,3
dtc,MIX,HIV-1 IN,std,4,0.8488074957410562,5
dtc,MIX,HIV-1 IN,std,4,0.9207836456558772,10
dtc,MIX,HIV-1 IN,std,4,0.9310051107325384,15
dtc,MIX,HIV-1 IN,std,4,0.9369676320272572,20
dtc,MIX,HIV-1 IN,std,4,0.9331345826235092,50
dtc,MIX,HIV-1 IN,std,4,0.9331345826235092,100
dtc,MIX,HIV-1 IN,std,4,0.9331345826235092,200
dtc,MIX,HIV-1 IN,minmax,1,0.7201873935264055,1
dtc,MIX,HIV-1 IN,minmax,1,0.780664395229983,3
dtc,MIX,HIV-1 IN,minmax,1,0.8394378194207837,5
dtc,MIX,HIV-1 IN,minmax,1,0.8986371379897785,10
dtc,MIX,HIV-1 IN,minmax,1,0.9122657580919932,15
dtc,MIX,HIV-1 IN,minmax,1,0.9216354344122658,20
dtc,MIX,HIV-1 IN,minmax,1,0.9212095400340716,50
dtc,MIX,HIV-1 IN,minmax,1,0.9212095400340716,100
dtc,MIX,HIV-1 IN,minmax,1,0.9212095400340716,200
dtc,MIX,HIV-1 IN,minmax,2,0.7210391822827938,1
dtc,MIX,HIV-1 IN,minmax,2,0.7772572402044293,3
dtc,MIX,HIV-1 IN,minmax,2,0.8492333901192505,5
dtc,MIX,HIV-1 IN,minmax,2,0.9126916524701874,10
dtc,MIX,HIV-1 IN,minmax,2,0.9246166950596252,15
