model,Descriptor,Enzyme,scaler,split,Accuracy,kernel
gpc,PC,HIV-1 IN,std,1,0.8679727427597955,RBF(length_scale=0.5)
gpc,PC,HIV-1 IN,std,1,0.8679727427597955,RBF(length_scale=1)
gpc,PC,HIV-1 IN,std,1,0.8679727427597955,RBF(length_scale=2)
gpc,PC,HIV-1 IN,std,1,0.8624361158432708,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,std,1,0.8568994889267462,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,std,1,0.858603066439523,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,std,1,0.8598807495741057,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,std,1,0.8006814310051107,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,std,1,0.8679727427597955,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 IN,std,2,0.8522146507666098,RBF(length_scale=0.5)
gpc,PC,HIV-1 IN,std,2,0.8522146507666098,RBF(length_scale=1)
gpc,PC,HIV-1 IN,std,2,0.8522146507666098,RBF(length_scale=2)
gpc,PC,HIV-1 IN,std,2,0.8466780238500852,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,std,2,0.84412265758092,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,std,2,0.8492333901192505,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,std,2,0.8496592844974447,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,std,2,0.8002555366269165,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,std,2,0.8522146507666098,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 IN,std,3,0.8526405451448041,RBF(length_scale=0.5)
gpc,PC,HIV-1 IN,std,3,0.8526405451448041,RBF(length_scale=1)
gpc,PC,HIV-1 IN,std,3,0.8526405451448041,RBF(length_scale=2)
gpc,PC,HIV-1 IN,std,3,0.8407155025553663,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,std,3,0.8466780238500852,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,std,3,0.84412265758092,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,std,3,0.8466780238500852,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,std,3,0.7981260647359455,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,std,3,0.8526405451448041,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 IN,std,4,0.860732538330494,RBF(length_scale=0.5)
gpc,PC,HIV-1 IN,std,4,0.860732538330494,RBF(length_scale=1)
gpc,PC,HIV-1 IN,std,4,0.860732538330494,RBF(length_scale=2)
gpc,PC,HIV-1 IN,std,4,0.8573253833049403,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 IN,std,4,0.8539182282793867,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 IN,std,4,0.8560477001703578,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 IN,std,4,0.8568994889267462,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 IN,std,4,0.8006814310051107,DotProduct(sigma_0=1)
gpc,PC,HIV-1 IN,std,4,0.860732538330494,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 IN,minmax,1,0.862862010221465,RBF(length_scale=0.5)
