model,Descriptor,Enzyme,scaler,split,Accuracy,Category,Enzyme x Descriptor
mlp,PC,HIV-1 IN,std,1,0.9224872231686542,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,std,2,0.9416524701873936,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,std,3,0.9233390119250426,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,std,4,0.9165247018739352,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,minmax,1,0.8973594548551959,B,HIV-1 IN x PC
mlp,PC,HIV-1 IN,minmax,2,0.9280238500851788,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,minmax,3,0.9288756388415672,A,HIV-1 IN x PC
mlp,PC,HIV-1 IN,minmax,4,0.9045996592844976,A,HIV-1 IN x PC
mlp,ECFP4,HIV-1 IN,std,1,0.9454855195911414,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,std,2,0.9356899488926746,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,std,3,0.917802385008518,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,std,4,0.924190800681431,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,minmax,1,0.9339863713798978,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,minmax,2,0.9314310051107324,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,minmax,3,0.9335604770017036,A,HIV-1 IN x ECFP4
mlp,ECFP4,HIV-1 IN,minmax,4,0.9254684838160137,A,HIV-1 IN x ECFP4
mlp,MIX,HIV-1 IN,std,1,0.9540034071550256,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,std,2,0.934412265758092,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,std,3,0.9471890971039182,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,std,4,0.9378194207836456,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,minmax,1,0.9518739352640544,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,minmax,2,0.9297274275979556,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,minmax,3,0.9369676320272572,A,HIV-1 IN x MIX
mlp,MIX,HIV-1 IN,minmax,4,0.926320272572402,A,HIV-1 IN x MIX
mlp,PC,HIV-1 PR,std,1,0.973417109714838,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,std,2,0.9768003866602224,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,std,3,0.972450459159014,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,std,4,0.9656839052682455,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,minmax,1,0.9565007249879168,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,minmax,2,0.9623006283228612,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,minmax,3,0.9608506524891252,A,HIV-1 PR x PC
mlp,PC,HIV-1 PR,minmax,4,0.9632672788786854,A,HIV-1 PR x PC
mlp,ECFP4,HIV-1 PR,std,1,0.9743837602706622,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,std,2,0.971000483325278,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,std,3,0.9743837602706622,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,std,4,0.971000483325278,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,minmax,1,0.9768003866602224,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,minmax,2,0.972933784436926,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,minmax,3,0.9772837119381343,A,HIV-1 PR x ECFP4
mlp,ECFP4,HIV-1 PR,minmax,4,0.931851135814403,A,HIV-1 PR x ECFP4
mlp,MIX,HIV-1 PR,std,1,0.97148380860319,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,std,2,0.9676172063798936,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,std,3,0.971967133881102,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,std,4,0.9676172063798936,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,minmax,1,0.9797003383276944,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,minmax,2,0.9758337361043984,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,minmax,3,0.9768003866602224,A,HIV-1 PR x MIX
mlp,MIX,HIV-1 PR,minmax,4,0.9801836636056066,A,HIV-1 PR x MIX
mlp,PC,HIV-1 RT,std,1,0.9310964649490712,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,std,2,0.9245056920311564,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,std,3,0.914619532654284,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,std,4,0.9005392450569203,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,minmax,1,0.9071300179748352,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,minmax,2,0.9179149191132414,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,minmax,3,0.903235470341522,A,HIV-1 RT x PC
mlp,PC,HIV-1 RT,minmax,4,0.8825644098262433,B,HIV-1 RT x PC
mlp,ECFP4,HIV-1 RT,std,1,0.926303175554224,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,std,2,0.9170161773517076,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,std,3,0.9230077890952666,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,std,4,0.8990413421210306,B,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,1,0.932893948472139,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,2,0.9158178550029958,A,HIV-1 RT x ECFP4
mlp,ECFP4,HIV-1 RT,minmax,3,0.920311563810665,A,HIV-1 RT x ECFP4
