Model,Enzyme,Descriptor,Category,Count
cnn,HIV-1 IN,PC,A,1
cnn,HIV-1 IN,PC,B,7
cnn,HIV-1 IN,PC,C,0
cnn,HIV-1 IN,PC,D,0
cnn,HIV-1 IN,ECFP4,A,8
cnn,HIV-1 IN,ECFP4,B,0
cnn,HIV-1 IN,ECFP4,C,0
cnn,HIV-1 IN,ECFP4,D,0
cnn,HIV-1 IN,MIX,A,8
cnn,HIV-1 IN,MIX,B,0
cnn,HIV-1 IN,MIX,C,0
cnn,HIV-1 IN,MIX,D,0
cnn,HIV-1 PR,PC,A,8
cnn,HIV-1 PR,PC,B,0
cnn,HIV-1 PR,PC,C,0
cnn,HIV-1 PR,PC,D,0
cnn,HIV-1 PR,ECFP4,A,8
cnn,HIV-1 PR,ECFP4,B,0
cnn,HIV-1 PR,ECFP4,C,0
cnn,HIV-1 PR,ECFP4,D,0
cnn,HIV-1 PR,MIX,A,8
cnn,HIV-1 PR,MIX,B,0
cnn,HIV-1 PR,MIX,C,0
cnn,HIV-1 PR,MIX,D,0
cnn,HIV-1 RT,PC,A,0
cnn,HIV-1 RT,PC,B,8
cnn,HIV-1 RT,PC,C,0
cnn,HIV-1 RT,PC,D,0
cnn,HIV-1 RT,ECFP4,A,8
cnn,HIV-1 RT,ECFP4,B,0
cnn,HIV-1 RT,ECFP4,C,0
cnn,HIV-1 RT,ECFP4,D,0
cnn,HIV-1 RT,MIX,A,8
cnn,HIV-1 RT,MIX,B,0
cnn,HIV-1 RT,MIX,C,0
cnn,HIV-1 RT,MIX,D,0
