Model,Enzyme,Descriptor,Category,Count
gnb,HIV-1 IN,PC,A,0
gnb,HIV-1 IN,PC,B,0
gnb,HIV-1 IN,PC,C,0
gnb,HIV-1 IN,PC,D,32
gnb,HIV-1 IN,ECFP4,A,0
gnb,HIV-1 IN,ECFP4,B,32
gnb,HIV-1 IN,ECFP4,C,0
gnb,HIV-1 IN,ECFP4,D,0
gnb,HIV-1 IN,MIX,A,0
gnb,HIV-1 IN,MIX,B,32
gnb,HIV-1 IN,MIX,C,0
gnb,HIV-1 IN,MIX,D,0
gnb,HIV-1 PR,PC,A,6
gnb,HIV-1 PR,PC,B,26
gnb,HIV-1 PR,PC,C,0
gnb,HIV-1 PR,PC,D,0
gnb,HIV-1 PR,ECFP4,A,8
gnb,HIV-1 PR,ECFP4,B,21
gnb,HIV-1 PR,ECFP4,C,3
gnb,HIV-1 PR,ECFP4,D,0
gnb,HIV-1 PR,MIX,A,8
gnb,HIV-1 PR,MIX,B,9
gnb,HIV-1 PR,MIX,C,15
gnb,HIV-1 PR,MIX,D,0
gnb,HIV-1 RT,PC,A,0
gnb,HIV-1 RT,PC,B,0
gnb,HIV-1 RT,PC,C,2
gnb,HIV-1 RT,PC,D,30
gnb,HIV-1 RT,ECFP4,A,0
gnb,HIV-1 RT,ECFP4,B,8
gnb,HIV-1 RT,ECFP4,C,24
gnb,HIV-1 RT,ECFP4,D,0
gnb,HIV-1 RT,MIX,A,0
gnb,HIV-1 RT,MIX,B,0
gnb,HIV-1 RT,MIX,C,32
gnb,HIV-1 RT,MIX,D,0
