Model,Enzyme,Descriptor,Category,Count
gpc,HIV-1 IN,PC,A,0
gpc,HIV-1 IN,PC,B,67
gpc,HIV-1 IN,PC,C,5
gpc,HIV-1 IN,PC,D,0
gpc,HIV-1 IN,ECFP4,A,10
gpc,HIV-1 IN,ECFP4,B,62
gpc,HIV-1 IN,ECFP4,C,0
gpc,HIV-1 IN,ECFP4,D,0
gpc,HIV-1 IN,MIX,A,22
gpc,HIV-1 IN,MIX,B,50
gpc,HIV-1 IN,MIX,C,0
gpc,HIV-1 IN,MIX,D,0
gpc,HIV-1 PR,PC,A,71
gpc,HIV-1 PR,PC,B,0
gpc,HIV-1 PR,PC,C,0
gpc,HIV-1 PR,PC,D,1
gpc,HIV-1 PR,ECFP4,A,68
gpc,HIV-1 PR,ECFP4,B,0
gpc,HIV-1 PR,ECFP4,C,4
gpc,HIV-1 PR,ECFP4,D,0
gpc,HIV-1 PR,MIX,A,72
gpc,HIV-1 PR,MIX,B,0
gpc,HIV-1 PR,MIX,C,0
gpc,HIV-1 PR,MIX,D,0
gpc,HIV-1 RT,PC,A,0
gpc,HIV-1 RT,PC,B,70
gpc,HIV-1 RT,PC,C,2
gpc,HIV-1 RT,PC,D,0
gpc,HIV-1 RT,ECFP4,A,27
gpc,HIV-1 RT,ECFP4,B,38
gpc,HIV-1 RT,ECFP4,C,6
gpc,HIV-1 RT,ECFP4,D,1
gpc,HIV-1 RT,MIX,A,4
gpc,HIV-1 RT,MIX,B,60
gpc,HIV-1 RT,MIX,C,7
gpc,HIV-1 RT,MIX,D,1
