Model,Enzyme,Descriptor,Category,Count
qda,HIV-1 IN,PC,A,0
qda,HIV-1 IN,PC,B,0
qda,HIV-1 IN,PC,C,42
qda,HIV-1 IN,PC,D,54
qda,HIV-1 IN,ECFP4,A,32
qda,HIV-1 IN,ECFP4,B,8
qda,HIV-1 IN,ECFP4,C,0
qda,HIV-1 IN,ECFP4,D,56
qda,HIV-1 IN,MIX,A,30
qda,HIV-1 IN,MIX,B,10
qda,HIV-1 IN,MIX,C,0
qda,HIV-1 IN,MIX,D,56
qda,HIV-1 PR,PC,A,88
qda,HIV-1 PR,PC,B,4
qda,HIV-1 PR,PC,C,4
qda,HIV-1 PR,PC,D,0
qda,HIV-1 PR,ECFP4,A,40
qda,HIV-1 PR,ECFP4,B,16
qda,HIV-1 PR,ECFP4,C,8
qda,HIV-1 PR,ECFP4,D,32
qda,HIV-1 PR,MIX,A,40
qda,HIV-1 PR,MIX,B,16
qda,HIV-1 PR,MIX,C,8
qda,HIV-1 PR,MIX,D,32
qda,HIV-1 RT,PC,A,0
qda,HIV-1 RT,PC,B,32
qda,HIV-1 RT,PC,C,56
qda,HIV-1 RT,PC,D,8
qda,HIV-1 RT,ECFP4,A,0
qda,HIV-1 RT,ECFP4,B,32
qda,HIV-1 RT,ECFP4,C,40
qda,HIV-1 RT,ECFP4,D,24
qda,HIV-1 RT,MIX,A,8
qda,HIV-1 RT,MIX,B,24
qda,HIV-1 RT,MIX,C,40
qda,HIV-1 RT,MIX,D,24
