Model,Enzyme,Descriptor,Category,Count
svc,HIV-1 IN,PC,A,0
svc,HIV-1 IN,PC,B,54
svc,HIV-1 IN,PC,C,34
svc,HIV-1 IN,PC,D,72
svc,HIV-1 IN,ECFP4,A,87
svc,HIV-1 IN,ECFP4,B,53
svc,HIV-1 IN,ECFP4,C,8
svc,HIV-1 IN,ECFP4,D,12
svc,HIV-1 IN,MIX,A,83
svc,HIV-1 IN,MIX,B,52
svc,HIV-1 IN,MIX,C,13
svc,HIV-1 IN,MIX,D,12
svc,HIV-1 PR,PC,A,148
svc,HIV-1 PR,PC,B,12
svc,HIV-1 PR,PC,C,0
svc,HIV-1 PR,PC,D,0
svc,HIV-1 PR,ECFP4,A,160
svc,HIV-1 PR,ECFP4,B,0
svc,HIV-1 PR,ECFP4,C,0
svc,HIV-1 PR,ECFP4,D,0
svc,HIV-1 PR,MIX,A,160
svc,HIV-1 PR,MIX,B,0
svc,HIV-1 PR,MIX,C,0
svc,HIV-1 PR,MIX,D,0
svc,HIV-1 RT,PC,A,20
svc,HIV-1 RT,PC,B,65
svc,HIV-1 RT,PC,C,47
svc,HIV-1 RT,PC,D,28
svc,HIV-1 RT,ECFP4,A,73
svc,HIV-1 RT,ECFP4,B,47
svc,HIV-1 RT,ECFP4,C,40
svc,HIV-1 RT,ECFP4,D,0
svc,HIV-1 RT,MIX,A,70
svc,HIV-1 RT,MIX,B,50
svc,HIV-1 RT,MIX,C,40
svc,HIV-1 RT,MIX,D,0
