Model,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
RFC,PC,0.963,0.957,0.9437,0.9855,0.0418,0.0278,0.0139
RFC,ECFP4,0.9628,0.9612,0.9458,0.9812,0.0354,0.0287,0.0128
RFC,MIX,0.9628,0.9606,0.9398,0.9836,0.0438,0.03,0.014
CNN,MIX,0.9454,0.9397,0.9068,0.986,0.0792,0.0482,0.0248
CNN,ECFP4,0.9424,0.9332,0.9125,0.9812,0.0687,0.0397,0.023
MLP,ECFP4,0.94,0.9324,0.899,0.9773,0.0783,0.0471,0.0239
MLP,MIX,0.9369,0.9374,0.8778,0.9802,0.1024,0.0621,0.0334
KNN,MIX,0.936,0.9462,0.8673,0.9841,0.1168,0.0548,0.0338
KNN,ECFP4,0.9354,0.9479,0.8427,0.9821,0.1394,0.0551,0.0349
MLP,PC,0.9323,0.9263,0.8826,0.9768,0.0942,0.0485,0.0278
KNN,PC,0.9212,0.9401,0.8326,0.9802,0.1476,0.0764,0.0445
CNN,PC,0.907,0.8886,0.8492,0.9734,0.1242,0.0778,0.0419
DTC,PC,0.9059,0.9306,0.7074,0.9797,0.2723,0.0515,0.0746
DTC,MIX,0.9038,0.9221,0.7193,0.9773,0.258,0.0592,0.0738
SVC,ECFP4,0.901,0.9352,0.5865,0.9836,0.3971,0.0986,0.0835
DTC,ECFP4,0.9002,0.9242,0.7121,0.9792,0.2671,0.0868,0.0792
GPC,ECFP4,0.8984,0.8995,0.2807,0.9855,0.7048,0.0661,0.0675
SVC,MIX,0.8969,0.9328,0.5873,0.9855,0.3982,0.1117,0.0855
GPC,MIX,0.8898,0.892,0.2807,0.987,0.7063,0.0734,0.0653
GPC,PC,0.8737,0.8556,0.0725,0.9642,0.8917,0.0882,0.0719
GNB,ECFP4,0.8376,0.8294,0.7699,0.9522,0.1823,0.0638,0.0418
SVC,PC,0.8199,0.8377,0.5617,0.9787,0.417,0.1931,0.1303
ABC,MIX,0.8189,0.7987,0.7193,0.9812,0.2619,0.2065,0.0928
GNB,MIX,0.8141,0.8085,0.7119,0.9497,0.2378,0.059,0.0498
ABC,PC,0.8138,0.7843,0.7074,0.9662,0.2588,0.206,0.0924
ABC,ECFP4,0.8095,0.7717,0.7121,0.9618,0.2497,0.2082,0.0931
QDA,PC,0.7787,0.7767,0.5524,0.9502,0.3978,0.2102,0.1305
GNB,PC,0.682,0.6213,0.5045,0.9096,0.4051,0.313,0.146
QDA,MIX,0.6611,0.7284,0.0585,0.9442,0.8857,0.339,0.2888
QDA,ECFP4,0.66,0.7395,0.059,0.9485,0.8895,0.3355,0.2899
