Model,Descriptor,Enzyme,Scaler,Accuracy
ABC,PC,HIV-1 IN,Min-Max,0.7593803236797274
ABC,PC,HIV-1 IN,Standard,0.7593803236797274
ABC,PC,HIV-1 IN,Difference,0.0
ABC,ECFP4,HIV-1 IN,Min-Max,0.7598541311754685
ABC,ECFP4,HIV-1 IN,Standard,0.7598541311754685
ABC,ECFP4,HIV-1 IN,Difference,0.0
ABC,MIX,HIV-1 IN,Min-Max,0.7700330068143101
ABC,MIX,HIV-1 IN,Standard,0.7700330068143101
ABC,MIX,HIV-1 IN,Difference,0.0
ABC,PC,HIV-1 PR,Min-Max,0.9352767037216048
ABC,PC,HIV-1 PR,Standard,0.9352767037216048
ABC,PC,HIV-1 PR,Difference,0.0
ABC,ECFP4,HIV-1 PR,Min-Max,0.932092798453359
ABC,ECFP4,HIV-1 PR,Standard,0.932092798453359
ABC,ECFP4,HIV-1 PR,Difference,0.0
ABC,MIX,HIV-1 PR,Min-Max,0.9377054132431126
ABC,MIX,HIV-1 PR,Standard,0.9377054132431126
ABC,MIX,HIV-1 PR,Difference,0.0
ABC,PC,HIV-1 RT,Min-Max,0.7468169562612343
ABC,PC,HIV-1 RT,Standard,0.7468169562612343
ABC,PC,HIV-1 RT,Difference,0.0
ABC,ECFP4,HIV-1 RT,Min-Max,0.7366686638705813
ABC,ECFP4,HIV-1 RT,Standard,0.7366686638705813
ABC,ECFP4,HIV-1 RT,Difference,0.0
ABC,MIX,HIV-1 RT,Min-Max,0.7488615937687239
ABC,MIX,HIV-1 RT,Standard,0.7488615937687239
ABC,MIX,HIV-1 RT,Difference,0.0
CNN,PC,HIV-1 IN,Min-Max,0.886179727427598
CNN,PC,HIV-1 IN,Standard,0.8701022146507666
CNN,PC,HIV-1 IN,Difference,0.016077512776831338
CNN,ECFP4,HIV-1 IN,Min-Max,0.930366269165247
CNN,ECFP4,HIV-1 IN,Standard,0.9362223168654175
CNN,ECFP4,HIV-1 IN,Difference,-0.0058560477001704525
CNN,MIX,HIV-1 IN,Min-Max,0.9402683134582623
CNN,MIX,HIV-1 IN,Standard,0.9413330494037478
CNN,MIX,HIV-1 IN,Difference,-0.0010647359454855065
CNN,PC,HIV-1 PR,Min-Max,0.9616964717254712
CNN,PC,HIV-1 PR,Standard,0.9631464475592073
CNN,PC,HIV-1 PR,Difference,-0.0014499758337360724
CNN,ECFP4,HIV-1 PR,Min-Max,0.9751087481875302
CNN,ECFP4,HIV-1 PR,Standard,0.9681005316578057
CNN,ECFP4,HIV-1 PR,Difference,0.007008216529724498
CNN,MIX,HIV-1 PR,Min-Max,0.9783711938134366
CNN,MIX,HIV-1 PR,Standard,0.9745045915901401
CNN,MIX,HIV-1 PR,Difference,0.003866602223296489
CNN,PC,HIV-1 RT,Min-Max,0.8802426602756142
CNN,PC,HIV-1 RT,Standard,0.88084182144997
CNN,PC,HIV-1 RT,Difference,-0.0005991611743558778
CNN,ECFP4,HIV-1 RT,Min-Max,0.9218843618933492
CNN,ECFP4,HIV-1 RT,Standard,0.9230077890952666
CNN,ECFP4,HIV-1 RT,Difference,-0.0011234272019173819
CNN,MIX,HIV-1 RT,Min-Max,0.920910724985021
CNN,MIX,HIV-1 RT,Standard,0.9171659676452966
CNN,MIX,HIV-1 RT,Difference,0.0037447573397244582
DTC,PC,HIV-1 IN,Min-Max,0.8799924285443876
DTC,PC,HIV-1 IN,Standard,0.879921446148022
DTC,PC,HIV-1 IN,Difference,7.098239636560422e-05
DTC,ECFP4,HIV-1 IN,Min-Max,0.8800279197425707
DTC,ECFP4,HIV-1 IN,Standard,0.8800279197425707
DTC,ECFP4,HIV-1 IN,Difference,0.0
DTC,MIX,HIV-1 IN,Min-Max,0.8757808063600228
DTC,MIX,HIV-1 IN,Standard,0.8757689759606285
DTC,MIX,HIV-1 IN,Difference,1.1830399394230362e-05
DTC,PC,HIV-1 PR,Min-Max,0.9653214113098113
DTC,PC,HIV-1 PR,Standard,0.9654019655227967
DTC,PC,HIV-1 PR,Difference,-8.055421298536203e-05
DTC,ECFP4,HIV-1 PR,Min-Max,0.9649320659470492
DTC,ECFP4,HIV-1 PR,Standard,0.9649320659470492
DTC,ECFP4,HIV-1 PR,Difference,0.0
DTC,MIX,HIV-1 PR,Min-Max,0.9651334514795123
DTC,MIX,HIV-1 PR,Standard,0.9651334514795123
DTC,MIX,HIV-1 PR,Difference,0.0
DTC,PC,HIV-1 RT,Min-Max,0.8723869915451702
DTC,PC,HIV-1 RT,Standard,0.8724369216430331
DTC,PC,HIV-1 RT,Difference,-4.99300978629158e-05
DTC,ECFP4,HIV-1 RT,Min-Max,0.8555605485653419
DTC,ECFP4,HIV-1 RT,Standard,0.8555605485653419
DTC,ECFP4,HIV-1 RT,Difference,0.0
DTC,MIX,HIV-1 RT,Min-Max,0.870614473071034
DTC,MIX,HIV-1 RT,Standard,0.8706061513880569
DTC,MIX,HIV-1 RT,Difference,8.321682977152633e-06
GNB,PC,HIV-1 IN,Min-Max,0.5502022998296423
GNB,PC,HIV-1 IN,Standard,0.5498562606473594
GNB,PC,HIV-1 IN,Difference,0.0003460391822829312
GNB,ECFP4,HIV-1 IN,Min-Max,0.8629152470187393
GNB,ECFP4,HIV-1 IN,Standard,0.861877129471891
GNB,ECFP4,HIV-1 IN,Difference,0.0010381175468483494
GNB,MIX,HIV-1 IN,Min-Max,0.8332889693356048
GNB,MIX,HIV-1 IN,Standard,0.8363767035775127
GNB,MIX,HIV-1 IN,Difference,-0.0030877342419078913
GNB,PC,HIV-1 PR,Min-Max,0.8759666505558241
GNB,PC,HIV-1 PR,Standard,0.8760270662155631
GNB,PC,HIV-1 PR,Difference,-6.041565973902152e-05
GNB,ECFP4,HIV-1 PR,Min-Max,0.855636781053649
GNB,ECFP4,HIV-1 PR,Standard,0.8442786370227163
GNB,ECFP4,HIV-1 PR,Difference,0.011358144030932715
GNB,MIX,HIV-1 PR,Min-Max,0.8378443692605123
GNB,MIX,HIV-1 PR,Standard,0.8264862252295795
GNB,MIX,HIV-1 PR,Difference,0.011358144030932826
GNB,PC,HIV-1 RT,Min-Max,0.6320214200119831
GNB,PC,HIV-1 RT,Standard,0.6080175254643498
GNB,PC,HIV-1 RT,Difference,0.024003894547633298
GNB,ECFP4,HIV-1 RT,Min-Max,0.8003482624325944
GNB,ECFP4,HIV-1 RT,Standard,0.8004980527261834
GNB,ECFP4,HIV-1 RT,Difference,-0.00014979029358896945
GNB,MIX,HIV-1 RT,Min-Max,0.777786099460755
GNB,MIX,HIV-1 RT,Standard,0.7725621629718394
GNB,MIX,HIV-1 RT,Difference,0.005223936488915615
GPC,PC,HIV-1 IN,Min-Max,0.8448443119439712
GPC,PC,HIV-1 IN,Standard,0.8489967821313648
GPC,PC,HIV-1 IN,Difference,-0.004152470187393509
GPC,ECFP4,HIV-1 IN,Min-Max,0.8882618777209921
GPC,ECFP4,HIV-1 IN,Standard,0.8973712852545902
GPC,ECFP4,HIV-1 IN,Difference,-0.009109407533598124
GPC,MIX,HIV-1 IN,Min-Max,0.8887350936967632
GPC,MIX,HIV-1 IN,Standard,0.9184648873745976
GPC,MIX,HIV-1 IN,Difference,-0.02972979367783446
GPC,PC,HIV-1 PR,Min-Max,0.9372482680844207
GPC,PC,HIV-1 PR,Standard,0.9179018312657752
GPC,PC,HIV-1 PR,Difference,0.019346436818645563
GPC,ECFP4,HIV-1 PR,Min-Max,0.9339321196498579
GPC,ECFP4,HIV-1 PR,Standard,0.9348584930991891
GPC,ECFP4,HIV-1 PR,Difference,-0.0009263734493312192
GPC,MIX,HIV-1 PR,Min-Max,0.9337844369260514
GPC,MIX,HIV-1 PR,Standard,0.9346705332688902
GPC,MIX,HIV-1 PR,Difference,-0.0008860963428387603
GPC,PC,HIV-1 RT,Min-Max,0.8431196325144797
GPC,PC,HIV-1 RT,Standard,0.8499434125557555
GPC,PC,HIV-1 RT,Difference,-0.006823780041275707
GPC,ECFP4,HIV-1 RT,Min-Max,0.8572248851607749
GPC,ECFP4,HIV-1 RT,Standard,0.8789694427801078
GPC,ECFP4,HIV-1 RT,Difference,-0.021744557619332916
GPC,MIX,HIV-1 RT,Min-Max,0.8556271220291591
GPC,MIX,HIV-1 RT,Standard,0.8073280740296918
GPC,MIX,HIV-1 RT,Difference,0.04829904799946738
KNN,PC,HIV-1 IN,Min-Max,0.8961882453151618
KNN,PC,HIV-1 IN,Standard,0.90373788862862
KNN,PC,HIV-1 IN,Difference,-0.007549643313458199
KNN,ECFP4,HIV-1 IN,Min-Max,0.9318136445911414
KNN,ECFP4,HIV-1 IN,Standard,0.9232658113287905
KNN,ECFP4,HIV-1 IN,Difference,0.008547833262350868
KNN,MIX,HIV-1 IN,Min-Max,0.9324824318568996
KNN,MIX,HIV-1 IN,Standard,0.9250026618398637
KNN,MIX,HIV-1 IN,Difference,0.007479770017035925
KNN,PC,HIV-1 PR,Min-Max,0.9628292653455776
KNN,PC,HIV-1 PR,Standard,0.9607751329144514
KNN,PC,HIV-1 PR,Difference,0.0020541324311261766
KNN,ECFP4,HIV-1 PR,Min-Max,0.968942574915418
KNN,ECFP4,HIV-1 PR,Standard,0.960186080231996
KNN,ECFP4,HIV-1 PR,Difference,0.00875649468342199
KNN,MIX,HIV-1 PR,Min-Max,0.9708343402609957
KNN,MIX,HIV-1 PR,Standard,0.9580866360560656
KNN,MIX,HIV-1 PR,Difference,0.0127477042049301
KNN,PC,HIV-1 RT,Min-Max,0.9012530894248052
KNN,PC,HIV-1 RT,Standard,0.9026246068004795
KNN,PC,HIV-1 RT,Difference,-0.0013715173756743138
KNN,ECFP4,HIV-1 RT,Min-Max,0.9175661885859796
KNN,ECFP4,HIV-1 RT,Standard,0.9106688136608749
KNN,ECFP4,HIV-1 RT,Difference,0.006897374925104671
KNN,MIX,HIV-1 RT,Min-Max,0.9164872303774715
KNN,MIX,HIV-1 RT,Standard,0.9128829014379869
KNN,MIX,HIV-1 RT,Difference,0.003604328939484591
MLP,PC,HIV-1 IN,Min-Max,0.91471465076661
MLP,PC,HIV-1 IN,Standard,0.9260008517887565
MLP,PC,HIV-1 IN,Difference,-0.011286201022146503
MLP,ECFP4,HIV-1 IN,Min-Max,0.9311115843270867
MLP,ECFP4,HIV-1 IN,Standard,0.9307921635434413
MLP,ECFP4,HIV-1 IN,Difference,0.000319420783645441
MLP,MIX,HIV-1 IN,Min-Max,0.9362223168654173
MLP,MIX,HIV-1 IN,Standard,0.9433560477001703
MLP,MIX,HIV-1 IN,Difference,-0.007133730834752994
MLP,PC,HIV-1 PR,Min-Max,0.9607298211696471
MLP,PC,HIV-1 PR,Standard,0.97208796520058
MLP,PC,HIV-1 PR,Difference,-0.011358144030932937
MLP,ECFP4,HIV-1 PR,Min-Max,0.9647172547124214
MLP,ECFP4,HIV-1 PR,Standard,0.9726921217979702
MLP,ECFP4,HIV-1 PR,Difference,-0.007974867085548731
MLP,MIX,HIV-1 PR,Min-Max,0.9781295311744805
MLP,MIX,HIV-1 PR,Standard,0.9696713388110199
MLP,MIX,HIV-1 PR,Difference,0.008458192363460681
MLP,PC,HIV-1 RT,Min-Max,0.9027112043139605
MLP,PC,HIV-1 RT,Standard,0.917690233672858
MLP,PC,HIV-1 RT,Difference,-0.0149790293588975
MLP,ECFP4,HIV-1 RT,Min-Max,0.9244307968843618
MLP,ECFP4,HIV-1 RT,Standard,0.9163421210305572
MLP,ECFP4,HIV-1 RT,Difference,0.008088675853804572
MLP,MIX,HIV-1 RT,Min-Max,0.9016626722588377
MLP,MIX,HIV-1 RT,Standard,0.8923007789095267
MLP,MIX,HIV-1 RT,Difference,0.009361893349310924
QDA,PC,HIV-1 IN,Min-Max,0.5874148211243612
QDA,PC,HIV-1 IN,Standard,0.7131246450880182
QDA,PC,HIV-1 IN,Difference,-0.12570982396365704
QDA,ECFP4,HIV-1 IN,Min-Max,0.5671138557637706
QDA,ECFP4,HIV-1 IN,Standard,0.7413756388415673
QDA,ECFP4,HIV-1 IN,Difference,-0.17426178307779672
