model,enzyme,descriptor,criterion,n_estimators,va_accuracy
RFC,HIV-1 PR,PC,gini,100,0.9822377960367328
RFC,HIV-1 PR,PC,gini,500,0.9819357177380377
RFC,HIV-1 PR,PC,gini,1000,0.9822982116964718
RFC,HIV-1 PR,PC,gini,1500,0.9819961333977767
RFC,HIV-1 PR,PC,gini,2000,0.9820565490575157
RFC,HIV-1 PR,PC,entropy,100,0.9812107298211696
RFC,HIV-1 PR,PC,entropy,500,0.9810294828419526
RFC,HIV-1 PR,PC,entropy,1000,0.9814523924601257
RFC,HIV-1 PR,PC,entropy,1500,0.9809690671822135
RFC,HIV-1 PR,PC,entropy,2000,0.9807878202029966
RFC,HIV-1 PR,ECFP4,gini,100,0.9778878685355243
RFC,HIV-1 PR,ECFP4,gini,500,0.9783711938134364
RFC,HIV-1 PR,ECFP4,gini,1000,0.9782503624939584
RFC,HIV-1 PR,ECFP4,gini,1500,0.9783711938134364
RFC,HIV-1 PR,ECFP4,gini,2000,0.9783711938134364
RFC,HIV-1 PR,ECFP4,entropy,100,0.9794586756887385
RFC,HIV-1 PR,ECFP4,entropy,500,0.9793378443692605
RFC,HIV-1 PR,ECFP4,entropy,1000,0.9795795070082165
RFC,HIV-1 PR,ECFP4,entropy,1500,0.9794586756887385
RFC,HIV-1 PR,ECFP4,entropy,2000,0.9792170130497825
RFC,HIV-1 PR,MIX,gini,100,0.9798815853069116
RFC,HIV-1 PR,MIX,gini,500,0.9798815853069115
RFC,HIV-1 PR,MIX,gini,1000,0.9799420009666505
RFC,HIV-1 PR,MIX,gini,1500,0.9799420009666505
RFC,HIV-1 PR,MIX,gini,2000,0.9797607539874336
RFC,HIV-1 PR,MIX,entropy,100,0.9807878202029966
RFC,HIV-1 PR,MIX,entropy,500,0.9806065732237796
RFC,HIV-1 PR,MIX,entropy,1000,0.9807878202029966
RFC,HIV-1 PR,MIX,entropy,1500,0.9810294828419526
RFC,HIV-1 PR,MIX,entropy,2000,0.9809086515224745
