Model,Phase,Enzyme,PRC,REC,ACC,F1,AUC,MCC
ABC,Train,IN,0.4277,0.3729,0.4924,0.3969,0.4816,-0.0374
CNN,Train,IN,0.4618,0.4098,0.5181,0.4331,0.5083,0.0173
DTC,Train,IN,0.4578,0.4237,0.5134,0.4384,0.5053,0.011
GNB,Train,IN,0.3408,0.2936,0.5297,0.3102,0.5084,0.0194
GPC,Train,IN,0.4751,0.4035,0.5289,0.4353,0.5176,0.0367
KNN,Train,IN,0.4788,0.3991,0.5327,0.4343,0.5207,0.0428
MLP,Train,IN,0.4596,0.4458,0.5138,0.4521,0.5077,0.0156
QDA,Train,IN,0.607,0.3837,0.5092,0.3491,0.4979,0.0266
RFC,Train,IN,0.4645,0.4353,0.5193,0.4494,0.5118,0.0238
SVC,Train,IN,0.4836,0.3884,0.5265,0.4188,0.514,0.0333
ABC,Train,PR,0.9302,0.9932,0.9244,0.9606,0.5023,0.0067
CNN,Train,PR,0.929,0.9515,0.8872,0.94,0.493,-0.0178
DTC,Train,PR,0.9322,0.9455,0.8853,0.9386,0.516,0.0312
GNB,Train,PR,0.9338,0.9049,0.8515,0.9169,0.5241,0.0319
GPC,Train,PR,0.9323,0.9613,0.8982,0.9444,0.5115,0.0079
KNN,Train,PR,0.9298,0.9551,0.8912,0.9422,0.4988,-0.0089
MLP,Train,PR,0.9318,0.93,0.8716,0.9308,0.5132,0.0259
QDA,Train,PR,0.951,0.6251,0.6145,0.6557,0.5493,0.0548
RFC,Train,PR,0.9283,0.9485,0.8839,0.9383,0.4882,-0.029
SVC,Train,PR,0.9298,0.9655,0.9001,0.9472,0.4991,-0.0065
ABC,Train,RT,0.71,0.9569,0.6917,0.8139,0.4982,-0.0042
CNN,Train,RT,0.7038,0.8729,0.6491,0.7778,0.4859,-0.0329
DTC,Train,RT,0.7133,0.7755,0.6187,0.7403,0.5043,0.0083
GNB,Train,RT,0.68,0.5529,0.5262,0.5969,0.5067,0.0129
GPC,Train,RT,0.6937,0.7392,0.5981,0.7105,0.4953,-0.0205
KNN,Train,RT,0.7237,0.6851,0.5889,0.7031,0.5188,0.0348
MLP,Train,RT,0.7014,0.8008,0.616,0.7451,0.4812,-0.0504
QDA,Train,RT,0.7907,0.6568,0.5976,0.64,0.5544,0.1079
RFC,Train,RT,0.6876,0.7401,0.5762,0.7129,0.4567,-0.0927
SVC,Train,RT,0.6994,0.8015,0.6141,0.745,0.4774,-0.0577
ABC,Validation,IN,0.4219,0.3662,0.49,0.3898,0.4788,-0.044
CNN,Validation,IN,0.4511,0.4172,0.5069,0.432,0.4988,-0.0018
DTC,Validation,IN,0.4693,0.4242,0.5239,0.4444,0.5149,0.0304
GNB,Validation,IN,0.3364,0.2966,0.5244,0.3101,0.5039,0.0107
GPC,Validation,IN,0.4666,0.4032,0.5213,0.4311,0.5107,0.0227
KNN,Validation,IN,0.472,0.4033,0.5261,0.434,0.5151,0.0315
MLP,Validation,IN,0.4533,0.4414,0.5069,0.446,0.501,0.0024
QDA,Validation,IN,0.5967,0.3796,0.5031,0.3468,0.492,0.0149
RFC,Validation,IN,0.458,0.4387,0.5122,0.448,0.5056,0.0114
SVC,Validation,IN,0.4743,0.3877,0.5185,0.4148,0.5067,0.0183
ABC,Validation,PR,0.9301,0.9934,0.9244,0.9606,0.5014,0.003
CNN,Validation,PR,0.9297,0.9529,0.8891,0.941,0.498,-0.0094
DTC,Validation,PR,0.9309,0.9448,0.8834,0.9375,0.5069,0.013
GNB,Validation,PR,0.9338,0.8978,0.8454,0.913,0.5238,0.0307
GPC,Validation,PR,0.9327,0.9624,0.8997,0.9453,0.5147,0.0159
KNN,Validation,PR,0.9292,0.9549,0.8904,0.9418,0.495,-0.0161
MLP,Validation,PR,0.931,0.9327,0.8731,0.9318,0.5073,0.0114
QDA,Validation,PR,0.9468,0.6347,0.6226,0.6625,0.5483,0.0542
RFC,Validation,PR,0.9287,0.9499,0.8856,0.9391,0.4913,-0.024
SVC,Validation,PR,0.9298,0.9659,0.9005,0.9474,0.4992,-0.0061
ABC,Validation,RT,0.7099,0.9581,0.6921,0.8143,0.4981,-0.0041
CNN,Validation,RT,0.701,0.8784,0.6482,0.7784,0.4803,-0.0468
DTC,Validation,RT,0.72,0.7798,0.6271,0.7457,0.5158,0.0311
GNB,Validation,RT,0.6549,0.5663,0.538,0.6069,0.5173,0.0331
GPC,Validation,RT,0.6957,0.7415,0.6014,0.713,0.4992,-0.0119
KNN,Validation,RT,0.7264,0.6933,0.5957,0.7091,0.5244,0.0466
MLP,Validation,RT,0.7025,0.7978,0.6159,0.7436,0.4834,-0.0444
QDA,Validation,RT,0.7901,0.6633,0.6028,0.6448,0.5587,0.1151
RFC,Validation,RT,0.689,0.7398,0.5777,0.7134,0.4595,-0.0866
SVC,Validation,RT,0.7004,0.8017,0.6153,0.7455,0.4793,-0.0534
ABC,Test,IN,0.4348,0.3041,0.4986,0.3561,0.4847,-0.0338
CNN,Test,IN,0.4617,0.3715,0.509,0.4106,0.4993,-0.0012
DTC,Test,IN,0.4563,0.3844,0.5041,0.415,0.4956,-0.0089
GNB,Test,IN,0.3406,0.2699,0.5196,0.2955,0.5018,0.0059
GPC,Test,IN,0.476,0.3543,0.5218,0.4048,0.5099,0.0208
KNN,Test,IN,0.4888,0.3726,0.5312,0.4218,0.5199,0.0412
MLP,Test,IN,0.4739,0.4003,0.5165,0.4335,0.5082,0.0173
QDA,Test,IN,0.6104,0.3666,0.4998,0.3434,0.4903,0.0139
RFC,Test,IN,0.4711,0.4018,0.5164,0.4335,0.5082,0.0165
SVC,Test,IN,0.4679,0.3407,0.5088,0.384,0.4969,-0.0035
ABC,Test,PR,0.9176,0.9906,0.9097,0.9526,0.4982,-0.0052
CNN,Test,PR,0.9158,0.9451,0.8699,0.9302,0.4872,-0.0318
DTC,Test,PR,0.9165,0.9419,0.8679,0.9289,0.4914,-0.0203
GNB,Test,PR,0.9209,0.8993,0.8364,0.9075,0.5167,0.025
GPC,Test,PR,0.9208,0.9599,0.8864,0.9379,0.5124,0.0099
KNN,Test,PR,0.9165,0.9481,0.873,0.9319,0.491,-0.0252
MLP,Test,PR,0.9172,0.9247,0.8542,0.9209,0.4954,-0.0113
