Model,Phase,Enzyme,PRC,REC,ACC,F1,AUC,MCC
ABC,Train,IN,0.7744,0.6678,0.7601,0.7117,0.7517,0.5176
CNN,Train,IN,0.9164,0.8788,0.9096,0.8958,0.9068,0.8184
DTC,Train,IN,0.8795,0.8006,0.8616,0.8315,0.8562,0.7237
GNB,Train,IN,0.6891,0.4617,0.738,0.5237,0.7131,0.4593
GPC,Train,IN,0.9616,0.8521,0.9183,0.903,0.9123,0.8382
KNN,Train,IN,0.9785,0.9213,0.9559,0.9477,0.9528,0.9128
MLP,Train,IN,0.9367,0.8941,0.924,0.9133,0.9213,0.8486
QDA,Train,IN,0.7344,0.5012,0.6545,0.4978,0.6406,0.3131
RFC,Train,IN,0.9955,0.9527,0.9768,0.9716,0.9747,0.9554
SVC,Train,IN,0.9404,0.831,0.8977,0.8665,0.8917,0.8007
ABC,Train,PR,0.9472,0.9949,0.9431,0.9703,0.6255,0.3267
CNN,Train,PR,0.9893,0.9999,0.9898,0.9946,0.9281,0.9184
DTC,Train,PR,0.9818,0.9929,0.976,0.9872,0.8722,0.7897
GNB,Train,PR,0.9763,0.9323,0.9135,0.9511,0.7982,0.5213
GPC,Train,PR,0.9403,1.0,0.9404,0.9691,0.5751,0.2493
KNN,Train,PR,0.9788,0.9982,0.9777,0.9883,0.8523,0.7915
MLP,Train,PR,0.9966,0.9969,0.9939,0.9967,0.9754,0.9534
QDA,Train,PR,0.8152,0.7177,0.7052,0.7188,0.6282,0.2184
RFC,Train,PR,0.9942,1.0,0.9946,0.9971,0.9612,0.9567
SVC,Train,PR,0.9738,0.9992,0.9736,0.9861,0.8167,0.7149
ABC,Train,RT,0.759,0.961,0.7469,0.8443,0.5908,0.2117
CNN,Train,RT,0.8421,0.9899,0.8521,0.9077,0.7516,0.5975
DTC,Train,RT,0.8983,0.9071,0.8543,0.8992,0.8158,0.6287
GNB,Train,RT,0.9113,0.7679,0.7667,0.7881,0.7659,0.5013
GPC,Train,RT,0.8656,0.9943,0.8833,0.9247,0.8023,0.7003
KNN,Train,RT,0.9632,0.972,0.9533,0.9674,0.9397,0.8854
MLP,Train,RT,0.9499,0.9803,0.9458,0.9638,0.9206,0.863
QDA,Train,RT,0.7072,0.809,0.7225,0.7437,0.6594,0.3111
RFC,Train,RT,0.9936,0.9984,0.9943,0.996,0.9912,0.986
SVC,Train,RT,0.8974,0.9818,0.8994,0.9353,0.8393,0.741
ABC,Validation,IN,0.7127,0.5657,0.6955,0.6195,0.6838,0.3877
CNN,Validation,IN,0.7303,0.6737,0.7377,0.6947,0.7319,0.4736
DTC,Validation,IN,0.686,0.6079,0.695,0.6376,0.6871,0.3839
GNB,Validation,IN,0.5587,0.332,0.6539,0.3927,0.6248,0.2757
GPC,Validation,IN,0.8156,0.6627,0.7758,0.7253,0.7655,0.553
KNN,Validation,IN,0.8631,0.6359,0.7881,0.7265,0.7744,0.5827
MLP,Validation,IN,0.7897,0.7308,0.7846,0.7472,0.7796,0.5743
QDA,Validation,IN,0.5844,0.5404,0.5648,0.4306,0.5626,0.1591
RFC,Validation,IN,0.868,0.6964,0.815,0.7677,0.8043,0.6331
SVC,Validation,IN,0.813,0.583,0.74,0.6448,0.7259,0.4864
ABC,Validation,PR,0.9403,0.9912,0.933,0.965,0.576,0.1918
CNN,Validation,PR,0.9555,0.9951,0.9523,0.9749,0.6894,0.5505
DTC,Validation,PR,0.9518,0.9686,0.925,0.96,0.6574,0.3445
GNB,Validation,PR,0.9459,0.925,0.8807,0.9334,0.609,0.2451
GPC,Validation,PR,0.934,0.9989,0.9331,0.9653,0.5299,0.0781
KNN,Validation,PR,0.9462,0.9959,0.9434,0.9704,0.6216,0.4175
MLP,Validation,PR,0.9668,0.9877,0.9568,0.977,0.7675,0.6232
QDA,Validation,PR,0.8514,0.5627,0.564,0.6026,0.5716,0.0952
RFC,Validation,PR,0.9484,0.9956,0.9454,0.9714,0.6377,0.4609
SVC,Validation,PR,0.9454,0.9942,0.941,0.9691,0.6149,0.3498
ABC,Validation,RT,0.7457,0.925,0.715,0.8192,0.5619,0.1408
CNN,Validation,RT,0.7513,0.9334,0.7303,0.831,0.5823,0.2267
DTC,Validation,RT,0.7905,0.7658,0.6879,0.771,0.631,0.261
GNB,Validation,RT,0.7799,0.6515,0.6464,0.6876,0.6427,0.2644
GPC,Validation,RT,0.7648,0.9664,0.7628,0.8526,0.6143,0.3466
KNN,Validation,RT,0.8478,0.7976,0.7515,0.8178,0.7179,0.4305
MLP,Validation,RT,0.817,0.8688,0.7644,0.8393,0.6883,0.4081
QDA,Validation,RT,0.7143,0.5569,0.5571,0.5456,0.5572,0.1257
RFC,Validation,RT,0.8278,0.9342,0.8151,0.8777,0.7282,0.5203
SVC,Validation,RT,0.7846,0.9243,0.7599,0.8456,0.6401,0.3451
ABC,Test,IN,0.8088,0.6518,0.7643,0.717,0.7563,0.5326
CNN,Test,IN,0.8061,0.7592,0.7997,0.7751,0.7969,0.6038
DTC,Test,IN,0.761,0.7003,0.7579,0.7247,0.7538,0.5155
GNB,Test,IN,0.5913,0.3403,0.6807,0.4205,0.6565,0.3495
GPC,Test,IN,0.9247,0.7367,0.8491,0.8177,0.8411,0.7073
KNN,Test,IN,0.9509,0.7035,0.8452,0.8052,0.8351,0.7064
MLP,Test,IN,0.8741,0.8007,0.8497,0.8283,0.8462,0.7063
QDA,Test,IN,0.5345,0.5625,0.5853,0.454,0.5837,0.2017
RFC,Test,IN,0.9545,0.7342,0.8606,0.8283,0.8516,0.7334
SVC,Test,IN,0.8971,0.6503,0.7978,0.7171,0.7873,0.6105
ABC,Test,PR,0.9371,0.9745,0.9152,0.9545,0.6136,0.2296
CNN,Test,PR,0.9464,0.9901,0.9393,0.9677,0.6807,0.5013
DTC,Test,PR,0.9641,0.9433,0.9152,0.9531,0.7717,0.4818
GNB,Test,PR,0.9292,0.9369,0.8761,0.9318,0.5663,0.1219
GPC,Test,PR,0.9232,0.9981,0.9217,0.9591,0.5332,0.0732
KNN,Test,PR,0.9455,0.9855,0.9337,0.9647,0.6697,0.4015
MLP,Test,PR,0.9628,0.9776,0.9444,0.97,0.7756,0.6016
QDA,Test,PR,0.7991,0.5268,0.5314,0.559,0.555,0.0664
RFC,Test,PR,0.9607,0.9864,0.9504,0.9733,0.7671,0.629
SVC,Test,PR,0.9395,0.9906,0.9321,0.9641,0.6347,0.3434
ABC,Test,RT,0.784,0.9485,0.7591,0.8545,0.565,0.1531
CNN,Test,RT,0.7914,0.9463,0.77,0.8612,0.5894,0.2419
DTC,Test,RT,0.8363,0.781,0.717,0.803,0.6514,0.2857
GNB,Test,RT,0.7952,0.6456,0.6572,0.7045,0.6691,0.2943
GPC,Test,RT,0.8044,0.9721,0.7989,0.8792,0.6215,0.3689
KNN,Test,RT,0.8917,0.8179,0.7865,0.8513,0.7543,0.4802
MLP,Test,RT,0.8603,0.877,0.7962,0.866,0.7135,0.4396
QDA,Test,RT,0.7602,0.5517,0.5537,0.5518,0.5558,0.121
RFC,Test,RT,0.8581,0.9417,0.8388,0.8979,0.7335,0.5323
SVC,Test,RT,0.8288,0.9341,0.7993,0.8753,0.6612,0.3817
