Model,Phase,Enzyme,PRC,REC,ACC,F1,AUC,MCC
ABC,Train,IN,0.4672,0.412,0.5232,0.4307,0.5132,0.0272
CNN,Train,IN,0.3383,0.3118,0.5123,0.3167,0.4942,-0.0094
DTC,Train,IN,0.4718,0.4321,0.5215,0.4442,0.5135,0.0287
GNB,Train,IN,0.4859,0.0621,0.5607,0.109,0.5157,0.0694
GPC,Train,IN,0.4616,0.4004,0.519,0.4274,0.5083,0.0171
KNN,Train,IN,0.4526,0.4661,0.5054,0.4586,0.5019,0.0038
MLP,Train,IN,0.4592,0.4342,0.5149,0.4455,0.5076,0.0154
QDA,Train,IN,0.5931,0.2942,0.5353,0.3077,0.5136,0.062
RFC,Train,IN,0.4961,0.3771,0.5302,0.4069,0.5164,0.0412
SVC,Train,IN,0.5031,0.3486,0.5205,0.3731,0.505,0.0224
ABC,Train,PR,0.9304,0.9886,0.9206,0.9585,0.5033,0.0076
CNN,Train,PR,0.9318,0.9683,0.9045,0.9496,0.5136,0.0307
DTC,Train,PR,0.9314,0.9328,0.8737,0.9319,0.5107,0.0204
GNB,Train,PR,0.9382,0.6452,0.6247,0.6781,0.4988,-0.0035
GPC,Train,PR,0.9037,0.9593,0.8946,0.9307,0.4974,-0.0113
KNN,Train,PR,0.9287,0.964,0.8977,0.946,0.491,-0.0251
MLP,Train,PR,0.9302,0.9652,0.9003,0.9473,0.502,0.0052
QDA,Train,PR,0.9293,0.9649,0.8991,0.9459,0.4956,-0.0143
RFC,Train,PR,0.931,0.9476,0.8859,0.9392,0.5077,0.0182
SVC,Train,PR,0.9295,0.9635,0.8981,0.946,0.4966,-0.0123
ABC,Train,RT,0.7045,0.9009,0.662,0.787,0.4878,-0.0298
CNN,Train,RT,0.7033,0.8638,0.6443,0.7744,0.4842,-0.0465
DTC,Train,RT,0.7026,0.7065,0.5793,0.701,0.4865,-0.0263
GNB,Train,RT,0.6788,0.6377,0.5373,0.6334,0.4641,-0.0719
GPC,Train,RT,0.694,0.794,0.6048,0.7405,0.4668,-0.0771
KNN,Train,RT,0.6983,0.7462,0.5905,0.7213,0.4769,-0.0486
MLP,Train,RT,0.6988,0.812,0.6175,0.7503,0.4757,-0.0614
QDA,Train,RT,0.7015,0.8219,0.6262,0.7504,0.4834,-0.0399
