Model,Phase,PRC,REC,ACC,F1,AUC,MCC
KNN,Train,0.4788,0.3991,0.5327,0.4343,0.5207,0.0428
KNN,Test,0.4888,0.3726,0.5312,0.4218,0.5199,0.0412
GNB,Train,0.3408,0.2936,0.5297,0.3102,0.5084,0.0194
GPC,Train,0.4751,0.4035,0.5289,0.4353,0.5176,0.0367
SVC,Train,0.4836,0.3884,0.5265,0.4188,0.514,0.0333
KNN,Validation,0.472,0.4033,0.5261,0.434,0.5151,0.0315
GNB,Validation,0.3364,0.2966,0.5244,0.3101,0.5039,0.0107
DTC,Validation,0.4693,0.4242,0.5239,0.4444,0.5149,0.0304
GPC,Test,0.476,0.3543,0.5218,0.4048,0.5099,0.0208
GPC,Validation,0.4666,0.4032,0.5213,0.4311,0.5107,0.0227
GNB,Test,0.3406,0.2699,0.5196,0.2955,0.5018,0.0059
RFC,Train,0.4645,0.4353,0.5193,0.4494,0.5118,0.0238
SVC,Validation,0.4743,0.3877,0.5185,0.4148,0.5067,0.0183
CNN,Train,0.4618,0.4098,0.5181,0.4331,0.5083,0.0173
MLP,Test,0.4739,0.4003,0.5165,0.4335,0.5082,0.0173
RFC,Test,0.4711,0.4018,0.5164,0.4335,0.5082,0.0165
MLP,Train,0.4596,0.4458,0.5138,0.4521,0.5077,0.0156
DTC,Train,0.4578,0.4237,0.5134,0.4384,0.5053,0.011
RFC,Validation,0.458,0.4387,0.5122,0.448,0.5056,0.0114
QDA,Train,0.607,0.3837,0.5092,0.3491,0.4979,0.0266
CNN,Test,0.4617,0.3715,0.509,0.4106,0.4993,-0.0012
SVC,Test,0.4679,0.3407,0.5088,0.384,0.4969,-0.0035
MLP,Validation,0.4533,0.4414,0.5069,0.446,0.501,0.0024
CNN,Validation,0.4511,0.4172,0.5069,0.432,0.4988,-0.0018
DTC,Test,0.4563,0.3844,0.5041,0.415,0.4956,-0.0089
QDA,Validation,0.5967,0.3796,0.5031,0.3468,0.492,0.0149
QDA,Test,0.6104,0.3666,0.4998,0.3434,0.4903,0.0139
ABC,Test,0.4348,0.3041,0.4986,0.3561,0.4847,-0.0338
ABC,Train,0.4277,0.3729,0.4924,0.3969,0.4816,-0.0374
ABC,Validation,0.4219,0.3662,0.49,0.3898,0.4788,-0.044
