Model,Phase,PRC,REC,ACC,F1,AUC,MCC
RFC,Train,0.9955,0.9527,0.9768,0.9716,0.9747,0.9554
KNN,Train,0.9785,0.9213,0.9559,0.9477,0.9528,0.9128
MLP,Train,0.9367,0.8941,0.924,0.9133,0.9213,0.8486
GPC,Train,0.9616,0.8521,0.9183,0.903,0.9123,0.8382
CNN,Train,0.9164,0.8788,0.9096,0.8958,0.9068,0.8184
SVC,Train,0.9404,0.831,0.8977,0.8665,0.8917,0.8007
DTC,Train,0.8795,0.8006,0.8616,0.8315,0.8562,0.7237
RFC,Test,0.9545,0.7342,0.8606,0.8283,0.8516,0.7334
MLP,Test,0.8741,0.8007,0.8497,0.8283,0.8462,0.7063
GPC,Test,0.9247,0.7367,0.8491,0.8177,0.8411,0.7073
KNN,Test,0.9509,0.7035,0.8452,0.8052,0.8351,0.7064
RFC,Validation,0.868,0.6964,0.815,0.7677,0.8043,0.6331
CNN,Test,0.8061,0.7592,0.7997,0.7751,0.7969,0.6038
SVC,Test,0.8971,0.6503,0.7978,0.7171,0.7873,0.6105
KNN,Validation,0.8631,0.6359,0.7881,0.7265,0.7744,0.5827
MLP,Validation,0.7897,0.7308,0.7846,0.7472,0.7796,0.5743
GPC,Validation,0.8156,0.6627,0.7758,0.7253,0.7655,0.553
ABC,Test,0.8088,0.6518,0.7643,0.717,0.7563,0.5326
ABC,Train,0.7744,0.6678,0.7601,0.7117,0.7517,0.5176
DTC,Test,0.761,0.7003,0.7579,0.7247,0.7538,0.5155
SVC,Validation,0.813,0.583,0.74,0.6448,0.7259,0.4864
GNB,Train,0.6891,0.4617,0.738,0.5237,0.7131,0.4593
CNN,Validation,0.7303,0.6737,0.7377,0.6947,0.7319,0.4736
ABC,Validation,0.7127,0.5657,0.6955,0.6195,0.6838,0.3877
DTC,Validation,0.686,0.6079,0.695,0.6376,0.6871,0.3839
GNB,Test,0.5913,0.3403,0.6807,0.4205,0.6565,0.3495
QDA,Train,0.7344,0.5012,0.6545,0.4978,0.6406,0.3131
GNB,Validation,0.5587,0.332,0.6539,0.3927,0.6248,0.2757
QDA,Test,0.5345,0.5625,0.5853,0.454,0.5837,0.2017
QDA,Validation,0.5844,0.5404,0.5648,0.4306,0.5626,0.1591
