Model,Phase,PRC,REC,ACC,F1,AUC,MCC
GNB,Train,0.4859,0.0621,0.5607,0.109,0.5157,0.0694
GNB,Validation,0.4659,0.0557,0.5578,0.0985,0.5126,0.058
GNB,Test,0.484,0.0681,0.5497,0.118,0.5154,0.0666
QDA,Train,0.5931,0.2942,0.5353,0.3077,0.5136,0.062
QDA,Validation,0.6082,0.2865,0.5328,0.3015,0.5105,0.0597
QDA,Test,0.63,0.2753,0.5326,0.3047,0.5143,0.0714
RFC,Train,0.4961,0.3771,0.5302,0.4069,0.5164,0.0412
RFC,Validation,0.5164,0.3775,0.5287,0.4083,0.515,0.0449
ABC,Validation,0.4824,0.4164,0.5282,0.4367,0.5181,0.0405
ABC,Train,0.4672,0.412,0.5232,0.4307,0.5132,0.0272
DTC,Train,0.4718,0.4321,0.5215,0.4442,0.5135,0.0287
RFC,Test,0.4982,0.3274,0.521,0.3761,0.5072,0.023
SVC,Train,0.5031,0.3486,0.5205,0.3731,0.505,0.0224
GPC,Validation,0.4625,0.4046,0.5193,0.4301,0.509,0.0186
GPC,Train,0.4616,0.4004,0.519,0.4274,0.5083,0.0171
SVC,Validation,0.5023,0.3453,0.517,0.3701,0.5015,0.0161
MLP,Train,0.4592,0.4342,0.5149,0.4455,0.5076,0.0154
CNN,Test,0.3458,0.2863,0.5146,0.3059,0.4984,-0.0028
DTC,Validation,0.4649,0.426,0.5141,0.4364,0.5061,0.0146
CNN,Train,0.3383,0.3118,0.5123,0.3167,0.4942,-0.0094
DTC,Test,0.4689,0.3861,0.511,0.417,0.5021,0.0055
ABC,Test,0.457,0.3436,0.5102,0.3861,0.4983,-0.0044
MLP,Validation,0.4542,0.4207,0.5101,0.4355,0.502,0.0044
GPC,Test,0.4524,0.3334,0.5069,0.382,0.4945,-0.012
KNN,Train,0.4526,0.4661,0.5054,0.4586,0.5019,0.0038
MLP,Test,0.4563,0.3635,0.5053,0.4032,0.4952,-0.0096
KNN,Validation,0.45,0.4595,0.5031,0.4538,0.4992,-0.0016
CNN,Validation,0.3116,0.2998,0.4995,0.2998,0.4815,-0.0391
SVC,Test,0.4861,0.292,0.4977,0.333,0.4831,-0.0223
KNN,Test,0.4478,0.4095,0.495,0.4268,0.4889,-0.0227
