Model,Phase,PRC,REC,ACC,F1,AUC,MCC
ABC,Train,0.9302,0.9932,0.9244,0.9606,0.5023,0.0067
ABC,Validation,0.9301,0.9934,0.9244,0.9606,0.5014,0.003
ABC,Test,0.9176,0.9906,0.9097,0.9526,0.4982,-0.0052
SVC,Validation,0.9298,0.9659,0.9005,0.9474,0.4992,-0.0061
SVC,Train,0.9298,0.9655,0.9001,0.9472,0.4991,-0.0065
GPC,Validation,0.9327,0.9624,0.8997,0.9453,0.5147,0.0159
GPC,Train,0.9323,0.9613,0.8982,0.9444,0.5115,0.0079
KNN,Train,0.9298,0.9551,0.8912,0.9422,0.4988,-0.0089
KNN,Validation,0.9292,0.9549,0.8904,0.9418,0.495,-0.0161
CNN,Validation,0.9297,0.9529,0.8891,0.941,0.498,-0.0094
CNN,Train,0.929,0.9515,0.8872,0.94,0.493,-0.0178
GPC,Test,0.9208,0.9599,0.8864,0.9379,0.5124,0.0099
RFC,Validation,0.9287,0.9499,0.8856,0.9391,0.4913,-0.024
DTC,Train,0.9322,0.9455,0.8853,0.9386,0.516,0.0312
RFC,Train,0.9283,0.9485,0.8839,0.9383,0.4882,-0.029
DTC,Validation,0.9309,0.9448,0.8834,0.9375,0.5069,0.013
SVC,Test,0.9158,0.9563,0.8792,0.9355,0.4869,-0.0343
MLP,Validation,0.931,0.9327,0.8731,0.9318,0.5073,0.0114
KNN,Test,0.9165,0.9481,0.873,0.9319,0.491,-0.0252
MLP,Train,0.9318,0.93,0.8716,0.9308,0.5132,0.0259
CNN,Test,0.9158,0.9451,0.8699,0.9302,0.4872,-0.0318
DTC,Test,0.9165,0.9419,0.8679,0.9289,0.4914,-0.0203
RFC,Test,0.9145,0.9395,0.8638,0.9268,0.4786,-0.051
MLP,Test,0.9172,0.9247,0.8542,0.9209,0.4954,-0.0113
GNB,Train,0.9338,0.9049,0.8515,0.9169,0.5241,0.0319
GNB,Validation,0.9338,0.8978,0.8454,0.913,0.5238,0.0307
GNB,Test,0.9209,0.8993,0.8364,0.9075,0.5167,0.025
QDA,Validation,0.9468,0.6347,0.6226,0.6625,0.5483,0.0542
QDA,Test,0.9051,0.6304,0.6148,0.6535,0.5358,0.0458
QDA,Train,0.951,0.6251,0.6145,0.6557,0.5493,0.0548
