Model,Phase,PRC,REC,ACC,F1,AUC,MCC
RFC,Train,0.9942,1.0,0.9946,0.9971,0.9612,0.9567
MLP,Train,0.9966,0.9969,0.9939,0.9967,0.9754,0.9534
CNN,Train,0.9893,0.9999,0.9898,0.9946,0.9281,0.9184
KNN,Train,0.9788,0.9982,0.9777,0.9883,0.8523,0.7915
DTC,Train,0.9818,0.9929,0.976,0.9872,0.8722,0.7897
SVC,Train,0.9738,0.9992,0.9736,0.9861,0.8167,0.7149
MLP,Validation,0.9668,0.9877,0.9568,0.977,0.7675,0.6232
CNN,Validation,0.9555,0.9951,0.9523,0.9749,0.6894,0.5505
RFC,Test,0.9607,0.9864,0.9504,0.9733,0.7671,0.629
RFC,Validation,0.9484,0.9956,0.9454,0.9714,0.6377,0.4609
MLP,Test,0.9628,0.9776,0.9444,0.97,0.7756,0.6016
KNN,Validation,0.9462,0.9959,0.9434,0.9704,0.6216,0.4175
ABC,Train,0.9472,0.9949,0.9431,0.9703,0.6255,0.3267
SVC,Validation,0.9454,0.9942,0.941,0.9691,0.6149,0.3498
GPC,Train,0.9403,1.0,0.9404,0.9691,0.5751,0.2493
CNN,Test,0.9464,0.9901,0.9393,0.9677,0.6807,0.5013
KNN,Test,0.9455,0.9855,0.9337,0.9647,0.6697,0.4015
GPC,Validation,0.934,0.9989,0.9331,0.9653,0.5299,0.0781
ABC,Validation,0.9403,0.9912,0.933,0.965,0.576,0.1918
SVC,Test,0.9395,0.9906,0.9321,0.9641,0.6347,0.3434
DTC,Validation,0.9518,0.9686,0.925,0.96,0.6574,0.3445
GPC,Test,0.9232,0.9981,0.9217,0.9591,0.5332,0.0732
ABC,Test,0.9371,0.9745,0.9152,0.9545,0.6136,0.2296
DTC,Test,0.9641,0.9433,0.9152,0.9531,0.7717,0.4818
GNB,Train,0.9763,0.9323,0.9135,0.9511,0.7982,0.5213
GNB,Validation,0.9459,0.925,0.8807,0.9334,0.609,0.2451
GNB,Test,0.9292,0.9369,0.8761,0.9318,0.5663,0.1219
QDA,Train,0.8152,0.7177,0.7052,0.7188,0.6282,0.2184
QDA,Validation,0.8514,0.5627,0.564,0.6026,0.5716,0.0952
QDA,Test,0.7991,0.5268,0.5314,0.559,0.555,0.0664
