Model,Phase,PRC,REC,ACC,F1,AUC,MCC
ABC,Validation,0.9303,0.9896,0.9214,0.9589,0.5029,0.0056
ABC,Train,0.9304,0.9886,0.9206,0.9585,0.5033,0.0076
ABC,Test,0.918,0.9877,0.9077,0.9514,0.5005,0.0009
CNN,Train,0.9318,0.9683,0.9045,0.9496,0.5136,0.0307
MLP,Train,0.9302,0.9652,0.9003,0.9473,0.502,0.0052
QDA,Train,0.9293,0.9649,0.8991,0.9459,0.4956,-0.0143
QDA,Validation,0.9291,0.9642,0.8983,0.9454,0.494,-0.0168
SVC,Train,0.9295,0.9635,0.8981,0.946,0.4966,-0.0123
SVC,Validation,0.9292,0.9639,0.8981,0.946,0.4944,-0.0165
KNN,Validation,0.929,0.9639,0.8979,0.9461,0.4935,-0.017
KNN,Train,0.9287,0.964,0.8977,0.946,0.491,-0.0251
CNN,Validation,0.9306,0.9616,0.8976,0.9456,0.5045,0.007
MLP,Validation,0.9297,0.962,0.897,0.9453,0.4982,-0.0067
GPC,Validation,0.9038,0.9596,0.8948,0.9308,0.4975,-0.0123
GPC,Train,0.9037,0.9593,0.8946,0.9307,0.4974,-0.0113
GPC,Test,0.8922,0.9646,0.8881,0.927,0.499,-0.0068
SVC,Test,0.9162,0.9643,0.8863,0.9395,0.4891,-0.0335
RFC,Validation,0.9304,0.9486,0.8862,0.9394,0.5034,0.0079
RFC,Train,0.931,0.9476,0.8859,0.9392,0.5077,0.0182
KNN,Test,0.9159,0.9628,0.8848,0.9387,0.4876,-0.0366
MLP,Test,0.9171,0.9605,0.8841,0.9381,0.495,-0.0101
QDA,Test,0.9161,0.961,0.8836,0.9371,0.4894,-0.0269
CNN,Test,0.9167,0.9599,0.8832,0.9377,0.4928,-0.0199
DTC,Validation,0.9312,0.937,0.877,0.9338,0.5092,0.0168
RFC,Test,0.9177,0.9486,0.8748,0.9329,0.4989,-0.0022
DTC,Train,0.9314,0.9328,0.8737,0.9319,0.5107,0.0204
DTC,Test,0.9166,0.9284,0.8567,0.9221,0.492,-0.0178
GNB,Train,0.9382,0.6452,0.6247,0.6781,0.4988,-0.0035
GNB,Validation,0.8662,0.6349,0.6143,0.6704,0.4877,-0.0184
GNB,Test,0.9227,0.628,0.6021,0.6627,0.4707,-0.0408
