Model,Phase,PRC,REC,ACC,F1,AUC,MCC
ABC,Test,0.749,0.9555,0.726,0.8386,0.491,-0.0219
ABC,Validation,0.7099,0.9581,0.6921,0.8143,0.4981,-0.0041
ABC,Train,0.71,0.9569,0.6917,0.8139,0.4982,-0.0042
CNN,Test,0.7411,0.8683,0.6733,0.7981,0.4735,-0.061
CNN,Train,0.7038,0.8729,0.6491,0.7778,0.4859,-0.0329
CNN,Validation,0.701,0.8784,0.6482,0.7784,0.4803,-0.0468
DTC,Validation,0.72,0.7798,0.6271,0.7457,0.5158,0.0311
SVC,Test,0.733,0.7858,0.624,0.7563,0.4581,-0.0926
DTC,Test,0.7412,0.7587,0.6198,0.7467,0.4774,-0.0435
DTC,Train,0.7133,0.7755,0.6187,0.7403,0.5043,0.0083
MLP,Test,0.7309,0.7758,0.6173,0.7492,0.455,-0.1021
MLP,Train,0.7014,0.8008,0.616,0.7451,0.4812,-0.0504
MLP,Validation,0.7025,0.7978,0.6159,0.7436,0.4834,-0.0444
SVC,Validation,0.7004,0.8017,0.6153,0.7455,0.4793,-0.0534
SVC,Train,0.6994,0.8015,0.6141,0.745,0.4774,-0.0577
GPC,Test,0.726,0.727,0.6052,0.7218,0.4804,-0.0498
QDA,Validation,0.7901,0.6633,0.6028,0.6448,0.5587,0.1151
GPC,Validation,0.6957,0.7415,0.6014,0.713,0.4992,-0.0119
QDA,Test,0.8145,0.6532,0.5998,0.6522,0.5451,0.0862
GPC,Train,0.6937,0.7392,0.5981,0.7105,0.4953,-0.0205
QDA,Train,0.7907,0.6568,0.5976,0.64,0.5544,0.1079
KNN,Validation,0.7264,0.6933,0.5957,0.7091,0.5244,0.0466
KNN,Train,0.7237,0.6851,0.5889,0.7031,0.5188,0.0348
RFC,Test,0.7225,0.7251,0.5832,0.7238,0.4379,-0.1249
KNN,Test,0.7506,0.667,0.5817,0.7059,0.4943,-0.0116
RFC,Validation,0.689,0.7398,0.5777,0.7134,0.4595,-0.0866
RFC,Train,0.6876,0.7401,0.5762,0.7129,0.4567,-0.0927
GNB,Validation,0.6549,0.5663,0.538,0.6069,0.5173,0.0331
GNB,Train,0.68,0.5529,0.5262,0.5969,0.5067,0.0129
GNB,Test,0.6631,0.5487,0.5089,0.6002,0.4682,-0.0564
