Model,Phase,PRC,REC,ACC,F1,AUC,MCC
RFC,Train,0.9936,0.9984,0.9943,0.996,0.9912,0.986
KNN,Train,0.9632,0.972,0.9533,0.9674,0.9397,0.8854
MLP,Train,0.9499,0.9803,0.9458,0.9638,0.9206,0.863
SVC,Train,0.8974,0.9818,0.8994,0.9353,0.8393,0.741
GPC,Train,0.8656,0.9943,0.8833,0.9247,0.8023,0.7003
DTC,Train,0.8983,0.9071,0.8543,0.8992,0.8158,0.6287
CNN,Train,0.8421,0.9899,0.8521,0.9077,0.7516,0.5975
RFC,Test,0.8581,0.9417,0.8388,0.8979,0.7335,0.5323
RFC,Validation,0.8278,0.9342,0.8151,0.8777,0.7282,0.5203
SVC,Test,0.8288,0.9341,0.7993,0.8753,0.6612,0.3817
GPC,Test,0.8044,0.9721,0.7989,0.8792,0.6215,0.3689
MLP,Test,0.8603,0.877,0.7962,0.866,0.7135,0.4396
KNN,Test,0.8917,0.8179,0.7865,0.8513,0.7543,0.4802
CNN,Test,0.7914,0.9463,0.77,0.8612,0.5894,0.2419
GNB,Train,0.9113,0.7679,0.7667,0.7881,0.7659,0.5013
MLP,Validation,0.817,0.8688,0.7644,0.8393,0.6883,0.4081
GPC,Validation,0.7648,0.9664,0.7628,0.8526,0.6143,0.3466
SVC,Validation,0.7846,0.9243,0.7599,0.8456,0.6401,0.3451
ABC,Test,0.784,0.9485,0.7591,0.8545,0.565,0.1531
KNN,Validation,0.8478,0.7976,0.7515,0.8178,0.7179,0.4305
ABC,Train,0.759,0.961,0.7469,0.8443,0.5908,0.2117
CNN,Validation,0.7513,0.9334,0.7303,0.831,0.5823,0.2267
QDA,Train,0.7072,0.809,0.7225,0.7437,0.6594,0.3111
DTC,Test,0.8363,0.781,0.717,0.803,0.6514,0.2857
ABC,Validation,0.7457,0.925,0.715,0.8192,0.5619,0.1408
DTC,Validation,0.7905,0.7658,0.6879,0.771,0.631,0.261
GNB,Test,0.7952,0.6456,0.6572,0.7045,0.6691,0.2943
GNB,Validation,0.7799,0.6515,0.6464,0.6876,0.6427,0.2644
QDA,Validation,0.7143,0.5569,0.5571,0.5456,0.5572,0.1257
QDA,Test,0.7602,0.5517,0.5537,0.5518,0.5558,0.121
