Model,Phase,PRC,REC,ACC,F1,AUC,MCC
ABC,Test,0.7436,0.8974,0.6917,0.8092,0.481,-0.0433
CNN,Test,0.7423,0.868,0.6742,0.7993,0.4757,-0.0622
ABC,Train,0.7045,0.9009,0.662,0.787,0.4878,-0.0298
ABC,Validation,0.7043,0.8986,0.661,0.7857,0.4878,-0.029
CNN,Validation,0.7042,0.8683,0.6474,0.7768,0.4863,-0.0403
QDA,Test,0.7357,0.8222,0.647,0.7704,0.4676,-0.0617
CNN,Train,0.7033,0.8638,0.6443,0.7744,0.4842,-0.0465
MLP,Test,0.7355,0.8193,0.6422,0.7743,0.4608,-0.0953
SVC,Test,0.7424,0.797,0.6395,0.7652,0.4781,-0.0495
QDA,Validation,0.7025,0.8241,0.628,0.7521,0.4851,-0.0359
GPC,Test,0.7319,0.7979,0.6279,0.7633,0.4538,-0.1039
QDA,Train,0.7015,0.8219,0.6262,0.7504,0.4834,-0.0399
MLP,Train,0.6988,0.812,0.6175,0.7503,0.4757,-0.0614
SVC,Train,0.7031,0.7971,0.6163,0.7442,0.4844,-0.0408
SVC,Validation,0.7027,0.797,0.6157,0.7437,0.4835,-0.0433
MLP,Validation,0.6979,0.8095,0.6154,0.7487,0.4738,-0.0658
GPC,Validation,0.6958,0.7975,0.6083,0.743,0.4702,-0.0693
GPC,Train,0.694,0.794,0.6048,0.7405,0.4668,-0.0771
KNN,Test,0.7343,0.7416,0.6035,0.7378,0.462,-0.0767
KNN,Validation,0.705,0.7512,0.5998,0.7272,0.4895,-0.0218
KNN,Train,0.6983,0.7462,0.5905,0.7213,0.4769,-0.0486
RFC,Validation,0.695,0.7387,0.5838,0.7161,0.4709,-0.0613
DTC,Test,0.7327,0.699,0.5821,0.712,0.4623,-0.0714
RFC,Test,0.7225,0.7209,0.5814,0.7217,0.4385,-0.1226
DTC,Train,0.7026,0.7065,0.5793,0.701,0.4865,-0.0263
DTC,Validation,0.7004,0.7008,0.5751,0.6968,0.4834,-0.0324
RFC,Train,0.6899,0.7299,0.5749,0.7093,0.4618,-0.08
GNB,Validation,0.6879,0.6527,0.5491,0.647,0.4736,-0.053
GNB,Test,0.7066,0.6385,0.5416,0.6478,0.4424,-0.1099
GNB,Train,0.6788,0.6377,0.5373,0.6334,0.4641,-0.0719
