model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
gpc,IN,PC,minmax,1,DotProduct(sigma_0=1),train,0.4650698602794411,0.3675078864353312,0.5248579545454546,0.4105726872246696,0.5106273282305855,0.0220875066200148,1,1
gpc,IN,PC,minmax,1,DotProduct(sigma_0=1),validation,0.4431818181818182,0.3679245283018867,0.5063829787234042,0.4020618556701031,0.4940397835307883,-0.0122557477364329,1,2
gpc,IN,PC,minmax,1,DotProduct(sigma_0=1),test,0.4895104895104895,0.3225806451612903,0.5319148936170213,0.3888888888888889,0.5170215478770879,0.0368873349087427,1,3
gpc,IN,PC,minmax,2,DotProduct(sigma_0=1),train,0.4358452138492871,0.3375394321766561,0.5049715909090909,0.3804444444444444,0.4898291476128759,-0.0212362115169499,1,1
gpc,IN,PC,minmax,2,DotProduct(sigma_0=1),validation,0.489247311827957,0.4292452830188679,0.5404255319148936,0.457286432160804,0.5305141143776511,0.0621001868300229,1,2
gpc,IN,PC,minmax,2,DotProduct(sigma_0=1),test,0.4615384615384615,0.304147465437788,0.5148936170212766,0.3666666666666666,0.4998998196754157,-0.0002171004194736,1,3
gpc,IN,PC,minmax,3,DotProduct(sigma_0=1),train,0.4461538461538462,0.5937007874015748,0.4847409510290986,0.5094594594594595,0.4945248123054386,-0.0111203496825463,1,1
gpc,IN,PC,minmax,3,DotProduct(sigma_0=1),validation,0.4598540145985401,0.5971563981042654,0.5031982942430704,0.5195876288659794,0.511756493625776,0.0237337466403825,1,2
gpc,IN,PC,minmax,3,DotProduct(sigma_0=1),test,0.4541984732824427,0.5483870967741935,0.4872340425531914,0.4968684759916493,0.4915848527349229,-0.0168927179368598,1,3
gpc,IN,PC,minmax,4,DotProduct(sigma_0=1),train,0.4981132075471698,0.415748031496063,0.5479063165365508,0.4532188841201717,0.536039390425034,0.0740342025790187,1,1
gpc,IN,PC,minmax,4,DotProduct(sigma_0=1),validation,0.3975155279503105,0.3033175355450237,0.4797441364605543,0.3440860215053763,0.4636742716484808,-0.0761214602679701,1,2
gpc,IN,PC,minmax,4,DotProduct(sigma_0=1),test,0.4520547945205479,0.304147465437788,0.5085106382978724,0.3636363636363636,0.493970965920475,-0.0129902924647288,1,3
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=0.5)",train,0.4869215291750503,0.3817034700315457,0.5404829545454546,0.4279398762157382,0.5261230528452303,0.0543915770460958,1,1
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=0.5)",validation,0.4712643678160919,0.3867924528301887,0.5276595744680851,0.4248704663212435,0.5151016527716835,0.0311251734200215,1,2
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=0.5)",test,0.4328358208955223,0.2672811059907834,0.5,0.3304843304843304,0.4834429245368936,-0.0365663585577959,1,3
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=0.5)",train,0.4567627494456763,0.3249211356466877,0.5220170454545454,0.3797235023041475,0.5041918339732147,0.00893932935099,1,1
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=0.5)",validation,0.5,0.3867924528301887,0.548936170212766,0.4361702127659574,0.5344814977329237,0.0719964799365217,1,2
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=0.5)",test,0.464,0.2672811059907834,0.5191489361702127,0.3391812865497076,0.5012294858017158,0.0027744639548621,1,3
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=0.5)",train,0.4557823129251701,0.3165354330708661,0.5216465578424414,0.3736059479553903,0.5032289568455106,0.0069293517237216,1,1
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=0.5)",validation,0.4928571428571429,0.3270142180094786,0.5458422174840085,0.3931623931623931,0.5259102097799331,0.0563365228954472,1,2
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=0.5)",test,0.4285714285714285,0.2350230414746544,0.502127659574468,0.3035714285714285,0.483124168958671,-0.0386953031038578,1,3
gpc,IN,PC,minmax,4,"Matern(length_scale=1, nu=0.5)",train,0.4832089552238806,0.4078740157480315,0.5365507452093683,0.4423569598633646,0.5249964393985636,0.0512360891017633,1,1
gpc,IN,PC,minmax,4,"Matern(length_scale=1, nu=0.5)",validation,0.4719101123595505,0.3981042654028436,0.5287846481876333,0.4318766066838046,0.516881590065763,0.0346128954663415,1,2
gpc,IN,PC,minmax,4,"Matern(length_scale=1, nu=0.5)",test,0.4802631578947368,0.336405529953917,0.5255319148936171,0.3956639566395664,0.5120762827635198,0.0257405630586904,1,3
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=1.5)",train,0.4892787524366471,0.3958990536277602,0.5419034090909091,0.4376634699215344,0.528698880819048,0.0593389511238068,1,1
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=1.5)",validation,0.48,0.3962264150943396,0.5340425531914894,0.4341085271317829,0.5217566183998831,0.0447887705537674,1,2
gpc,IN,PC,minmax,1,"Matern(length_scale=1, nu=1.5)",test,0.4275862068965517,0.2857142857142857,0.4936170212765957,0.3425414364640884,0.4788255223037831,-0.0457095712948132,1,3
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=1.5)",train,0.4621848739495798,0.3470031545741325,0.5241477272727273,0.3963963963963964,0.5081269002844823,0.0170945866318381,1,1
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=1.5)",validation,0.4913294797687861,0.4009433962264151,0.5425531914893617,0.4415584415584415,0.5299290624542928,0.0617589090037742,1,2
gpc,IN,PC,minmax,2,"Matern(length_scale=1, nu=1.5)",test,0.4586466165413533,0.2811059907834101,0.5148936170212766,0.3485714285714286,0.498260505273128,-0.0038503700347673,1,3
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=1.5)",train,0.4583333333333333,0.3291338582677165,0.5223562810503903,0.383134738771769,0.5050062056196464,0.0106479781282829,1,1
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=1.5)",validation,0.5,0.3507109004739336,0.5501066098081023,0.4122562674094707,0.5319445975237885,0.0683903967411463,1,2
gpc,IN,PC,minmax,3,"Matern(length_scale=1, nu=1.5)",test,0.4263565891472868,0.2534562211981567,0.4978723404255319,0.3179190751445087,0.4804830513105408,-0.0436073804540826,1,3
gpc,IN,PC,minmax,4,"Matern(length_scale=1, nu=1.5)",train,0.4808743169398907,0.415748031496063,0.5344215755855216,0.4459459459459459,0.5237654886162485,0.0484951926109794,1,1
gpc,IN,PC,minmax,4,"Matern(length_scale=1, nu=1.5)",validation,0.4607329842931937,0.4170616113744075,0.5181236673773987,0.4378109452736318,0.5089184025864285,0.0180604708161985,1,2
