model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
knn,IN,PC,minmax,1,10-distance-auto,train,0.4652567975830816,0.4858044164037854,0.5170454545454546,0.4753086419753086,0.5142200376592572,0.0283496331259078,1,1
knn,IN,PC,minmax,1,10-distance-auto,validation,0.4372294372294372,0.4764150943396226,0.4872340425531914,0.455981941309255,0.4862695626736872,-0.0273329941748714,1,2
knn,IN,PC,minmax,1,10-distance-auto,test,0.4375,0.4193548387096774,0.4829787234042553,0.428235294117647,0.478452122912151,-0.043255595929232,1,3
knn,IN,PC,minmax,2,10-distance-auto,train,0.4561688311688311,0.443217665615142,0.5113636363636364,0.4496,0.5052005640737208,0.0104314002516732,1,1
knn,IN,PC,minmax,2,10-distance-auto,validation,0.4313725490196078,0.4150943396226415,0.4893617021276595,0.4230769230769231,0.4827409682609331,-0.0346551916152282,1,2
knn,IN,PC,minmax,2,10-distance-auto,test,0.4316939890710382,0.3640552995391705,0.4851063829787234,0.395,0.4764940529316405,-0.0480652697294465,1,3
knn,IN,PC,minmax,3,10-distance-auto,train,0.4514991181657848,0.4031496062992126,0.5102909865152591,0.4259567387687188,0.5006704103847485,0.0013604434574579,1,1
knn,IN,PC,minmax,3,10-distance-auto,validation,0.4659090909090909,0.3886255924170616,0.5245202558635395,0.4237726098191214,0.5121422535728719,0.0249511306590645,1,2
knn,IN,PC,minmax,3,10-distance-auto,test,0.4529411764705882,0.3548387096774194,0.5042553191489362,0.3979328165374677,0.4936248884355477,-0.013228872308462,1,3
knn,IN,PC,minmax,4,10-distance-auto,train,0.4545454545454545,0.4724409448818897,0.5067423704755145,0.4633204633204633,0.5036623329060612,0.0073035209801194,1,1
knn,IN,PC,minmax,4,10-distance-auto,validation,0.4759825327510917,0.5165876777251185,0.5266524520255863,0.4954545454545455,0.5257356993276756,0.0512263825356713,1,2
knn,IN,PC,minmax,4,10-distance-auto,test,0.470873786407767,0.4470046082949309,0.5127659574468085,0.458628841607565,0.5080872843846196,0.016251268461075,1,3
knn,IN,PC,minmax,1,10-distance-ball_tree,train,0.4652567975830816,0.4858044164037854,0.5170454545454546,0.4753086419753086,0.5142200376592572,0.0283496331259078,1,1
knn,IN,PC,minmax,1,10-distance-ball_tree,validation,0.4372294372294372,0.4764150943396226,0.4872340425531914,0.455981941309255,0.4862695626736872,-0.0273329941748714,1,2
knn,IN,PC,minmax,1,10-distance-ball_tree,test,0.4375,0.4193548387096774,0.4829787234042553,0.428235294117647,0.478452122912151,-0.043255595929232,1,3
knn,IN,PC,minmax,2,10-distance-ball_tree,train,0.4561688311688311,0.443217665615142,0.5113636363636364,0.4496,0.5052005640737208,0.0104314002516732,1,1
knn,IN,PC,minmax,2,10-distance-ball_tree,validation,0.4313725490196078,0.4150943396226415,0.4893617021276595,0.4230769230769231,0.4827409682609331,-0.0346551916152282,1,2
knn,IN,PC,minmax,2,10-distance-ball_tree,test,0.4316939890710382,0.3640552995391705,0.4851063829787234,0.395,0.4764940529316405,-0.0480652697294465,1,3
knn,IN,PC,minmax,3,10-distance-ball_tree,train,0.4514991181657848,0.4031496062992126,0.5102909865152591,0.4259567387687188,0.5006704103847485,0.0013604434574579,1,1
knn,IN,PC,minmax,3,10-distance-ball_tree,validation,0.4659090909090909,0.3886255924170616,0.5245202558635395,0.4237726098191214,0.5121422535728719,0.0249511306590645,1,2
knn,IN,PC,minmax,3,10-distance-ball_tree,test,0.4529411764705882,0.3548387096774194,0.5042553191489362,0.3979328165374677,0.4936248884355477,-0.013228872308462,1,3
knn,IN,PC,minmax,4,10-distance-ball_tree,train,0.4545454545454545,0.4724409448818897,0.5067423704755145,0.4633204633204633,0.5036623329060612,0.0073035209801194,1,1
knn,IN,PC,minmax,4,10-distance-ball_tree,validation,0.4759825327510917,0.5165876777251185,0.5266524520255863,0.4954545454545455,0.5257356993276756,0.0512263825356713,1,2
knn,IN,PC,minmax,4,10-distance-ball_tree,test,0.470873786407767,0.4470046082949309,0.5127659574468085,0.458628841607565,0.5080872843846196,0.016251268461075,1,3
knn,IN,PC,minmax,1,10-distance-brute,train,0.4652567975830816,0.4858044164037854,0.5170454545454546,0.4753086419753086,0.5142200376592572,0.0283496331259078,1,1
knn,IN,PC,minmax,1,10-distance-brute,validation,0.4372294372294372,0.4764150943396226,0.4872340425531914,0.455981941309255,0.4862695626736872,-0.0273329941748714,1,2
knn,IN,PC,minmax,1,10-distance-brute,test,0.4375,0.4193548387096774,0.4829787234042553,0.428235294117647,0.478452122912151,-0.043255595929232,1,3
knn,IN,PC,minmax,2,10-distance-brute,train,0.4561688311688311,0.443217665615142,0.5113636363636364,0.4496,0.5052005640737208,0.0104314002516732,1,1
knn,IN,PC,minmax,2,10-distance-brute,validation,0.4313725490196078,0.4150943396226415,0.4893617021276595,0.4230769230769231,0.4827409682609331,-0.0346551916152282,1,2
knn,IN,PC,minmax,2,10-distance-brute,test,0.4316939890710382,0.3640552995391705,0.4851063829787234,0.395,0.4764940529316405,-0.0480652697294465,1,3
knn,IN,PC,minmax,3,10-distance-brute,train,0.4514991181657848,0.4031496062992126,0.5102909865152591,0.4259567387687188,0.5006704103847485,0.0013604434574579,1,1
knn,IN,PC,minmax,3,10-distance-brute,validation,0.4659090909090909,0.3886255924170616,0.5245202558635395,0.4237726098191214,0.5121422535728719,0.0249511306590645,1,2
knn,IN,PC,minmax,3,10-distance-brute,test,0.4529411764705882,0.3548387096774194,0.5042553191489362,0.3979328165374677,0.4936248884355477,-0.013228872308462,1,3
knn,IN,PC,minmax,4,10-distance-brute,train,0.4545454545454545,0.4724409448818897,0.5067423704755145,0.4633204633204633,0.5036623329060612,0.0073035209801194,1,1
knn,IN,PC,minmax,4,10-distance-brute,validation,0.4759825327510917,0.5165876777251185,0.5266524520255863,0.4954545454545455,0.5257356993276756,0.0512263825356713,1,2
knn,IN,PC,minmax,4,10-distance-brute,test,0.470873786407767,0.4470046082949309,0.5127659574468085,0.458628841607565,0.5080872843846196,0.016251268461075,1,3
knn,IN,PC,minmax,1,10-distance-kd_tree,train,0.4652567975830816,0.4858044164037854,0.5170454545454546,0.4753086419753086,0.5142200376592572,0.0283496331259078,1,1
knn,IN,PC,minmax,1,10-distance-kd_tree,validation,0.4372294372294372,0.4764150943396226,0.4872340425531914,0.455981941309255,0.4862695626736872,-0.0273329941748714,1,2
knn,IN,PC,minmax,1,10-distance-kd_tree,test,0.4375,0.4193548387096774,0.4829787234042553,0.428235294117647,0.478452122912151,-0.043255595929232,1,3
knn,IN,PC,minmax,2,10-distance-kd_tree,train,0.4561688311688311,0.443217665615142,0.5113636363636364,0.4496,0.5052005640737208,0.0104314002516732,1,1
knn,IN,PC,minmax,2,10-distance-kd_tree,validation,0.4313725490196078,0.4150943396226415,0.4893617021276595,0.4230769230769231,0.4827409682609331,-0.0346551916152282,1,2
knn,IN,PC,minmax,2,10-distance-kd_tree,test,0.4316939890710382,0.3640552995391705,0.4851063829787234,0.395,0.4764940529316405,-0.0480652697294465,1,3
knn,IN,PC,minmax,3,10-distance-kd_tree,train,0.4514991181657848,0.4031496062992126,0.5102909865152591,0.4259567387687188,0.5006704103847485,0.0013604434574579,1,1
knn,IN,PC,minmax,3,10-distance-kd_tree,validation,0.4659090909090909,0.3886255924170616,0.5245202558635395,0.4237726098191214,0.5121422535728719,0.0249511306590645,1,2
knn,IN,PC,minmax,3,10-distance-kd_tree,test,0.4529411764705882,0.3548387096774194,0.5042553191489362,0.3979328165374677,0.4936248884355477,-0.013228872308462,1,3
knn,IN,PC,minmax,4,10-distance-kd_tree,train,0.4545454545454545,0.4724409448818897,0.5067423704755145,0.4633204633204633,0.5036623329060612,0.0073035209801194,1,1
knn,IN,PC,minmax,4,10-distance-kd_tree,validation,0.4759825327510917,0.5165876777251185,0.5266524520255863,0.4954545454545455,0.5257356993276756,0.0512263825356713,1,2
knn,IN,PC,minmax,4,10-distance-kd_tree,test,0.470873786407767,0.4470046082949309,0.5127659574468085,0.458628841607565,0.5080872843846196,0.016251268461075,1,3
knn,IN,PC,minmax,1,10-uniform-auto,train,0.4636075949367088,0.4621451104100946,0.5170454545454546,0.4628751974723539,0.5120803071430319,0.0241676087535806,1,1
knn,IN,PC,minmax,1,10-uniform-auto,validation,0.4389140271493212,0.4575471698113207,0.4914893617021276,0.4480369515011547,0.4884635073862805,-0.0230030678840089,1,2
knn,IN,PC,minmax,1,10-uniform-auto,test,0.4659685863874345,0.4101382488479262,0.5106382978723404,0.4362745098039216,0.5034880967559789,0.007080922827612,1,3
knn,IN,PC,minmax,2,10-uniform-auto,train,0.4518518518518518,0.3848580441640378,0.5127840909090909,0.4156729131175468,0.5012145517977812,0.0024854464105432,1,1
knn,IN,PC,minmax,2,10-uniform-auto,validation,0.4139784946236559,0.3632075471698113,0.4808510638297872,0.3869346733668342,0.4703634635073863,-0.0603142018283206,1,2
knn,IN,PC,minmax,2,10-uniform-auto,test,0.406060606060606,0.3087557603686636,0.4723404255319149,0.3507853403141361,0.4607019908562685,-0.0820916114221168,1,3
knn,IN,PC,minmax,3,10-uniform-auto,train,0.4547169811320755,0.3795275590551181,0.5152590489709014,0.4137339055793991,0.5030712730676108,0.0063091869696284,1,1
knn,IN,PC,minmax,3,10-uniform-auto,validation,0.4846625766871165,0.3744075829383886,0.5394456289978679,0.4224598930481283,0.5244130937947757,0.0510093019707794,1,2
knn,IN,PC,minmax,3,10-uniform-auto,test,0.4415584415584415,0.3133640552995391,0.5,0.3665768194070081,0.4867215533414691,-0.0282074284203443,1,3
knn,IN,PC,minmax,4,10-uniform-auto,train,0.4761904761904761,0.4881889763779528,0.5273243435060326,0.4821150855365474,0.5238102504628782,0.0475254464602703,1,1
knn,IN,PC,minmax,4,10-uniform-auto,validation,0.4746543778801843,0.4881516587677725,0.5266524520255863,0.4813084112149532,0.5231455968257467,0.046186954115676,1,2
knn,IN,PC,minmax,4,10-uniform-auto,test,0.485,0.4470046082949309,0.5255319148936171,0.4652278177458033,0.519944991894501,0.0402213929851401,1,3
