model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
mlp,IN,PC,minmax,1,sign,train,0.4677685950413223,0.446372239747634,0.5220170454545454,0.45682001614205,0.5151757839565043,0.03050428011022,1,1
mlp,IN,PC,minmax,1,sign,validation,0.4629629629629629,0.4716981132075472,0.5148936170212766,0.4672897196261682,0.511042855053386,0.0220518696642729,1,2
mlp,IN,PC,minmax,1,sign,test,0.4858757062146893,0.3963133640552995,0.5276595744680851,0.4365482233502538,0.5183147847944483,0.0376878618898488,1,3
mlp,IN,PC,minmax,2,sign,train,0.4456824512534819,0.5047318611987381,0.4943181818181818,0.4733727810650887,0.4952599874469143,-0.0094349114667809,1,1
mlp,IN,PC,minmax,2,sign,validation,0.4420600858369098,0.4858490566037736,0.4914893617021276,0.4629213483146067,0.4909865438057628,-0.0179410145322211,1,2
mlp,IN,PC,minmax,2,sign,test,0.419811320754717,0.4101382488479262,0.4659574468085106,0.4149184149184149,0.4619861204713938,-0.0761701014054765,1,3
mlp,IN,PC,minmax,3,sign,train,0.4605954465849387,0.4141732283464567,0.517388218594748,0.4361525704809287,0.5081202059044945,0.0164594120269025,1,1
mlp,IN,PC,minmax,3,sign,validation,0.5114942528735632,0.4218009478672986,0.55863539445629,0.4623376623376623,0.5461717917631067,0.0950981727801671,1,2
mlp,IN,PC,minmax,3,sign,test,0.4705882352941176,0.3317972350230415,0.5191489361702127,0.3891891891891892,0.5058195661281215,0.012383271195101,1,3
mlp,IN,PC,minmax,4,sign,train,0.4837209302325581,0.4913385826771653,0.5344215755855216,0.4875,0.5305530122688152,0.0610259904174456,1,1
mlp,IN,PC,minmax,4,sign,validation,0.4010152284263959,0.3744075829383886,0.4669509594882729,0.3872549019607843,0.4585216209265587,-0.083615210517982,1,2
mlp,IN,PC,minmax,4,sign,test,0.4861878453038674,0.4055299539170507,0.5276595744680851,0.4422110552763819,0.5189705105553634,0.0388696771687268,1,3
mlp,IN,PC,std,1,sign,train,0.4587458745874587,0.4384858044164038,0.5142045454545454,0.4483870967741935,0.5073565972986411,0.0147842259749938,1,1
mlp,IN,PC,std,1,sign,validation,0.4356435643564356,0.4150943396226415,0.4936170212765957,0.4251207729468599,0.4866169372531812,-0.0269042079771335,1,2
mlp,IN,PC,std,1,sign,test,0.4210526315789473,0.3686635944700461,0.474468085106383,0.3931203931203931,0.4669404928871969,-0.0671677315840402,1,3
mlp,IN,PC,std,2,sign,train,0.4545454545454545,0.4022082018927445,0.5134943181818182,0.4267782426778242,0.503429682341721,0.0069706915618774,1,1
mlp,IN,PC,std,2,sign,validation,0.4974874371859296,0.4669811320754717,0.5468085106382978,0.4817518248175182,0.5396921164253328,0.0799467570972133,1,2
mlp,IN,PC,std,2,sign,test,0.4772727272727273,0.3870967741935484,0.5212765957446809,0.4274809160305343,0.5117302052785925,0.0241654972731384,1,3
mlp,IN,PC,std,3,sign,train,0.4256880733944954,0.3653543307086614,0.4918381831085876,0.3932203389830508,0.4804807829253901,-0.039883623712142,1,1
mlp,IN,PC,std,3,sign,validation,0.4720496894409938,0.3601895734597156,0.5309168443496801,0.4086021505376344,0.5153661045593152,0.0322000513345926,1,2
mlp,IN,PC,std,3,sign,test,0.45,0.2903225806451613,0.5085106382978724,0.3529411764705882,0.4929873772791023,-0.0152890186309189,1,3
mlp,IN,PC,std,4,sign,train,0.4771480804387568,0.4110236220472441,0.531582682753726,0.4416243654822335,0.5207572890597977,0.0423848524657239,1,1
mlp,IN,PC,std,4,sign,validation,0.4105263157894737,0.3696682464454976,0.4776119402985074,0.3890274314214463,0.4677798596568573,-0.0653024690398112,1,2
mlp,IN,PC,std,4,sign,test,0.4394904458598726,0.3179723502304147,0.4978723404255319,0.3689839572192513,0.4850731316369465,-0.0315549016625154,1,3
mlp,IN,ECFP4,minmax,1,sign,train,0.4773413897280967,0.4984227129337539,0.5284090909090909,0.4876543209876543,0.525697144580572,0.0512308503464742,2,1
mlp,IN,ECFP4,minmax,1,sign,validation,0.4497816593886463,0.4858490566037736,0.5,0.4671201814058957,0.4987384817902589,-0.0025117420740843,2,2
mlp,IN,ECFP4,minmax,1,sign,test,0.4393939393939394,0.4009216589861751,0.4872340425531914,0.4192771084337349,0.4810932405602812,-0.038178615440427,2,3
mlp,IN,ECFP4,minmax,2,sign,train,0.4447806354009077,0.4637223974763407,0.4978693181818182,0.4540540540540541,0.4947810953789973,-0.0104055115160286,2,1
mlp,IN,ECFP4,minmax,2,sign,validation,0.4605263157894737,0.4952830188679245,0.5106382978723404,0.4772727272727273,0.5092694164107064,0.0184580179954051,2,2
mlp,IN,ECFP4,minmax,2,sign,test,0.4717948717948718,0.423963133640553,0.5148936170212766,0.4466019417475728,0.5084242545673121,0.0170477847268714,2,3
mlp,IN,ECFP4,minmax,3,sign,train,0.4365733113673805,0.4173228346456692,0.4946770759403832,0.4267310789049919,0.4877311847646951,-0.0246551946244537,2,1
mlp,IN,ECFP4,minmax,3,sign,validation,0.4536585365853658,0.4407582938388625,0.509594882729211,0.4471153846153846,0.5033248833535398,0.0066692745471505,2,2
mlp,IN,ECFP4,minmax,3,sign,test,0.4827586206896552,0.3870967741935484,0.5255319148936171,0.4296675191815857,0.5156827744485529,0.0323834071321581,2,3
mlp,IN,ECFP4,minmax,4,sign,train,0.4833625218914185,0.4346456692913386,0.5358410220014195,0.4577114427860697,0.5267543591934729,0.0542302777368467,2,1
mlp,IN,ECFP4,minmax,4,sign,validation,0.4540229885057471,0.3744075829383886,0.5159914712153518,0.4103896103896104,0.5030952643374114,0.0063751908149823,2,2
mlp,IN,ECFP4,minmax,4,sign,test,0.497005988023952,0.3824884792626728,0.5361702127659574,0.4322916666666667,0.5252363344929964,0.0525734949128189,2,3
mlp,IN,ECFP4,std,1,sign,train,0.4615384615384615,0.4826498422712933,0.5134943181818182,0.471858134155744,0.5107047660968871,0.0213396546431967,2,1
mlp,IN,ECFP4,std,1,sign,validation,0.4166666666666667,0.4481132075471698,0.4680851063829787,0.4318181818181818,0.4663046657890888,-0.06709689776239,2,2
mlp,IN,ECFP4,std,1,sign,test,0.4213197969543147,0.3824884792626728,0.4723404255319149,0.4009661835748792,0.4659477969435893,-0.0688098959352337,2,3
mlp,IN,ECFP4,std,2,sign,train,0.4411247803163444,0.3958990536277602,0.5021306818181818,0.4172901080631754,0.4925231702247328,-0.015160917501456,2,1
mlp,IN,ECFP4,std,2,sign,validation,0.4558823529411764,0.4386792452830189,0.5106382978723404,0.4471153846153846,0.504223343571742,0.0084802428634721,2,2
mlp,IN,ECFP4,std,2,sign,test,0.4833333333333333,0.4009216589861751,0.5255319148936171,0.4382871536523929,0.5166663630899254,0.0341842228259348,2,3
mlp,IN,ECFP4,std,3,sign,train,0.4420062695924764,0.4440944881889764,0.49680624556423,0.4430479183032207,0.4920730838877699,-0.0158472559572419,2,1
mlp,IN,ECFP4,std,3,sign,validation,0.4325581395348837,0.4407582938388625,0.488272921108742,0.4366197183098591,0.4839450383922995,-0.0320593165279766,2,2
mlp,IN,ECFP4,std,3,sign,test,0.4715025906735751,0.4193548387096774,0.5148936170212766,0.4439024390243902,0.5080963916868546,0.0164094148415489,2,3
mlp,IN,ECFP4,std,4,sign,train,0.4901256732495511,0.4299212598425196,0.5415188076650106,0.4580536912751677,0.5314980976215182,0.0641097773119856,2,1
mlp,IN,ECFP4,std,4,sign,validation,0.5029239766081871,0.4075829383886256,0.5522388059701493,0.450261780104712,0.5390627870237702,0.0807491788921578,2,2
mlp,IN,ECFP4,std,4,sign,test,0.5238095238095238,0.4055299539170507,0.5553191489361702,0.4571428571428571,0.5446622101601064,0.0929185067107471,2,3
mlp,IN,MIX,minmax,1,sign,train,0.8765060240963856,0.917981072555205,0.9048295454545454,0.8967642526964561,0.9060189600502124,0.8093211910367101,3,1
mlp,IN,MIX,minmax,1,sign,validation,0.7296137339055794,0.8018867924528302,0.776595744680851,0.7640449438202247,0.7788503729706011,0.5550433136824284,3,2
mlp,IN,MIX,minmax,1,sign,test,0.8491379310344828,0.9078341013824884,0.8829787234042553,0.8775055679287305,0.8847470902169359,0.7672961096015312,3,3
mlp,IN,MIX,minmax,2,sign,train,0.9435114503816794,0.9747634069400632,0.9623579545454546,0.9588828549262994,0.9634798946845018,0.924608467713131,3,1
mlp,IN,MIX,minmax,2,sign,validation,0.7707509881422925,0.9198113207547168,0.8404255319148937,0.8387096774193549,0.8475025596021647,0.6937063332122149,3,2
mlp,IN,MIX,minmax,2,sign,test,0.8340248962655602,0.9262672811059908,0.8808510638297873,0.8777292576419214,0.8840822571537859,0.7661575857906332,3,3
mlp,IN,MIX,minmax,3,sign,train,0.8485804416403786,0.8472440944881889,0.8630234208658624,0.8479117415287628,0.8616065433681255,0.7233161116888408,3,1
mlp,IN,MIX,minmax,3,sign,validation,0.6604651162790698,0.6729857819905213,0.697228144989339,0.6666666666666666,0.6950200227782064,0.389425324850417,3,2
mlp,IN,MIX,minmax,3,sign,test,0.7816593886462883,0.8248847926267281,0.8127659574468085,0.8026905829596412,0.8136281670643523,0.6256175463417835,3,3
mlp,IN,MIX,minmax,4,sign,train,0.9814814814814816,0.8346456692913385,0.9183818310858765,0.902127659574468,0.9108628863252558,0.8409641517414765,3,1
mlp,IN,MIX,minmax,4,sign,validation,0.8925619834710744,0.5118483412322274,0.7526652452025586,0.6506024096385542,0.7307303721665013,0.5246909044631015,3,2
mlp,IN,MIX,minmax,4,sign,test,0.9452054794520548,0.6359447004608295,0.8148936170212766,0.7603305785123967,0.8021620735505729,0.6510452015026809,3,3
mlp,IN,MIX,std,1,sign,train,0.9337442218798152,0.9558359621451104,0.9495738636363636,0.9446609508963368,0.9501402032947774,0.8985653578437264,3,1
mlp,IN,MIX,std,1,sign,validation,0.7685589519650655,0.8301886792452831,0.8106382978723404,0.7981859410430839,0.8123811613280679,0.6219655808377665,3,2
mlp,IN,MIX,std,1,sign,test,0.8067226890756303,0.8847926267281107,0.8489361702127659,0.843956043956044,0.8514872224549644,0.7009663886275977,3,3
mlp,IN,MIX,std,2,sign,train,0.9773095623987034,0.9511041009463722,0.9680397727272728,0.9640287769784172,0.9665081228246072,0.9355639767572432,3,1
mlp,IN,MIX,std,2,sign,validation,0.7941176470588235,0.8915094339622641,0.8468085106382979,0.84,0.8507934766710544,0.6982755198344572,3,2
mlp,IN,MIX,std,2,sign,test,0.9,0.8294930875576036,0.8787234042553191,0.8633093525179856,0.8752208520791971,0.756676434240993,3,3
mlp,IN,MIX,std,3,sign,train,0.968342644320298,0.8188976377952756,0.9063165365507452,0.8873720136518771,0.8984669067529348,0.8164586824131568,3,1
mlp,IN,MIX,std,3,sign,validation,0.8,0.5687203791469194,0.7420042643923241,0.6648199445983379,0.7262206546897388,0.4825833791881813,3,2
mlp,IN,MIX,std,3,sign,test,0.9444444444444444,0.7050691244239631,0.8446808510638298,0.8073878627968337,0.8347480009471594,0.7022718328576052,3,3
mlp,IN,MIX,std,4,sign,train,0.964349376114082,0.8519685039370078,0.9190915542938254,0.9046822742474916,0.9130643553276772,0.8397029942193751,3,1
mlp,IN,MIX,std,4,sign,validation,0.9013157894736842,0.6492890995260664,0.8102345415778252,0.7548209366391184,0.7955747823211728,0.6283433593972257,3,2
mlp,IN,MIX,std,4,sign,test,0.9316770186335404,0.6912442396313364,0.8340425531914893,0.7936507936507936,0.8238829893808856,0.680481126825133,3,3
mlp,PR,PC,minmax,1,sign,train,0.9298952457695407,1.0,0.9298952457695407,0.9636743215031316,0.5,0.0,1,1
mlp,PR,PC,minmax,1,sign,validation,0.929951690821256,1.0,0.929951690821256,0.9637046307884856,0.5,0.0,1,2
mlp,PR,PC,minmax,1,sign,test,0.9178743961352656,1.0,0.9178743961352656,0.9571788413098236,0.5,0.0,1,3
mlp,PR,PC,minmax,2,sign,train,0.9320066334991708,0.974003466204506,0.9097502014504432,0.952542372881356,0.5157373652861611,0.0485419116891944,1,1
mlp,PR,PC,minmax,2,sign,validation,0.9282178217821784,0.974025974025974,0.9057971014492754,0.9505703422053232,0.487012987012987,-0.0431795340584155,1,2
mlp,PR,PC,minmax,2,sign,test,0.9203980099502488,0.9736842105263158,0.8985507246376812,0.9462915601023018,0.5162538699690403,0.0532003370784035,1,3
mlp,PR,PC,minmax,3,sign,train,0.9298952457695407,1.0,0.9298952457695407,0.9636743215031316,0.5,0.0,1,1
mlp,PR,PC,minmax,3,sign,validation,0.929951690821256,1.0,0.929951690821256,0.9637046307884856,0.5,0.0,1,2
mlp,PR,PC,minmax,3,sign,test,0.9178743961352656,1.0,0.9178743961352656,0.9571788413098236,0.5,0.0,1,3
mlp,PR,PC,minmax,4,sign,train,0.9286307053941908,0.9688311688311688,0.9017713365539451,0.9483050847457628,0.490162710852366,-0.029536679150989,1,1
mlp,PR,PC,minmax,4,sign,validation,0.9278350515463918,0.9375,0.87409200968523,0.932642487046632,0.4859913793103448,-0.0300195457123824,1,2
mlp,PR,PC,minmax,4,sign,test,0.9164556962025316,0.9526315789473684,0.8768115942028986,0.9341935483870968,0.4910216718266253,-0.023560330576519,1,3
mlp,PR,PC,std,1,sign,train,0.9308283518360376,0.9445407279029464,0.8831587429492345,0.9376344086021504,0.5067531225721629,0.0149475388639197,1,1
mlp,PR,PC,std,1,sign,validation,0.9341772151898734,0.9584415584415584,0.8985507246376812,0.946153846153846,0.5309449171518137,0.0754872032550596,1,2
mlp,PR,PC,std,1,sign,test,0.9156010230179028,0.9421052631578948,0.8671497584541062,0.9286640726329444,0.4857585139318885,-0.0341400588287064,1,3
mlp,PR,PC,std,2,sign,train,0.9317988064791134,0.9471403812824956,0.8863819500402901,0.9394069617533304,0.5138000756987191,0.0309649606645347,1,1
mlp,PR,PC,std,2,sign,validation,0.9276807980049876,0.9662337662337662,0.8985507246376812,0.9465648854961832,0.4831168831168831,-0.049416060955433,1,2
mlp,PR,PC,std,2,sign,test,0.917948717948718,0.9421052631578948,0.8695652173913043,0.9298701298701298,0.5004643962848297,0.0010912193659808,1,3
