Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
ABC,HIV-1 IN,PC,Train,0.4212678936605317,0.3249211356466877,0.4950284090909091,0.3668744434550312,0.4796440303556435,-0.0425426671873344
ABC,HIV-1 IN,PC,Validation,0.4438202247191011,0.3726415094339622,0.5063829787234042,0.4051282051282051,0.4944602896007021,-0.0113656273842951
ABC,HIV-1 IN,PC,Test,0.3896103896103896,0.2764976958525346,0.4659574468085106,0.3234501347708894,0.452478096938125,-0.1009508652245246
ABC,HIV-1 IN,PC,Train,0.5015923566878981,0.4968454258675079,0.5511363636363636,0.4992076069730586,0.5462263305048134,0.0925352924348338
ABC,HIV-1 IN,PC,Validation,0.5,0.4716981132075472,0.548936170212766,0.4854368932038835,0.5420506069913705,0.0846414643506282
ABC,HIV-1 IN,PC,Test,0.4761904761904761,0.4147465437788018,0.5191489361702127,0.4433497536945813,0.5117210979763575,0.0238344073403398
ABC,HIV-1 IN,PC,Train,0.473972602739726,0.2724409448818897,0.5358410220014195,0.346,0.5121894646890068,0.0276869611114405
ABC,HIV-1 IN,PC,Validation,0.5773195876288659,0.2654028436018957,0.582089552238806,0.3636363636363636,0.5532440574598626,0.1307961265084414
ABC,HIV-1 IN,PC,Test,0.4,0.184331797235023,0.4957446808510638,0.252365930599369,0.4735888235186973,-0.0643438448286962
ABC,HIV-1 IN,PC,Train,0.51183970856102,0.44251968503937,0.5585521646557843,0.4746621621621621,0.548133227532605,0.0982193203713832
ABC,HIV-1 IN,PC,Validation,0.4808743169398907,0.4170616113744075,0.535181236673774,0.4467005076142132,0.5244222785554208,0.0498148348983622
ABC,HIV-1 IN,PC,Test,0.4968944099378882,0.3686635944700461,0.5361702127659574,0.4232804232804232,0.5242527458516238,0.050955241142067
ABC,HIV-1 IN,PC,Train,0.4212678936605317,0.3249211356466877,0.4950284090909091,0.3668744434550312,0.4796440303556435,-0.0425426671873344
ABC,HIV-1 IN,PC,Validation,0.4438202247191011,0.3726415094339622,0.5063829787234042,0.4051282051282051,0.4944602896007021,-0.0113656273842951
ABC,HIV-1 IN,PC,Test,0.3896103896103896,0.2764976958525346,0.4659574468085106,0.3234501347708894,0.452478096938125,-0.1009508652245246
ABC,HIV-1 IN,PC,Train,0.5015923566878981,0.4968454258675079,0.5511363636363636,0.4992076069730586,0.5462263305048134,0.0925352924348338
ABC,HIV-1 IN,PC,Validation,0.5,0.4716981132075472,0.548936170212766,0.4854368932038835,0.5420506069913705,0.0846414643506282
ABC,HIV-1 IN,PC,Test,0.4761904761904761,0.4147465437788018,0.5191489361702127,0.4433497536945813,0.5117210979763575,0.0238344073403398
ABC,HIV-1 IN,PC,Train,0.473972602739726,0.2724409448818897,0.5358410220014195,0.346,0.5121894646890068,0.0276869611114405
ABC,HIV-1 IN,PC,Validation,0.5773195876288659,0.2654028436018957,0.582089552238806,0.3636363636363636,0.5532440574598626,0.1307961265084414
ABC,HIV-1 IN,PC,Test,0.4,0.184331797235023,0.4957446808510638,0.252365930599369,0.4735888235186973,-0.0643438448286962
ABC,HIV-1 IN,PC,Train,0.51183970856102,0.44251968503937,0.5585521646557843,0.4746621621621621,0.548133227532605,0.0982193203713832
ABC,HIV-1 IN,PC,Validation,0.4808743169398907,0.4170616113744075,0.535181236673774,0.4467005076142132,0.5244222785554208,0.0498148348983622
ABC,HIV-1 IN,PC,Test,0.4968944099378882,0.3686635944700461,0.5361702127659574,0.4232804232804232,0.5242527458516238,0.050955241142067
ABC,HIV-1 IN,PC,Train,0.4574074074074074,0.389589905362776,0.5170454545454546,0.4207836456558773,0.5055184668932743,0.0112929343619986
ABC,HIV-1 IN,PC,Validation,0.4473684210526316,0.4009433962264151,0.5063829787234042,0.4228855721393035,0.4969833260201842,-0.0061175896198676
ABC,HIV-1 IN,PC,Test,0.4313725490196078,0.304147465437788,0.4936170212765957,0.3567567567567568,0.4801369738256134,-0.0422659068490068
ABC,HIV-1 IN,PC,Train,0.4681583476764199,0.4290220820189274,0.5234375,0.4477366255144033,0.5148986379086885,0.030112779865163
ABC,HIV-1 IN,PC,Validation,0.4879227053140096,0.4764150943396226,0.5382978723404256,0.4821002386634845,0.532781190580664,0.0657157478866185
ABC,HIV-1 IN,PC,Test,0.4855491329479768,0.3870967741935484,0.5276595744680851,0.4307692307692308,0.5176590590335332,0.0365078624302998
ABC,HIV-1 IN,PC,Train,0.4397163120567376,0.1952755905511811,0.525195173882186,0.2704471101417666,0.4955706118130583,-0.0110165236097549
ABC,HIV-1 IN,PC,Validation,0.5584415584415584,0.2037914691943128,0.5692963752665245,0.2986111111111111,0.5360042617289393,0.0967044791787381
ABC,HIV-1 IN,PC,Test,0.379746835443038,0.1382488479262673,0.4978723404255319,0.2027027027027027,0.472286479299102,-0.0738941232301187
ABC,HIV-1 IN,PC,Train,0.4790159189580318,0.521259842519685,0.5287437899219305,0.4992458521870286,0.5280717817249588,0.0558799580180534
ABC,HIV-1 IN,PC,Validation,0.4746543778801843,0.4881516587677725,0.5266524520255863,0.4813084112149532,0.5231455968257467,0.046186954115676
ABC,HIV-1 IN,PC,Test,0.4896907216494845,0.4377880184331797,0.5297872340425532,0.462287104622871,0.5232418353035464,0.0470690178716102
ABC,HIV-1 IN,PC,Train,0.4376163873370577,0.3706624605678233,0.5021306818181818,0.4013663535439795,0.4902407910074258,-0.0199923342022177
ABC,HIV-1 IN,PC,Validation,0.4473684210526316,0.4009433962264151,0.5063829787234042,0.4228855721393035,0.4969833260201842,-0.0061175896198676
ABC,HIV-1 IN,PC,Test,0.390728476821192,0.271889400921659,0.4680851063829787,0.3206521739130434,0.4541265186426477,-0.0979485493128022
ABC,HIV-1 IN,PC,Train,0.4439252336448598,0.4495268138801261,0.4985795454545454,0.4467084639498432,0.4941432519013034,-0.0117009130293115
ABC,HIV-1 IN,PC,Validation,0.4331797235023041,0.4433962264150943,0.4872340425531914,0.4382284382284382,0.4833260201842914,-0.0332856408633419
ABC,HIV-1 IN,PC,Test,0.466321243523316,0.4147465437788018,0.5106382978723404,0.4390243902439024,0.5038159596364364,0.0077340211682891
ABC,HIV-1 IN,PC,Train,0.4453333333333333,0.262992125984252,0.5202271114265437,0.3306930693069307,0.4971291379275265,-0.0064643336377278
ABC,HIV-1 IN,PC,Validation,0.5428571428571428,0.2701421800947867,0.5692963752665245,0.360759493670886,0.5420478342334399,0.100364324595582
