Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
CNN,HIV-1 IN,PC,Train,0.0,0.0,0.5497159090909091,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Validation,0.0,0.0,0.548936170212766,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Test,0.0,0.0,0.5382978723404256,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Train,0.0,0.0,0.5497159090909091,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Validation,0.0,0.0,0.548936170212766,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Test,0.0,0.0,0.5382978723404256,0.0,0.5,0.0
CNN,HIV-1 IN,PC,Train,0.4467741935483871,0.4362204724409448,0.5024840312278211,0.4414342629482071,0.4965340088302915,-0.006948330125252
CNN,HIV-1 IN,PC,Validation,0.4444444444444444,0.4360189573459715,0.5010660980810234,0.4401913875598086,0.4951412616187222,-0.0097357356462953
CNN,HIV-1 IN,PC,Test,0.4639175257731959,0.4147465437788018,0.5085106382978724,0.437956204379562,0.5018396750514562,0.0037256824490851
CNN,HIV-1 IN,PC,Train,0.5303030303030303,0.2204724409448819,0.560681334279631,0.3114571746384872,0.5301328612993144,0.0768463075238893
CNN,HIV-1 IN,PC,Validation,0.3695652173913043,0.1611374407582938,0.4989339019189765,0.2244224422442244,0.4681656196039532,-0.0797650954035723
CNN,HIV-1 IN,PC,Test,0.4736842105263157,0.1658986175115207,0.5297872340425532,0.2457337883959044,0.5038979253565509,0.0105559842715372
CNN,HIV-1 IN,PC,Train,0.4388489208633093,0.4810725552050473,0.4893465909090909,0.4589917231000752,0.4885982931063996,-0.0226922630885059
CNN,HIV-1 IN,PC,Validation,0.436,0.5141509433962265,0.4808510638297872,0.4718614718614718,0.4838196577446249,-0.0322711274231959
CNN,HIV-1 IN,PC,Test,0.4524886877828054,0.4608294930875576,0.4936170212765957,0.45662100456621,0.4912843117611701,-0.0174110915808021
CNN,HIV-1 IN,PC,Train,0.4100418410041841,0.4637223974763407,0.4580965909090909,0.4352331606217616,0.458605384784682,-0.0823930070568107
CNN,HIV-1 IN,PC,Validation,0.4297520661157025,0.490566037735849,0.4765957446808511,0.4581497797356828,0.4778411584028082,-0.0441244927227437
CNN,HIV-1 IN,PC,Test,0.4363636363636363,0.4423963133640553,0.4787234042553192,0.4393592677345537,0.4761388681444782,-0.0476792943287724
CNN,HIV-1 IN,PC,Train,0.4287833827893175,0.4551181102362204,0.4811923349893541,0.4415584415584415,0.478851044782193,-0.0421310844963825
