Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
DTC,HIV-1 IN,PC,Train,0.4212678936605317,0.3249211356466877,0.4950284090909091,0.3668744434550312,0.4796440303556435,-0.0425426671873344
DTC,HIV-1 IN,PC,Validation,0.4438202247191011,0.3726415094339622,0.5063829787234042,0.4051282051282051,0.4944602896007021,-0.0113656273842951
DTC,HIV-1 IN,PC,Test,0.3896103896103896,0.2764976958525346,0.4659574468085106,0.3234501347708894,0.452478096938125,-0.1009508652245246
DTC,HIV-1 IN,PC,Train,0.5015923566878981,0.4968454258675079,0.5511363636363636,0.4992076069730586,0.5462263305048134,0.0925352924348338
DTC,HIV-1 IN,PC,Validation,0.5,0.4716981132075472,0.548936170212766,0.4854368932038835,0.5420506069913705,0.0846414643506282
DTC,HIV-1 IN,PC,Test,0.4761904761904761,0.4147465437788018,0.5191489361702127,0.4433497536945813,0.5117210979763575,0.0238344073403398
DTC,HIV-1 IN,PC,Train,0.473972602739726,0.2724409448818897,0.5358410220014195,0.346,0.5121894646890068,0.0276869611114405
DTC,HIV-1 IN,PC,Validation,0.5773195876288659,0.2654028436018957,0.582089552238806,0.3636363636363636,0.5532440574598626,0.1307961265084414
DTC,HIV-1 IN,PC,Test,0.4,0.184331797235023,0.4957446808510638,0.252365930599369,0.4735888235186973,-0.0643438448286962
DTC,HIV-1 IN,PC,Train,0.51183970856102,0.44251968503937,0.5585521646557843,0.4746621621621621,0.548133227532605,0.0982193203713832
DTC,HIV-1 IN,PC,Validation,0.4808743169398907,0.4170616113744075,0.535181236673774,0.4467005076142132,0.5244222785554208,0.0498148348983622
DTC,HIV-1 IN,PC,Test,0.4968944099378882,0.3686635944700461,0.5361702127659574,0.4232804232804232,0.5242527458516238,0.050955241142067
DTC,HIV-1 IN,PC,Train,0.4241960183767228,0.4369085173501577,0.4794034090909091,0.4304584304584304,0.4755602018275336,-0.0487654968727064
DTC,HIV-1 IN,PC,Validation,0.4372093023255814,0.4433962264150943,0.4914893617021276,0.4402810304449648,0.4872019891765394,-0.0255658909458978
DTC,HIV-1 IN,PC,Test,0.4595959595959596,0.4193548387096774,0.5042553191489362,0.4385542168674698,0.4982149687619533,-0.0036045320936048
DTC,HIV-1 IN,PC,Train,0.4089147286821705,0.3328075709779179,0.4829545454545454,0.3669565217391304,0.4693753617163492,-0.0632424658294518
DTC,HIV-1 IN,PC,Validation,0.3858695652173913,0.3349056603773584,0.4595744680851064,0.3585858585858585,0.4484605821266638,-0.1050885403906883
DTC,HIV-1 IN,PC,Test,0.4202898550724637,0.2672811059907834,0.4914893617021276,0.3267605633802817,0.4755377861969727,-0.0535558967687324
DTC,HIV-1 IN,PC,Train,0.8421052631578947,0.0755905511811023,0.5770049680624556,0.1387283236994219,0.531981322102179,0.1615317798668107
DTC,HIV-1 IN,PC,Validation,0.875,0.0995260663507109,0.5884861407249466,0.1787234042553191,0.5439490796869834,0.1984473185982663
DTC,HIV-1 IN,PC,Test,0.7727272727272727,0.0783410138248847,0.5638297872340425,0.1422594142259414,0.5292890839875412,0.1382533187114384
