Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
QDA,HIV-1 IN,PC,Train,0.4916387959866221,0.2318611987381703,0.5461647727272727,0.315112540192926,0.5177393848988009,0.0431600853261283
QDA,HIV-1 IN,PC,Validation,0.4711538461538461,0.2311320754716981,0.5361702127659574,0.310126582278481,0.5089768904490274,0.0215216959714039
QDA,HIV-1 IN,PC,Test,0.4505494505494505,0.1889400921658986,0.5191489361702127,0.2662337662337662,0.4956558168339374,-0.0109619533711814
QDA,HIV-1 IN,PC,Train,0.4394736842105263,0.7902208201892744,0.4517045454545454,0.5648252536640361,0.4823197124202186,-0.0448140925823549
QDA,HIV-1 IN,PC,Validation,0.4478021978021978,0.7688679245283019,0.4680851063829787,0.5659722222222222,0.4948990785432207,-0.0121465457711133
QDA,HIV-1 IN,PC,Test,0.4410112359550562,0.7235023041474654,0.4489361702127659,0.5479930191972077,0.4684705196626655,-0.073343142049556
QDA,HIV-1 IN,PC,Train,0.5043103448275862,0.184251968503937,0.5507452093683464,0.2698961937716263,0.517836578567214,0.0478593356727549
QDA,HIV-1 IN,PC,Validation,0.6875,0.2085308056872037,0.6012793176972282,0.32,0.5655057129211213,0.1898640564173395
QDA,HIV-1 IN,PC,Test,0.5211267605633803,0.1705069124423963,0.5446808510638298,0.2569444444444444,0.5180597803318702,0.0502825118343455
QDA,HIV-1 IN,PC,Train,0.6607142857142857,0.1165354330708661,0.5748757984386089,0.1981258366800535,0.5337199129178619,0.1240494330283936
QDA,HIV-1 IN,PC,Validation,0.5714285714285714,0.0947867298578199,0.5607675906183369,0.1626016260162601,0.5183235974870495,0.0693765872658316
QDA,HIV-1 IN,PC,Test,0.6756756756756757,0.1152073732718894,0.5659574468085107,0.1968503937007874,0.5338882716161819,0.1254656186264343
QDA,HIV-1 IN,PC,Train,0.4916387959866221,0.2318611987381703,0.5461647727272727,0.315112540192926,0.5177393848988009,0.0431600853261283
QDA,HIV-1 IN,PC,Validation,0.4711538461538461,0.2311320754716981,0.5361702127659574,0.310126582278481,0.5089768904490274,0.0215216959714039
QDA,HIV-1 IN,PC,Test,0.4505494505494505,0.1889400921658986,0.5191489361702127,0.2662337662337662,0.4956558168339374,-0.0109619533711814
QDA,HIV-1 IN,PC,Train,0.4394736842105263,0.7902208201892744,0.4517045454545454,0.5648252536640361,0.4823197124202186,-0.0448140925823549
QDA,HIV-1 IN,PC,Validation,0.4478021978021978,0.7688679245283019,0.4680851063829787,0.5659722222222222,0.4948990785432207,-0.0121465457711133
QDA,HIV-1 IN,PC,Test,0.4410112359550562,0.7235023041474654,0.4489361702127659,0.5479930191972077,0.4684705196626655,-0.073343142049556
QDA,HIV-1 IN,PC,Train,0.5043103448275862,0.184251968503937,0.5507452093683464,0.2698961937716263,0.517836578567214,0.0478593356727549
QDA,HIV-1 IN,PC,Validation,0.6875,0.2085308056872037,0.6012793176972282,0.32,0.5655057129211213,0.1898640564173395
QDA,HIV-1 IN,PC,Test,0.5211267605633803,0.1705069124423963,0.5446808510638298,0.2569444444444444,0.5180597803318702,0.0502825118343455
QDA,HIV-1 IN,PC,Train,0.6607142857142857,0.1165354330708661,0.5748757984386089,0.1981258366800535,0.5337199129178619,0.1240494330283936
QDA,HIV-1 IN,PC,Validation,0.5714285714285714,0.0947867298578199,0.5607675906183369,0.1626016260162601,0.5183235974870495,0.0693765872658316
QDA,HIV-1 IN,PC,Test,0.6756756756756757,0.1152073732718894,0.5659574468085107,0.1968503937007874,0.5338882716161819,0.1254656186264343
QDA,HIV-1 IN,PC,Train,0.8305084745762712,0.0772870662460567,0.5774147727272727,0.1414141414141414,0.532183584802615,0.159826040734104
QDA,HIV-1 IN,PC,Validation,0.8235294117647058,0.0660377358490566,0.5723404255319149,0.1222707423580786,0.5272049144361562,0.1450045339233581
QDA,HIV-1 IN,PC,Test,0.9,0.0829493087557603,0.5723404255319149,0.1518987341772152,0.5375220852079198,0.1853471164279062
QDA,HIV-1 IN,PC,Train,0.5221238938053098,0.1861198738170347,0.5568181818181818,0.2744186046511628,0.5232924950480522,0.0631390668335879
QDA,HIV-1 IN,PC,Validation,0.524390243902439,0.2028301886792453,0.5574468085106383,0.2925170068027211,0.5258336989907854,0.0677441167930313
QDA,HIV-1 IN,PC,Test,0.5081967213114754,0.1428571428571428,0.5404255319148936,0.2230215827338129,0.5121400338791643,0.0360174905081404
QDA,HIV-1 IN,PC,Train,0.7540983606557377,0.0724409448818897,0.5713271823988645,0.132183908045977,0.5265305499603247,0.1297250144528597
QDA,HIV-1 IN,PC,Validation,0.8260869565217391,0.0900473933649289,0.582089552238806,0.1623931623931624,0.5372717586979683,0.1717234538112894
QDA,HIV-1 IN,PC,Test,0.9090909090909092,0.0921658986175115,0.5765957446808511,0.1673640167364016,0.5421303801387953,0.1988681132957444
QDA,HIV-1 IN,PC,Train,0.7222222222222222,0.0818897637795275,0.5720369056068133,0.1471004243281471,0.5280249852489368,0.1266487125964805
QDA,HIV-1 IN,PC,Validation,0.8,0.0758293838862559,0.5756929637526652,0.1385281385281385,0.5301627539586318,0.1485299037029896
QDA,HIV-1 IN,PC,Test,0.8333333333333334,0.0921658986175115,0.5723404255319149,0.1659751037344398,0.5381778109688348,0.1729251241910395
QDA,HIV-1 IN,PC,Train,0.8305084745762712,0.0772870662460567,0.5774147727272727,0.1414141414141414,0.532183584802615,0.159826040734104
QDA,HIV-1 IN,PC,Validation,0.8235294117647058,0.0660377358490566,0.5723404255319149,0.1222707423580786,0.5272049144361562,0.1450045339233581
QDA,HIV-1 IN,PC,Test,0.9,0.0829493087557603,0.5723404255319149,0.1518987341772152,0.5375220852079198,0.1853471164279062
QDA,HIV-1 IN,PC,Train,0.5221238938053098,0.1861198738170347,0.5568181818181818,0.2744186046511628,0.5232924950480522,0.0631390668335879
QDA,HIV-1 IN,PC,Validation,0.524390243902439,0.2028301886792453,0.5574468085106383,0.2925170068027211,0.5258336989907854,0.0677441167930313
QDA,HIV-1 IN,PC,Test,0.5081967213114754,0.1428571428571428,0.5404255319148936,0.2230215827338129,0.5121400338791643,0.0360174905081404
QDA,HIV-1 IN,PC,Train,0.7540983606557377,0.0724409448818897,0.5713271823988645,0.132183908045977,0.5265305499603247,0.1297250144528597
