Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
RFC,HIV-1 IN,PC,Train,0.4386554621848739,0.4116719242902208,0.4978693181818182,0.4247355573637103,0.4900736882433016,-0.0199953615026633
RFC,HIV-1 IN,PC,Validation,0.4117647058823529,0.3962264150943396,0.4723404255319149,0.4038461538461538,0.4655550680122862,-0.0691635391981885
RFC,HIV-1 IN,PC,Test,0.3905325443786982,0.304147465437788,0.4595744680851064,0.3419689119170984,0.4485164204659296,-0.1069700645424467
RFC,HIV-1 IN,PC,Train,0.4580896686159844,0.3706624605678233,0.5191761363636364,0.4097646033129904,0.5057446669764181,0.0118779026640638
RFC,HIV-1 IN,PC,Validation,0.4682080924855491,0.3820754716981132,0.5255319148936171,0.4207792207792207,0.5127431622056458,0.0262956381036228
RFC,HIV-1 IN,PC,Test,0.4675324675324675,0.3317972350230415,0.5170212765957447,0.3881401617250674,0.5038432815431412,0.0081642899817457
RFC,HIV-1 IN,PC,Train,0.6176470588235294,0.0992125984251968,0.5663591199432222,0.1709633649932157,0.5244125007629861,0.0937479390182568
RFC,HIV-1 IN,PC,Validation,0.8620689655172413,0.1184834123222748,0.5948827292110874,0.2083333333333333,0.5514897681766413,0.2127044988338923
RFC,HIV-1 IN,PC,Test,0.6451612903225806,0.0921658986175115,0.5574468085106383,0.1612903225806451,0.5243438188739732,0.0977902877849249
RFC,HIV-1 IN,PC,Train,0.4769736842105263,0.4566929133858268,0.5294535131298793,0.4666130329847144,0.5229201001037661,0.0460506538662269
RFC,HIV-1 IN,PC,Validation,0.5202020202020202,0.4881516587677725,0.5671641791044776,0.5036674816625917,0.5599673022521033,0.1208031746273111
RFC,HIV-1 IN,PC,Test,0.4972677595628415,0.4193548387096774,0.5361702127659574,0.455,0.527859237536657,0.0569669353360624
RFC,HIV-1 IN,PC,Train,0.4558058925476603,0.4148264984227129,0.5134943181818182,0.4343517753922378,0.5045708719503745,0.0092481686613555
RFC,HIV-1 IN,PC,Validation,0.416243654822335,0.3867924528301887,0.4787234042553192,0.4009779951100244,0.4705280093608308,-0.0594432865546616
RFC,HIV-1 IN,PC,Test,0.3869047619047619,0.2995391705069124,0.4574468085106383,0.3376623376623376,0.4462122730004917,-0.111903894908987
RFC,HIV-1 IN,PC,Train,0.4710578842315369,0.3722397476340694,0.5291193181818182,0.4158590308370044,0.5149312433260786,0.031032629147622
RFC,HIV-1 IN,PC,Validation,0.47953216374269,0.3867924528301887,0.5340425531914894,0.4281984334203655,0.5209156062600556,0.0432657849501549
RFC,HIV-1 IN,PC,Test,0.4473684210526316,0.3133640552995391,0.5042553191489362,0.3685636856368564,0.4906741225114296,-0.019878081879411
RFC,HIV-1 IN,PC,Train,0.6086956521739131,0.1102362204724409,0.567068843151171,0.1866666666666666,0.5260483427943601,0.0946785022007338
RFC,HIV-1 IN,PC,Validation,0.7352941176470589,0.1184834123222748,0.5842217484008528,0.2040816326530612,0.5417998456960212,0.1603879246627765
RFC,HIV-1 IN,PC,Test,0.5945945945945946,0.1013824884792626,0.5531914893617021,0.1732283464566929,0.5210469754649277,0.0779228821944879
RFC,HIV-1 IN,PC,Train,0.4817880794701987,0.4582677165354331,0.5337118523775728,0.4697336561743341,0.5269374758387759,0.0541661324207572
RFC,HIV-1 IN,PC,Validation,0.515,0.4881516587677725,0.5628997867803838,0.5012165450121655,0.5560913332598553,0.1128458784172452
RFC,HIV-1 IN,PC,Test,0.5054347826086957,0.4285714285714285,0.5425531914893617,0.4638403990024937,0.5344438170525128,0.0703622095485609
RFC,HIV-1 IN,PC,Train,0.4465195246179966,0.4148264984227129,0.5049715909090909,0.4300899427636958,0.4968189339658785,-0.0064167953877414
RFC,HIV-1 IN,PC,Validation,0.4207920792079208,0.4009433962264151,0.4808510638297872,0.4106280193236715,0.4737275120666959,-0.0528160476272416
RFC,HIV-1 IN,PC,Test,0.3941176470588235,0.3087557603686636,0.4617021276595744,0.3462532299741602,0.4508205679313674,-0.1020513006652788
RFC,HIV-1 IN,PC,Train,0.4679611650485437,0.3801261829652997,0.5262784090909091,0.4194952132288947,0.5130605075033217,0.0269821041303789
RFC,HIV-1 IN,PC,Validation,0.4659090909090909,0.3867924528301887,0.5234042553191489,0.422680412371134,0.5112256837794354,0.023082911380889
RFC,HIV-1 IN,PC,Test,0.4683544303797468,0.3410138248847926,0.5170212765957447,0.3946666666666666,0.5044990073040564,0.009495787361401
RFC,HIV-1 IN,PC,Train,0.6595744680851063,0.0976377952755905,0.5706174591909156,0.1700960219478738,0.5281470630124722,0.1122518793499196
RFC,HIV-1 IN,PC,Validation,0.896551724137931,0.1232227488151658,0.5991471215351812,0.2166666666666666,0.5557974209192108,0.230499434608615
RFC,HIV-1 IN,PC,Test,0.6785714285714286,0.0875576036866359,0.5595744680851064,0.1551020408163265,0.5259922405784958,0.1094898071743903
RFC,HIV-1 IN,PC,Train,0.478476821192053,0.4551181102362204,0.5308729595457772,0.4665052461662631,0.524070683025087,0.0484015581860167
RFC,HIV-1 IN,PC,Validation,0.515,0.4881516587677725,0.5628997867803838,0.5012165450121655,0.5560913332598553,0.1128458784172452
RFC,HIV-1 IN,PC,Test,0.5,0.4193548387096774,0.5382978723404256,0.4561403508771929,0.5298355221216372,0.0610691433148086
RFC,HIV-1 IN,PC,Train,0.4509466437177281,0.4132492113564668,0.5092329545454546,0.4312757201646091,0.5005522542570449,0.0011162034391272
RFC,HIV-1 IN,PC,Validation,0.4129353233830846,0.3915094339622642,0.474468085106383,0.4019370460048426,0.4670725464384965,-0.0662356429432545
RFC,HIV-1 IN,PC,Test,0.3928571428571428,0.304147465437788,0.4617021276595744,0.3428571428571428,0.4504927050509098,-0.1029985730994333
RFC,HIV-1 IN,PC,Train,0.4770114942528735,0.3927444794952681,0.5326704545454546,0.430795847750865,0.5200156506003473,0.0412346871346908
RFC,HIV-1 IN,PC,Validation,0.4858757062146893,0.4056603773584906,0.5382978723404256,0.442159383033419,0.5264735995319585,0.0543751328103728
RFC,HIV-1 IN,PC,Test,0.4683544303797468,0.3410138248847926,0.5170212765957447,0.3946666666666666,0.5044990073040564,0.009495787361401
RFC,HIV-1 IN,PC,Train,0.7297297297297297,0.0850393700787401,0.5734563520227112,0.152327221438646,0.5295997883985432,0.1320442372848659
RFC,HIV-1 IN,PC,Validation,0.9583333333333334,0.1090047393364928,0.5970149253731343,0.1957446808510638,0.5525643851721224,0.2373487992346663
RFC,HIV-1 IN,PC,Test,0.8636363636363636,0.0875576036866359,0.5723404255319149,0.1589958158995816,0.5378499480883772,0.1786631817676424
RFC,HIV-1 IN,PC,Train,0.4793388429752066,0.4566929133858268,0.531582682753726,0.4677419354838709,0.5248580845998901,0.0499745956266154
RFC,HIV-1 IN,PC,Validation,0.5124378109452736,0.4881516587677725,0.5607675906183369,0.5,0.5541533487637312,0.1088782090502544
RFC,HIV-1 IN,PC,Test,0.5027624309392266,0.4193548387096774,0.5404255319148936,0.457286432160804,0.5318118067066174,0.0651808844696893
RFC,HIV-1 IN,PC,Train,0.4517241379310345,0.4132492113564668,0.5099431818181818,0.4316309719934102,0.5011982490890862,0.0024224958809821
RFC,HIV-1 IN,PC,Validation,0.4137931034482758,0.3962264150943396,0.474468085106383,0.4048192771084337,0.4674930525084102,-0.0653100955605864
RFC,HIV-1 IN,PC,Test,0.3869047619047619,0.2995391705069124,0.4574468085106383,0.3376623376623376,0.4462122730004917,-0.111903894908987
RFC,HIV-1 IN,PC,Train,0.475,0.389589905362776,0.53125,0.4280762564991334,0.5184383635341012,0.0380153789110917
RFC,HIV-1 IN,PC,Validation,0.4555555555555555,0.3867924528301887,0.5148936170212766,0.4183673469387755,0.5034737457949393,0.0071116530620509
RFC,HIV-1 IN,PC,Test,0.4654088050314465,0.3410138248847926,0.5148936170212766,0.3936170212765957,0.5025227227190762,0.0053163171938376
RFC,HIV-1 IN,PC,Train,0.6274509803921569,0.1007874015748031,0.5677785663591199,0.1736770691994572,0.5258458971698305,0.0992524123306177
RFC,HIV-1 IN,PC,Validation,0.8666666666666667,0.1232227488151658,0.5970149253731343,0.2157676348547718,0.5538594364230868,0.2190029644401149
RFC,HIV-1 IN,PC,Test,0.6551724137931034,0.0875576036866359,0.5574468085106383,0.1544715447154471,0.5240159559935156,0.099518015839173
RFC,HIV-1 IN,PC,Train,0.4739413680781759,0.4582677165354331,0.5266146202980837,0.465972778222578,0.5204775275183625,0.0410957685675518
RFC,HIV-1 IN,PC,Validation,0.5099009900990099,0.4881516587677725,0.55863539445629,0.4987893462469733,0.5522153642676072,0.1049175336817382
RFC,HIV-1 IN,PC,Test,0.5055555555555555,0.4193548387096774,0.5425531914893617,0.4584382871536523,0.5337880912915977,0.0693024408110483
RFC,HIV-1 IN,PC,Train,0.4461805555555556,0.4053627760252365,0.5056818181818182,0.424793388429752,0.4966090365914296,-0.006862704569477
RFC,HIV-1 IN,PC,Validation,0.4129353233830846,0.3915094339622642,0.474468085106383,0.4019370460048426,0.4670725464384965,-0.0662356429432545
RFC,HIV-1 IN,PC,Test,0.3818181818181818,0.2903225806451613,0.4553191489361702,0.3298429319371728,0.4435802626545964,-0.1178580608945571
RFC,HIV-1 IN,PC,Train,0.486328125,0.3927444794952681,0.5397727272727273,0.4345549738219895,0.5264755989207607,0.0547648513212847
RFC,HIV-1 IN,PC,Validation,0.4858757062146893,0.4056603773584906,0.5382978723404256,0.442159383033419,0.5264735995319585,0.0543751328103728
RFC,HIV-1 IN,PC,Test,0.4779874213836478,0.3502304147465437,0.5234042553191489,0.4042553191489361,0.5110835868199123,0.0233572491873663
RFC,HIV-1 IN,PC,Train,0.7341772151898734,0.0913385826771653,0.5755855216465579,0.1624649859943977,0.5321033998657144,0.1388669831647322
RFC,HIV-1 IN,PC,Validation,0.92,0.1090047393364928,0.5948827292110874,0.1949152542372881,0.5506264006759983,0.2242315086337393
RFC,HIV-1 IN,PC,Test,0.7307692307692307,0.0875576036866359,0.5638297872340425,0.1563786008230452,0.5299448097484564,0.1306061183556394
