Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
SVC,HIV-1 IN,PC,Train,0.496042216358839,0.2965299684542586,0.5475852272727273,0.3711747285291214,0.5248799713072326,0.0558171538459874
SVC,HIV-1 IN,PC,Validation,0.4772727272727273,0.2971698113207547,0.5361702127659574,0.3662790697674418,0.5148639754278193,0.0329152715280981
SVC,HIV-1 IN,PC,Test,0.5087719298245614,0.2672811059907834,0.5425531914893617,0.3504531722054381,0.5229686162364984,0.0534290595750954
SVC,HIV-1 IN,PC,Train,0.4876033057851239,0.279179810725552,0.5433238636363636,0.3550651955867603,0.5194348666030861,0.0442094601080128
SVC,HIV-1 IN,PC,Validation,0.5,0.3254716981132075,0.548936170212766,0.3942857142857143,0.5290149188240456,0.0634045688822095
SVC,HIV-1 IN,PC,Test,0.4857142857142857,0.2350230414746544,0.5319148936170213,0.3167701863354037,0.5107921531483944,0.0258337314760193
SVC,HIV-1 IN,PC,Train,0.4528301886792453,0.2645669291338582,0.524485450674237,0.3339960238568588,0.5011465136625364,0.0025904841626157
SVC,HIV-1 IN,PC,Validation,0.5943396226415094,0.2985781990521327,0.5927505330490405,0.3974763406940063,0.5659557661927329,0.1569016825993136
SVC,HIV-1 IN,PC,Test,0.47,0.216589861751152,0.5255319148936171,0.2965299684542586,0.5035518478716234,0.0086531377528246
SVC,HIV-1 IN,PC,Train,0.518324607329843,0.3118110236220472,0.5592618878637331,0.3893805309734513,0.5370424627154164,0.0829220991903982
SVC,HIV-1 IN,PC,Validation,0.4201680672268907,0.2369668246445497,0.509594882729211,0.303030303030303,0.4847624820897167,-0.0348407746478591
SVC,HIV-1 IN,PC,Test,0.4434782608695652,0.2350230414746544,0.5106382978723404,0.3072289156626506,0.491029307298592,-0.0208057323003286
SVC,HIV-1 IN,PC,Train,0.4768518518518518,0.3249211356466877,0.5355113636363636,0.3864915572232645,0.5164657357820002,0.035527075990034
SVC,HIV-1 IN,PC,Validation,0.4705882352941176,0.3396226415094339,0.5297872340425532,0.3945205479452054,0.5128345765686704,0.0272592547181852
SVC,HIV-1 IN,PC,Test,0.4732142857142857,0.2442396313364055,0.5255319148936171,0.3221884498480243,0.5055190251543688,0.0129161170475637
SVC,HIV-1 IN,PC,Train,0.4370179948586118,0.2681388012618296,0.5149147727272727,0.3323558162267839,0.4925965324138605,-0.0164747332544566
SVC,HIV-1 IN,PC,Validation,0.4931506849315068,0.3396226415094339,0.5446808510638298,0.4022346368715084,0.5264004680415386,0.0567767425909362
SVC,HIV-1 IN,PC,Test,0.4601769911504424,0.2396313364055299,0.5191489361702127,0.3151515151515151,0.4992623085189706,-0.0017211612567271
SVC,HIV-1 IN,PC,Train,0.4346153846153846,0.3559055118110236,0.5010645848119234,0.3913419913419913,0.4880302752853567,-0.0246841938728917
SVC,HIV-1 IN,PC,Validation,0.4782608695652174,0.3649289099526066,0.535181236673774,0.4139784946236559,0.5196737573018846,0.0412268439681395
SVC,HIV-1 IN,PC,Test,0.4592592592592592,0.2857142857142857,0.5148936170212766,0.3522727272727273,0.4985883681535855,-0.0031106581252374
SVC,HIV-1 IN,PC,Train,0.5022123893805309,0.3574803149606299,0.5507452093683464,0.4176632934682612,0.5333913202710125,0.0711861890256223
SVC,HIV-1 IN,PC,Validation,0.4097222222222222,0.2796208530805687,0.4946695095948827,0.3323943661971831,0.4750817443697417,-0.0537496680669101
SVC,HIV-1 IN,PC,Test,0.4461538461538462,0.2672811059907834,0.5085106382978724,0.3342939481268011,0.4913480628768146,-0.0192851198903896
SVC,HIV-1 IN,PC,Train,0.4152249134948096,0.1892744479495268,0.5149147727272727,0.2600216684723727,0.4854640973597763,-0.0358115522390085
SVC,HIV-1 IN,PC,Validation,0.4181818181818181,0.2169811320754717,0.5106382978723404,0.2857142857142857,0.4844595582857979,-0.0365278024140403
SVC,HIV-1 IN,PC,Test,0.3253012048192771,0.1244239631336405,0.4765957446808511,0.18,0.451540044807927,-0.1267093323947095
SVC,HIV-1 IN,PC,Train,0.4545454545454545,0.3233438485804416,0.5205965909090909,0.3778801843317972,0.5027571956080503,0.0058798797335388
SVC,HIV-1 IN,PC,Validation,0.4846625766871165,0.3726415094339622,0.5382978723404256,0.4213333333333333,0.5235300570425625,0.0492003020715179
SVC,HIV-1 IN,PC,Test,0.410958904109589,0.2764976958525346,0.4829787234042553,0.3305785123966942,0.4682883736179669,-0.0683265836286796
SVC,HIV-1 IN,PC,Train,0.4095634095634096,0.3102362204724409,0.4875798438608942,0.3530465949820788,0.4716555779364788,-0.0594851304883799
SVC,HIV-1 IN,PC,Validation,0.4810126582278481,0.3601895734597156,0.5373134328358209,0.4119241192411924,0.5211800580476873,0.0445860998551765
SVC,HIV-1 IN,PC,Test,0.3870967741935484,0.2764976958525346,0.4638297872340425,0.3225806451612903,0.4505018123531447,-0.1049755829236742
SVC,HIV-1 IN,PC,Train,0.440147329650092,0.3763779527559055,0.5031937544357701,0.4057724957555178,0.4918065474373843,-0.0167531092834045
SVC,HIV-1 IN,PC,Validation,0.3552631578947368,0.2559241706161137,0.4562899786780384,0.2975206611570248,0.4380396046879018,-0.1317176067398056
SVC,HIV-1 IN,PC,Test,0.3831168831168831,0.271889400921659,0.4617021276595744,0.3180592991913746,0.4481976648877069,-0.1100437948250471
