Enzyme,Model,PRC,REC,ACC,F1-Score,AUC,MCC
HIV-1 IN,KNN,0.47876118058284023,0.3991375569748379,0.5326904005462549,0.43433214142780036,0.5206509207677806,0.042821390013226865
HIV-1 IN,GNB,0.34081156390777584,0.2935952985667801,0.5296830043722579,0.31016503137699075,0.5084134438570335,0.019416396800126343
HIV-1 IN,GPC,0.47506814894079974,0.40350090800952715,0.5289394230631367,0.43525252524241637,0.5176329547225357,0.03672401073781069
HIV-1 IN,SVC,0.4835999167252405,0.3883647824779,0.5264723375130385,0.41880320812622496,0.5140238533405865,0.03332099676863695
HIV-1 IN,RFC,0.46451666449609663,0.4353370674880151,0.5193442041623653,0.44941838333301903,0.5117738309016303,0.02377748534679715
HIV-1 IN,CNN,0.4618350582478741,0.40976738120668665,0.5181044316367185,0.4330597502950976,0.5083397629547646,0.017286359775424687
HIV-1 IN,MLP,0.4596066303855796,0.4458347822847065,0.5138433200327441,0.4520500935662597,0.5077203627185807,0.015605210054915376
HIV-1 IN,DTC,0.45781429462374706,0.42365433816041126,0.5133511497829608,0.43840619980786083,0.5052703215349861,0.011015802230758785
HIV-1 IN,QDA,0.6070187232281469,0.38368485928612234,0.5091628055304643,0.3491401797074441,0.4978555648713127,0.026647935862328772
HIV-1 IN,ABC,0.42770957107612906,0.37286796120122206,0.4924176937826633,0.3968555838321718,0.48164554390810455,-0.037374609376611065
HIV-1 PR,ABC,0.9302253606224327,0.9931878108892841,0.9243802965895511,0.9606299347536755,0.5023410318814235,0.006660559710565997
HIV-1 PR,SVC,0.9297990911877319,0.9654796083305617,0.9000968833716914,0.947180774155775,0.4990632396697507,-0.006454306041512825
HIV-1 PR,GPC,0.9323279702979842,0.9612784296709774,0.8982321398989526,0.9444178397812261,0.5115300194331898,0.007937855574675627
HIV-1 PR,KNN,0.9297769437925953,0.9551410032955202,0.8911748627963527,0.9421748310888652,0.49883037952132336,-0.008892855580585923
HIV-1 PR,CNN,0.9289526499242444,0.9514811084351812,0.8872083510129616,0.9400336783632296,0.4929819335279354,-0.017763470996408275
HIV-1 PR,DTC,0.9321603818415194,0.9454667371911738,0.8852628169555457,0.9385806049044194,0.5159964592724707,0.031212103277508636
HIV-1 PR,RFC,0.9282942208816024,0.9484718689744686,0.8839466866754642,0.938263551610867,0.48817271609642976,-0.02903255175863585
HIV-1 PR,MLP,0.9317618963479475,0.9300377193574768,0.8715985368404526,0.9308354724515499,0.5131510435867843,0.025890325570361587
HIV-1 PR,GNB,0.9338191015381879,0.9048867997254046,0.8515079506423706,0.9168656577601457,0.524102882621323,0.031872278649698146
HIV-1 PR,QDA,0.9510190078175572,0.6250822785918106,0.6144523310725036,0.6556515988106907,0.5492509094108479,0.05484214113933835
HIV-1 RT,ABC,0.7099757287912413,0.956937904914842,0.691660586044011,0.813903413536407,0.4982012495213242,-0.00417421996886403
HIV-1 RT,CNN,0.7038246914255795,0.8729186118700009,0.6491199140350414,0.7778155921480713,0.4858979933270557,-0.03293006113789883
HIV-1 RT,DTC,0.7133400495710381,0.775537353167992,0.6186582112068881,0.7402997508726945,0.504253036591672,0.00834789071306334
HIV-1 RT,MLP,0.7013829237788463,0.800820637283157,0.6159736419347004,0.7451027983879202,0.4811529783997823,-0.050416962760304884
HIV-1 RT,SVC,0.6994232771366722,0.8015457155957547,0.6140827660579283,0.7450090300513292,0.4773716392217884,-0.05771813051504292
HIV-1 RT,GPC,0.6936550000228358,0.7391633942287531,0.5981140538055166,0.7105244194381141,0.49525335322644715,-0.020543119965135612
HIV-1 RT,QDA,0.7906602396908738,0.6568449011655757,0.5976047739496316,0.6399949817019167,0.5544047476466911,0.10785576316511573
HIV-1 RT,KNN,0.7236576034227495,0.6851186732364367,0.5889412585589024,0.7030937887855813,0.5188094715491336,0.03481238297435377
HIV-1 RT,RFC,0.6875914488657181,0.7401335503407107,0.5762197300951669,0.7128606730028186,0.45668162836551945,-0.092740299163562
HIV-1 RT,GNB,0.680005252069309,0.5529243716047361,0.5261917080049257,0.5968807311742657,0.5067082997920053,0.012897805697220155
