Enzyme,Model,PRC,REC,ACC,F1-Score,AUC,MCC
HIV-1 IN,RFC,0.9955034776094361,0.9527219690007204,0.9768418779034131,0.9716271393964238,0.9746733230016522,0.9554129217416039
HIV-1 IN,KNN,0.9784628619238248,0.9213379306490475,0.9559357360883163,0.9477180320730272,0.9528160906475212,0.9128185349568907
HIV-1 IN,MLP,0.936728150289103,0.8940550560123202,0.9239518098949933,0.9133038155625136,0.9212684840785115,0.8485626166767075
HIV-1 IN,GPC,0.9616141348948221,0.8521498298517101,0.9182920445472287,0.9030180294904666,0.9123295804440864,0.8382354380542199
HIV-1 IN,CNN,0.9164241538463589,0.8788199533023672,0.9095629027477579,0.8957628748024167,0.9067872376330958,0.8184348591376591
HIV-1 IN,SVC,0.9403896012863373,0.8309578638040906,0.8977268194190171,0.8664925026523451,0.8917072192979683,0.8007003581952088
HIV-1 IN,DTC,0.8794506307112147,0.8006464393054968,0.8616402391104085,0.8315065867393217,0.8561533230119216,0.7236528559368038
HIV-1 IN,ABC,0.774360026310366,0.6678461493082293,0.7600521511720515,0.7116936946178924,0.7517444570830552,0.5175786667447758
HIV-1 IN,GNB,0.6890607133560873,0.4617423278024789,0.7380417404701514,0.5237063485082449,0.7131466806971052,0.45925024748286913
HIV-1 IN,QDA,0.734421743532997,0.5011785666973015,0.6544630588566197,0.49775353171639153,0.6406490378706146,0.3130642907060844
HIV-1 PR,RFC,0.9942282554467934,1.0,0.99456233836927,0.9970953306801839,0.9612068965517242,0.9566951657486893
HIV-1 PR,MLP,0.9965641717747129,0.9968595962096829,0.9938564913755854,0.9966994625059012,0.975441292357715,0.953409894041339
HIV-1 PR,CNN,0.9893325431783663,0.9998916811091855,0.989829591091284,0.9945725080023309,0.9281067600948226,0.9183740591192524
HIV-1 PR,KNN,0.978787135534772,0.998172540739157,0.9777194410869371,0.9882682581610092,0.8522651496799232,0.7914991586022564
HIV-1 PR,DTC,0.9817616378799217,0.9929119952516834,0.9759861898494352,0.9872136592730403,0.8721743884304394,0.7897174577178818
HIV-1 PR,SVC,0.9737634139140288,0.9991757865024762,0.9735931368223727,0.9861492906552832,0.8166776122806123,0.7149425025891618
HIV-1 PR,ABC,0.94717626858864,0.9948680338292558,0.9430817141064619,0.970262442322445,0.6254512582939382,0.32667992097947096
HIV-1 PR,GPC,0.9402564985202702,1.0,0.94043872006556,0.9690890339665307,0.5751117496807151,0.2493245303761865
HIV-1 PR,GNB,0.9762523989611152,0.932288900080278,0.9134950183997894,0.9510921739500355,0.7982205994654263,0.5212661717205467
HIV-1 PR,QDA,0.8151592296086614,0.7176910851520905,0.7051519193696493,0.7188064980519896,0.6282420943001831,0.21839074657056834
HIV-1 RT,RFC,0.993608401164899,0.9983666460713637,0.9942502829172823,0.9959740907388432,0.9912493852118477,0.9860003027565482
HIV-1 RT,KNN,0.9631506365619021,0.9719615055158235,0.9532925028665792,0.9674372192228544,0.93967920914824,0.8854498235828947
HIV-1 RT,MLP,0.9498799122728607,0.9803299846226123,0.9458237718347553,0.9638463684026699,0.9206485847119971,0.8629689994699588
HIV-1 RT,SVC,0.8974070678764821,0.9818377708095904,0.8993917583221128,0.9353249967714168,0.8392655319217787,0.7409856550345354
HIV-1 RT,GPC,0.8655558822996645,0.9943116921991398,0.883297909446187,0.9246687435230485,0.8023395920216577,0.7003273597081265
HIV-1 RT,DTC,0.8982617056760086,0.9070994739972785,0.8543019497837272,0.8992374665260452,0.8158002647284417,0.6287240103415477
HIV-1 RT,CNN,0.8420999354289316,0.9899023590175843,0.8521309880833096,0.9077176306461989,0.7516437529112101,0.5975124986412348
HIV-1 RT,GNB,0.911348197508336,0.7678551314134958,0.7667422598619553,0.7880736862645,0.765943973306057,0.5012742192598778
HIV-1 RT,ABC,0.7590253186283935,0.9610413535012672,0.746916246821077,0.8443347988168206,0.5907538373723954,0.21171399629539697
HIV-1 RT,QDA,0.707236471317234,0.8090390494017493,0.722482808213587,0.7437191830925682,0.6593590468655264,0.31106670473794934
