Enzyme,Model,PRC,REC,ACC,F1-Score,AUC,MCC
HIV-1 IN,GNB,0.4858564700628657,0.06210676494696834,0.5606577850032664,0.10904292123683135,0.5157311925510035,0.06937769063712072
HIV-1 IN,QDA,0.5931069759223944,0.2941637273653096,0.535348204168414,0.30771636459152907,0.5136300979634472,0.06200104857151382
HIV-1 IN,RFC,0.4961080702644415,0.37711707320102333,0.5302046893650397,0.4068867312052042,0.5164251386676952,0.04116161743171417
HIV-1 IN,ABC,0.46718593840623485,0.412028180034278,0.523212961194069,0.4306643720111376,0.5131967450558987,0.027167514908159152
HIV-1 IN,DTC,0.471792307073629,0.4320970328235784,0.5215364616937652,0.4442130071176866,0.513475303664158,0.02871755385561456
HIV-1 IN,SVC,0.5031461583769299,0.34857538755999345,0.5205100650394784,0.3730609184108935,0.5050146174090522,0.022388252915260812
HIV-1 IN,GPC,0.46160584720855646,0.4003580634833895,0.5189722421607846,0.4274159335973693,0.5082826780236355,0.01706357149418252
HIV-1 IN,MLP,0.4592368632598083,0.43421098387938095,0.5149080938689593,0.4454819264506712,0.5076416676502848,0.015351364672280036
HIV-1 IN,CNN,0.33834798610417893,0.3118001564867483,0.5123355992725336,0.3166843453583716,0.4942398715250279,-0.009364479182554362
HIV-1 IN,KNN,0.4526434762181851,0.4661243836781837,0.5054265093715724,0.458643328915148,0.5018868849915468,0.0037850058222204082
HIV-1 PR,ABC,0.9303599563354037,0.988628082633715,0.9205933283246459,0.9585210874753518,0.5032939263743288,0.007574762872123065
HIV-1 PR,CNN,0.9317756012711016,0.9682721308154585,0.9045338190202956,0.9495698428670934,0.5135900883962349,0.03070785847966496
HIV-1 PR,MLP,0.9301851620363271,0.9652392018726508,0.9003041707054074,0.9472546483237156,0.5020161526604633,0.005193350161211451
HIV-1 PR,QDA,0.9293390123912841,0.9648934723566439,0.8991098090902918,0.9459417733548646,0.4956172342626132,-0.01431574618956435
HIV-1 PR,SVC,0.9294706610373503,0.9635079075395367,0.8980589164871312,0.9460119789602115,0.49662065236491526,-0.012270813835695003
HIV-1 PR,KNN,0.9286860582373397,0.9640054567399672,0.8976966384214329,0.9459709436702113,0.4909826134274548,-0.025097885199606602
HIV-1 PR,GPC,0.9037400616909744,0.9592978664252496,0.8945546961201702,0.9306786444123823,0.49744906092654556,-0.01130216711745735
HIV-1 PR,RFC,0.9309721335488694,0.9476153619632823,0.8859497885581339,0.9391937559754684,0.5077157269586527,0.018157253314043154
HIV-1 PR,DTC,0.9314309928998239,0.9328461953028678,0.8736723698516238,0.9318760440202608,0.5107238639349588,0.020437990318227454
HIV-1 PR,GNB,0.9381653689034082,0.6451961509749637,0.6246724605565871,0.6780831779617249,0.4987834203150681,-0.003461370256109487
HIV-1 RT,ABC,0.704462174193111,0.9009236364165751,0.6620389829217214,0.7870249910701367,0.48782149005630143,-0.029773089411412858
HIV-1 RT,CNN,0.703266054453943,0.8638102486636083,0.6442596656962608,0.7743779715375904,0.4841503747635831,-0.04652343050013265
HIV-1 RT,QDA,0.7015460624525197,0.8218939544231868,0.6261569860078348,0.7504134507360308,0.4834138741603556,-0.039919209435217214
HIV-1 RT,MLP,0.6988367293682994,0.8119963239358217,0.6175414388407399,0.7503243216506186,0.47573045903181405,-0.06139816206610377
HIV-1 RT,SVC,0.7030841366247,0.7971408221797376,0.6162814128443809,0.7442065499426744,0.4843864732660346,-0.04083585276787326
HIV-1 RT,GPC,0.6939663987622442,0.7939997386107316,0.6047744899467316,0.7404573658375916,0.46678014180584554,-0.07707456237213672
HIV-1 RT,KNN,0.6982629544568393,0.7462304199399956,0.5904923102437377,0.7213163192334054,0.4769175631651619,-0.04863502333068437
HIV-1 RT,DTC,0.7025726857558101,0.706498550103832,0.5792916380784578,0.7009906251973992,0.4865250378613574,-0.02630327472391595
HIV-1 RT,RFC,0.6899181368882059,0.7299329102248772,0.5748909384424861,0.7092784509738613,0.46182526340259394,-0.08000113139723922
HIV-1 RT,GNB,0.6788430522781148,0.6376842936222333,0.5372714607534252,0.6334190333648504,0.46405479793374194,-0.07194269310215406
