Enzyme,Model,PRC,REC,ACC,F1-Score,AUC,MCC
HIV-1 IN,RFC,0.6520427374566581,0.5883920365632529,0.6754635904769394,0.609310751311549,0.6676240975236591,0.34011734150670503
HIV-1 IN,KNN,0.6366225062416166,0.595533290434023,0.6646842153353812,0.6135645008053252,0.6584512988022828,0.31980831026411255
HIV-1 IN,GPC,0.6327627103480594,0.5520029337815423,0.6554012365903833,0.5885621627767508,0.646081737730086,0.297341006762071
HIV-1 IN,MLP,0.6185238813114969,0.5913669407254692,0.6509010745988989,0.6036119451931482,0.6455435048157924,0.293173063801301
HIV-1 IN,SVC,0.6423785587961693,0.5226326779473282,0.6482364073238448,0.5527855430631545,0.636915230015869,0.2854698692930355
HIV-1 IN,CNN,0.5722023993994706,0.5334624969986007,0.6466676445523367,0.5485023234852953,0.6364556240376293,0.27545224657684314
HIV-1 IN,DTC,0.6030190774695302,0.5521326034298288,0.6321759501957116,0.5713752645549564,0.6249663160703552,0.25446207067439236
HIV-1 IN,GNB,0.5052429157755763,0.27248146377207577,0.6094608432818919,0.31430476704068905,0.579097105701714,0.18268144497337205
HIV-1 IN,ABC,0.5564185119309101,0.48424743018124317,0.5918942687162613,0.5130712168204006,0.5821955820156861,0.16912385742544128
HIV-1 IN,QDA,0.6448491475611795,0.3930090511162445,0.5663246895184995,0.38487002533845494,0.5507115669017915,0.1339044250466423
HIV-1 PR,ABC,0.935920528515492,0.992227975784085,0.9293517796735529,0.9631378215171573,0.5436954055165636,0.11363841452072002
HIV-1 PR,CNN,0.9500202647912376,0.973214973453275,0.9271905870415139,0.961392009744218,0.6448929273396643,0.31043948220083634
HIV-1 PR,SVC,0.9443443887130369,0.9760544341241916,0.9239163122270649,0.9597806812570897,0.6041205014384261,0.23207246090398467
HIV-1 PR,KNN,0.9457500458549024,0.9724396669248813,0.9221969807682409,0.9588046776400286,0.6140260475429005,0.25250280594068797
HIV-1 PR,MLP,0.9528370767196627,0.9640455058132701,0.921919732973815,0.9582631944270555,0.6635361628683208,0.32816452325763734
HIV-1 PR,RFC,0.9511648699590883,0.9653624103125835,0.921486271200956,0.9581842127555065,0.6523651132022688,0.31527328910136554
HIV-1 PR,DTC,0.9484510042070883,0.9570749759152416,0.9116404588855347,0.9525567693992402,0.6329649038792895,0.28045585043787263
HIV-1 PR,GPC,0.9254415101697427,0.9735254320320755,0.9110751853615608,0.948061839386713,0.5280302766801501,0.08198673961113491
HIV-1 PR,GNB,0.9494122898009038,0.8274572835935486,0.7965584765329158,0.8486803365573022,0.6070356341339392,0.18322569337137842
HIV-1 PR,QDA,0.8985057499391674,0.7692222787001816,0.7395713531774817,0.7734666234058485,0.5577034126578813,0.08630571384011411
HIV-1 RT,MLP,0.7833665218066689,0.8643823152805302,0.7264462842033984,0.819757829480403,0.6258440073811978,0.2503846248811834
HIV-1 RT,CNN,0.749730227102818,0.9088770731837311,0.7151701892715373,0.8199703981106202,0.573897373667283,0.17268633566773448
HIV-1 RT,RFC,0.7903726623062742,0.8228110355456505,0.7151203171516453,0.8060377382385078,0.636585425659987,0.2710862907319156
HIV-1 RT,KNN,0.795023731480497,0.8011035328974186,0.7109086905564065,0.797282442413947,0.6451354146208451,0.2905423944088547
HIV-1 RT,SVC,0.7666381605459515,0.8601747695283609,0.709918645741474,0.80818019225514,0.6003412148032005,0.21414389058387306
HIV-1 RT,ABC,0.7244877405375818,0.9396342982775614,0.7002052719289364,0.8150877344744548,0.5255921923166738,0.05925556230504002
HIV-1 RT,GPC,0.7510590936949149,0.8424916083462082,0.6953954843994784,0.7918835095995848,0.5881243623513167,0.20090322579028472
HIV-1 RT,DTC,0.7713914803342857,0.7963784590897007,0.6840839330230245,0.7801759475320463,0.602192779727157,0.20358954211023172
HIV-1 RT,QDA,0.7331475911535426,0.7625926349968373,0.6487481893903512,0.7113758718435054,0.5657258895575243,0.12633441948928262
HIV-1 RT,GNB,0.7567321672852533,0.6528212655468218,0.6100684762067687,0.6727911502678721,0.5789023570106014,0.1474097772849813
