Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
abc,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.523212961194069
abc,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5281964796080387
abc,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5101994680851064
abc,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.4924176937826633
abc,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.48996302681123255
abc,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.498563829787234
abc,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.7600521511720515
abc,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.6954887606042736
abc,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.7642952127659575
abc,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.9205933283246459
abc,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.9213728272566704
abc,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.9076539855072463
abc,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.9243802965895511
abc,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.9244103911522851
abc,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.9097222222222221
abc,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9430817141064619
abc,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.933018205132704
abc,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9151871980676327
abc,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6620389829217214
abc,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.6610393671053695
abc,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6916729041916168
abc,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.691660586044011
abc,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6920827853288924
abc,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.7260104790419162
abc,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.746916246821077
abc,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7150207830216628
abc,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.75906624251497
