Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
cnn,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5123355992725336
cnn,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.4994522070498571
cnn,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5146276595744681
cnn,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5181044316367185
cnn,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5069262350859682
cnn,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5090425531914894
cnn,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.9095629027477579
cnn,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.73773136596652
cnn,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.7997340425531915
cnn,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.9045338190202956
cnn,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8975674339989004
cnn,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8831521739130435
cnn,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8872083510129616
cnn,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.889115520932028
cnn,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8698671497584541
cnn,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.989829591091284
cnn,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9522639810038485
cnn,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9393115942028984
cnn,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6442596656962608
cnn,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.6473776584761511
cnn,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6742140718562875
cnn,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.6491199140350414
cnn,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6481542163050211
cnn,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.6732784431137724
cnn,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.8521309880833096
cnn,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7303282303459049
cnn,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7700224550898204
