Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
dtc,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5215364616937652
dtc,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5140507568540277
dtc,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5109633569739952
dtc,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5133511497829608
dtc,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5238606864361073
dtc,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5041371158392435
dtc,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.8616402391104085
dtc,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.6950241195239608
dtc,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.7579491725768321
dtc,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8736723698516238
dtc,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.877027260179434
dtc,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.856682769726248
dtc,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8852628169555457
dtc,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8833722263162205
dtc,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8678878153515834
dtc,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9759861898494352
dtc,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9249782953111373
dtc,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.915157004830918
dtc,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.5792916380784578
dtc,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.575051514911207
dtc,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.5820650365934797
dtc,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.6186582112068881
dtc,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6270970677335982
dtc,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.6197604790419161
dtc,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.8543019497837272
dtc,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.687851184188345
dtc,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7169827012641384
