Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
gnb,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5606577850032664
gnb,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5578461699859365
gnb,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5496675531914894
gnb,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5296830043722579
gnb,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5244325012475615
gnb,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5196143617021277
gnb,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.7380417404701514
gnb,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.6538643220069863
gnb,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.680718085106383
gnb,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.6246724605565871
gnb,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.6142867012317086
gnb,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.6021286231884058
gnb,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8515079506423706
gnb,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8453843094594753
gnb,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8364281400966183
gnb,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9134950183997894
gnb,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.8806829812494883
gnb,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.8760567632850241
gnb,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.5372714607534252
gnb,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.5491463895671925
gnb,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.5416354790419162
gnb,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.5261917080049257
gnb,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.537974112681683
gnb,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.508935254491018
gnb,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.7667422598619553
gnb,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.6463812910161686
gnb,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.657185628742515
