Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
gpc,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5189722421607846
gpc,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5193179240575239
gpc,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5068853427895981
gpc,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5289394230631367
gpc,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.521336453497457
gpc,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.521838061465721
gpc,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.9182920445472287
gpc,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.7757659272028913
gpc,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.8490839243498818
gpc,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8945546961201702
gpc,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8948463873390181
gpc,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8881172839506173
gpc,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8982321398989526
gpc,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8996901395728464
gpc,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8864398819108964
gpc,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.94043872006556
gpc,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9331323375170094
gpc,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9217324208266235
gpc,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6047744899467316
gpc,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.6082635765450608
gpc,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6278900532268796
gpc,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.5981140538055166
gpc,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6013847804141841
gpc,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.6051854624085163
gpc,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.883297909446187
gpc,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7627924124265214
gpc,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7988814038589488
