Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
knn,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5054265093715724
knn,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5031033094406387
knn,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.4949800531914893
knn,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5326904005462549
knn,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5261276432711064
knn,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5311502659574467
knn,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.9559357360883163
knn,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.7881202365830422
knn,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.8452127659574468
knn,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8976966384214329
knn,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8979319643295784
knn,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8847561896135265
knn,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8911748627963527
knn,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8904189521777146
knn,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8729996980676329
knn,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9777194410869371
knn,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.943430722970839
knn,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9336503623188406
knn,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.5904923102437377
knn,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.5998344449126485
knn,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6034863866017963
knn,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.5889412585589024
knn,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.5956525210916248
knn,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.5817037799401198
knn,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.9532925028665792
knn,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7515114191594323
knn,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7864661302395208
