Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
mlp,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5149080938689593
mlp,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.510115456153881
mlp,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5053191489361701
mlp,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5138433200327441
mlp,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5069324728938892
mlp,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5164893617021277
mlp,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.9239518098949933
mlp,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.7845750351585538
mlp,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.8497340425531915
mlp,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.9003041707054074
mlp,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8969584517668526
mlp,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8840579710144927
mlp,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8715985368404526
mlp,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8731021394064873
mlp,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8541666666666667
mlp,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9938564913755854
mlp,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9568075879332327
mlp,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9444444444444444
mlp,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6175414388407399
mlp,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.6153586754526927
mlp,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6422155688622755
mlp,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.6159736419347004
mlp,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6159455825979225
mlp,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.6173278443113772
mlp,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.9458237718347553
mlp,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7644081215380334
mlp,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7962200598802396
