Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
qda,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.535348204168414
qda,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.532756430612893
qda,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5326241134751774
qda,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5091628055304643
qda,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5031262759152565
qda,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.49977836879432624
qda,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.6544630588566197
qda,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.5647902206293759
qda,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.5853280141843972
qda,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8991098090902918
qda,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8982891230265956
qda,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8835547504025764
qda,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.6144523310725036
qda,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.6225972129619882
qda,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.6148349436392914
qda,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.7051519193696493
qda,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.5639818811336866
qda,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.5314009661835749
qda,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6261569860078348
qda,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.628026462068367
qda,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6470184630738524
qda,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.5976047739496316
qda,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.602787771533395
qda,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.5998003992015968
qda,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.722482808213587
qda,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.5570746157609818
qda,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.5537050898203592
