Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
rfc,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5302046893650397
rfc,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5286569999546341
rfc,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.5209574468085105
rfc,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5193442041623653
rfc,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5122029669282766
rfc,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5163829787234042
rfc,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.9768418779034131
rfc,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.8150235335480651
rfc,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.8606117021276596
rfc,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8859497885581339
rfc,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8862138997087412
rfc,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8747584541062803
rfc,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.8839466866754642
rfc,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.8856097425459991
rfc,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.863828502415459
rfc,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.99456233836927
rfc,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9454387742569395
rfc,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9503925120772948
rfc,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.5748909384424861
rfc,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.5838253777302965
rfc,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.5814184131736526
rfc,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.5762197300951669
rfc,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.5776822666511057
rfc,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.5832335329341317
rfc,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.9942502829172823
rfc,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.8150870765964324
rfc,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.838809880239521
