Model,Enzyme,Descriptor,descriptor_int,Phase,Enzyme x Descriptor,ACC
svc,HIV-1 IN,PC,1,Train,HIV-1 IN x PC,0.5205100650394784
svc,HIV-1 IN,PC,1,Validation,HIV-1 IN x PC,0.5169912532071154
svc,HIV-1 IN,PC,1,Test,HIV-1 IN x PC,0.49768764775413715
svc,HIV-1 IN,ECFP4,2,Train,HIV-1 IN x ECFP4,0.5264723375130385
svc,HIV-1 IN,ECFP4,2,Validation,HIV-1 IN x ECFP4,0.5185174683825049
svc,HIV-1 IN,ECFP4,2,Test,HIV-1 IN x ECFP4,0.5088209219858155
svc,HIV-1 IN,MIX,3,Train,HIV-1 IN x MIX,0.8977268194190171
svc,HIV-1 IN,MIX,3,Validation,HIV-1 IN x MIX,0.7400367400585723
svc,HIV-1 IN,MIX,3,Test,HIV-1 IN x MIX,0.7977689125295507
svc,HIV-1 PR,PC,1,Train,HIV-1 PR x PC,0.8980589164871312
svc,HIV-1 PR,PC,1,Validation,HIV-1 PR x PC,0.8980854588007313
svc,HIV-1 PR,PC,1,Test,HIV-1 PR x PC,0.8862637546967257
svc,HIV-1 PR,ECFP4,2,Train,HIV-1 PR x ECFP4,0.9000968833716914
svc,HIV-1 PR,ECFP4,2,Validation,HIV-1 PR x ECFP4,0.900470354904155
svc,HIV-1 PR,ECFP4,2,Test,HIV-1 PR x ECFP4,0.8791683440687064
svc,HIV-1 PR,MIX,3,Train,HIV-1 PR x MIX,0.9735931368223727
svc,HIV-1 PR,MIX,3,Validation,HIV-1 PR x MIX,0.9410237221201972
svc,HIV-1 PR,MIX,3,Test,HIV-1 PR x MIX,0.9321239264626944
svc,HIV-1 RT,PC,1,Train,HIV-1 RT x PC,0.6162814128443809
svc,HIV-1 RT,PC,1,Validation,HIV-1 RT x PC,0.6157312748316461
svc,HIV-1 RT,PC,1,Test,HIV-1 RT x PC,0.6394658599467731
svc,HIV-1 RT,ECFP4,2,Train,HIV-1 RT x ECFP4,0.6140827660579283
svc,HIV-1 RT,ECFP4,2,Validation,HIV-1 RT x ECFP4,0.6152550128378924
svc,HIV-1 RT,ECFP4,2,Test,HIV-1 RT x ECFP4,0.6239500166333999
svc,HIV-1 RT,MIX,3,Train,HIV-1 RT x MIX,0.8993917583221128
svc,HIV-1 RT,MIX,3,Validation,HIV-1 RT x MIX,0.7599126148003843
svc,HIV-1 RT,MIX,3,Test,HIV-1 RT x MIX,0.7992920409181637
