Descriptor,Precision,Recall,Accuracy,F1,,,,,,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD
PC,0.9496,0.9822,0.9497,0.9656,,,,,,,0.0032,0.0021,0.0035,0.0023,0.005,0.0088
ECFP4,0.9438,0.9873,0.9486,0.9651,,,,,,,0.0017,0.0011,0.0013,0.0009,0.0023,0.0033
MIX,0.9443,0.9836,0.9464,0.9635,,,,,,,0.0029,0.0013,0.0019,0.0012,0.0038,0.0048
,,,,,,,,min,max,,,,,,,
min,0.9438,0.9822,0.9464,0.9635,,,,0.9438,0.9822,,,,,,,
max,0.9496,0.9873,0.9497,0.9656,,,,0.9496,0.9873,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,AUC,MCC,,,,,,,,,,
,,,,,0.9243,0.8736,,,,,,,,,,
,,,,,0.9184,0.8712,,,,,,,,,,
,,,,,0.9174,0.8654,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,0.9174,0.8654,,,,,,,,,,
,,,,,0.9243,0.8736,,,,,,,,,,
