Descriptor,Enzyme,model,scaler,split,Accuracy
PC,IN,cnn,std,1,0.9088586030664396
PC,IN,cnn,std,2,0.8581771720613288
PC,IN,cnn,std,3,0.895655877342419
PC,IN,cnn,std,4,0.8986371379897785
PC,IN,cnn,minmax,1,0.9156729131175468
PC,IN,cnn,minmax,2,0.9229131175468483
PC,IN,cnn,minmax,3,0.9254684838160137
PC,IN,cnn,minmax,4,0.9084327086882452
ECFP4,IN,cnn,std,1,0.9450596252129472
ECFP4,IN,cnn,std,2,0.9437819420783644
ECFP4,IN,cnn,std,3,0.9378194207836456
ECFP4,IN,cnn,std,4,0.9403747870528107
ECFP4,IN,cnn,minmax,1,0.9480408858603068
ECFP4,IN,cnn,minmax,2,0.951022146507666
ECFP4,IN,cnn,minmax,3,0.9450596252129472
ECFP4,IN,cnn,minmax,4,0.9390971039182284
MIX,IN,cnn,std,1,0.950596252129472
MIX,IN,cnn,std,2,0.9463373083475298
MIX,IN,cnn,std,3,0.9484667802385008
MIX,IN,cnn,std,4,0.9518739352640544
MIX,IN,cnn,minmax,1,0.9514480408858604
MIX,IN,cnn,minmax,2,0.9501703577512776
MIX,IN,cnn,minmax,3,0.9484667802385008
MIX,IN,cnn,minmax,4,0.9582623509369677
PC,PR,cnn,std,1,0.9763170613823104
PC,PR,cnn,std,2,0.9826002899951668
PC,PR,cnn,std,3,0.9777670372160464
PC,PR,cnn,std,4,0.9787336877718704
PC,PR,cnn,minmax,1,0.9782503624939584
PC,PR,cnn,minmax,2,0.9821169647172548
PC,PR,cnn,minmax,3,0.9782503624939584
PC,PR,cnn,minmax,4,0.9787336877718704
ECFP4,PR,cnn,std,1,0.9792170130497824
ECFP4,PR,cnn,std,2,0.9821169647172548
ECFP4,PR,cnn,std,3,0.9743837602706622
ECFP4,PR,cnn,std,4,0.9758337361043984
ECFP4,PR,cnn,minmax,1,0.9816336394393428
ECFP4,PR,cnn,minmax,2,0.9806669888835186
ECFP4,PR,cnn,minmax,3,0.9792170130497824
ECFP4,PR,cnn,minmax,4,0.9772837119381343
MIX,PR,cnn,std,1,0.9826002899951668
MIX,PR,cnn,std,2,0.9826002899951668
MIX,PR,cnn,std,3,0.9806669888835186
MIX,PR,cnn,std,4,0.9835669405509908
MIX,PR,cnn,minmax,1,0.9835669405509908
MIX,PR,cnn,minmax,2,0.9850169163847268
MIX,PR,cnn,minmax,3,0.9835669405509908
MIX,PR,cnn,minmax,4,0.9850169163847268
PC,RT,cnn,std,1,0.9176153385260636
PC,RT,cnn,std,2,0.9295985620131816
PC,RT,cnn,std,3,0.9215098861593768
PC,RT,cnn,std,4,0.9251048532055124
PC,RT,cnn,minmax,1,0.9289994008388256
PC,RT,cnn,minmax,2,0.9313960455362492
PC,RT,cnn,minmax,3,0.9304973037747154
PC,RT,cnn,minmax,4,0.9248052726183345
ECFP4,RT,cnn,std,1,0.9233073696824444
ECFP4,RT,cnn,std,2,0.9307968843618932
ECFP4,RT,cnn,std,3,0.9337926902336728
ECFP4,RT,cnn,std,4,0.9343918514080288
ECFP4,RT,cnn,minmax,1,0.9343918514080288
ECFP4,RT,cnn,minmax,2,0.9340922708208508
ECFP4,RT,cnn,minmax,3,0.9406830437387658
ECFP4,RT,cnn,minmax,4,0.9346914319952068
MIX,RT,cnn,std,1,0.92690233672858
MIX,RT,cnn,std,2,0.9242061114439784
MIX,RT,cnn,std,3,0.9307968843618932
MIX,RT,cnn,std,4,0.926003594967046
MIX,RT,cnn,minmax,1,0.926303175554224
MIX,RT,cnn,minmax,2,0.927501497902936
MIX,RT,cnn,minmax,3,0.9376872378669864
MIX,RT,cnn,minmax,4,0.927201917315758
