Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
CNN,IN,PC,0.9042,0.9086,0.8582,0.9255,0.0673,0.0196,0.0214
CNN,IN,ECFP4,0.9438,0.9444,0.9378,0.951,0.0132,0.0057,0.0045
CNN,IN,MIX,0.9507,0.9504,0.9463,0.9583,0.012,0.0031,0.0036
,,,,,,,,,
CNN,PR,PC,0.9791,0.9785,0.9763,0.9826,0.0063,0.0014,0.0022
CNN,PR,ECFP4,0.9788,0.9792,0.9744,0.9821,0.0077,0.004,0.0028
CNN,PR,MIX,0.9833,0.9836,0.9807,0.985,0.0043,0.0013,0.0014
,,,,,,,,,
CNN,RT,PC,0.9262,0.9271,0.9176,0.9314,0.0138,0.0058,0.0048
CNN,RT,ECFP4,0.9333,0.9342,0.9233,0.9407,0.0174,0.0014,0.0049
CNN,RT,MIX,0.9283,0.9271,0.9242,0.9377,0.0135,0.0021,0.0042
,,,,,,,,,
MLP,IN,PC,0.9524,0.9532,0.9425,0.9574,0.0149,0.0032,0.0045
MLP,IN,ECFP4,0.9561,0.9559,0.9502,0.9634,0.0132,0.006,0.0044
MLP,IN,MIX,0.9585,0.9574,0.9532,0.9664,0.0132,0.0052,0.0044
,,,,,,,,,
MLP,PR,PC,0.9796,0.9802,0.9763,0.9816,0.0053,0.0021,0.0019
MLP,PR,ECFP4,0.9814,0.9816,0.9802,0.9826,0.0024,0.0004,0.0008
MLP,PR,MIX,0.9852,0.9848,0.9826,0.9879,0.0053,0.004,0.0022
,,,,,,,,,
MLP,RT,PC,0.9459,0.9452,0.9395,0.953,0.0135,0.0037,0.0044
MLP,RT,ECFP4,0.949,0.9498,0.9437,0.9527,0.009,0.0037,0.003
MLP,RT,MIX,0.9465,0.9468,0.9413,0.9497,0.0084,0.0041,0.0029
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
RFC,IN,PC,0.958,0.9574,0.9536,0.9647,0.0111,0.004,0.0029
RFC,IN,ECFP4,0.9617,0.9619,0.9536,0.9698,0.0162,0.0066,0.0049
RFC,IN,MIX,0.961,0.9608,0.9549,0.9676,0.0127,0.006,0.0037
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
RFC,PR,PC,0.9816,0.9821,0.9773,0.9845,0.0072,0.0029,0.0021
RFC,PR,ECFP4,0.979,0.9792,0.9739,0.9816,0.0077,0.0019,0.0015
RFC,PR,MIX,0.9805,0.9797,0.9778,0.9841,0.0063,0.0034,0.002
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
RFC,RT,PC,0.9497,0.9488,0.9428,0.9566,0.0138,0.0053,0.0035
RFC,RT,ECFP4,0.9486,0.9486,0.9449,0.9533,0.0084,0.0015,0.0013
RFC,RT,MIX,0.9464,0.947,0.9422,0.9494,0.0072,0.0024,0.0019
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
SVC,IN,PC,0.7132,0.7624,0.5741,0.8786,0.3045,0.2258,0.1083
SVC,IN,ECFP4,0.8767,0.9189,0.5865,0.9676,0.3811,0.1135,0.0973
SVC,IN,MIX,0.8672,0.9082,0.5873,0.9651,0.3778,0.1196,0.0987
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
SVC,PR,PC,0.9506,0.9584,0.8739,0.9787,0.1048,0.0268,0.0236
SVC,PR,ECFP4,0.9594,0.9647,0.9275,0.9836,0.0561,0.0279,0.0173
SVC,PR,MIX,0.9608,0.9664,0.9275,0.9855,0.058,0.03,0.0184
,,,,,,,,,
Model,Enzyme,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
SVC,RT,PC,0.7957,0.8101,0.5617,0.9191,0.3574,0.1309,0.0982
SVC,RT,ECFP4,0.867,0.8815,0.7247,0.9599,0.2352,0.1296,0.0779
SVC,RT,MIX,0.8628,0.8709,0.7259,0.9566,0.2307,0.1329,0.0758
,,,,,,,,,
