Model,Enzyme,Mean,Median,Min,Max,Range,IQR,Std Dev
CNN,IN,0.9329,0.9444,0.8582,0.9583,0.1001,0.0278,0.0242
CNN,PR,0.9804,0.9807,0.9744,0.985,0.0106,0.0043,0.003
CNN,RT,0.9293,0.9293,0.9176,0.9407,0.0231,0.0081,0.0054
MLP,IN,0.9557,0.9551,0.9425,0.9664,0.0239,0.005,0.005
MLP,PR,0.9821,0.9816,0.9763,0.9879,0.0116,0.0027,0.0029
MLP,RT,0.9472,0.9468,0.9395,0.953,0.0135,0.0055,0.0036
RFC,IN,0.9602,0.9604,0.9536,0.9698,0.0162,0.0064,0.0042
RFC,PR,0.9803,0.9802,0.9739,0.9845,0.0106,0.0034,0.0022
RFC,RT,0.9482,0.9482,0.9422,0.9566,0.0144,0.0027,0.0027
SVC,IN,0.8191,0.8371,0.5741,0.9676,0.3935,0.1551,0.1261
SVC,PR,0.957,0.9628,0.8739,0.9855,0.1116,0.0291,0.0204
SVC,RT,0.8418,0.8578,0.5617,0.9599,0.3982,0.1489,0.0905
