Model,Descriptor,Mean,Median,Min,Max,Range,IQR,Std Dev
CNN,PC,0.9365,0.9272,0.8582,0.9826,0.1244,0.0608,0.0343
CNN,ECFP4,0.9519,0.9444,0.9233,0.9821,0.0588,0.0416,0.0203
CNN,MIX,0.9541,0.9504,0.9242,0.985,0.0608,0.0526,0.0233
MLP,PC,0.9593,0.9532,0.9395,0.9816,0.0421,0.0315,0.0153
MLP,ECFP4,0.9622,0.9559,0.9437,0.9826,0.0389,0.0301,0.0145
MLP,MIX,0.9634,0.9574,0.9413,0.9879,0.0466,0.0341,0.0168
RFC,PC,0.9631,0.9574,0.9428,0.9845,0.0417,0.0277,0.0138
RFC,ECFP4,0.9631,0.9619,0.9449,0.9816,0.0367,0.0289,0.0128
RFC,MIX,0.9626,0.9608,0.9422,0.9841,0.0419,0.0309,0.0142
SVC,PC,0.8199,0.8377,0.5617,0.9787,0.417,0.1931,0.1303
SVC,ECFP4,0.901,0.9352,0.5865,0.9836,0.3971,0.0986,0.0835
SVC,MIX,0.8969,0.9328,0.5873,0.9855,0.3982,0.1117,0.0855
