Model,Enzyme,Descriptor,Precision min,Precision max,Recall min,Recall max,Accuracy min,Accuracy max,F1 min,F1 max,AUC min,AUC max,MCC min,MCC max,
CNN,IN,PC,0.7808,0.9137,0.9163,0.9633,0.8582,0.9255,0.8591,0.9213,0.8665,0.9287,0.734,0.8537,,
CNN,IN,ECFP4,0.9265,0.9483,0.9153,0.9483,0.9378,0.951,0.9315,0.9458,0.937,0.9505,0.8747,0.9011,,
CNN,IN,MIX,0.9477,0.96,0.9304,0.9473,0.9463,0.9583,0.9401,0.9536,0.945,0.9573,0.8917,0.9157,,
CNN,PR,PC,0.9815,0.9886,0.9911,0.9953,0.9763,0.9826,0.9873,0.9906,0.8766,0.923,0.8137,0.8677,,
CNN,PR,ECFP4,0.9814,0.986,0.9911,0.9964,0.9744,0.9821,0.9863,0.9904,0.8756,0.9071,0.7998,0.861,,
CNN,PR,MIX,0.9861,0.9886,0.9917,0.9964,0.9807,0.985,0.9896,0.992,0.9082,0.9243,0.853,0.885,,
CNN,RT,PC,0.9279,0.9547,0.9484,0.9704,0.9176,0.9314,0.9437,0.953,0.8845,0.9165,0.7919,0.8288,,
CNN,RT,ECFP4,0.9361,0.9501,0.9563,0.9708,0.9233,0.9407,0.9472,0.9592,0.8976,0.9191,0.8077,0.8514,,
CNN,RT,MIX,0.9357,0.9586,0.9513,0.9646,0.9242,0.9377,0.9475,0.9566,0.8968,0.9245,0.8112,0.8462,,

MLP,IN,PC,0.9211,0.9579,0.9417,0.9577,0.9425,0.9574,0.9376,0.9531,0.9436,0.9574,0.8848,0.9141,,
MLP,IN,ECFP4,0.938,0.9592,0.9407,0.9624,0.9502,0.9634,0.9454,0.9597,0.9504,0.9633,0.8997,0.9261,,
MLP,IN,MIX,0.9562,0.974,0.9379,0.9577,0.9532,0.9664,0.9477,0.9624,0.9518,0.965,0.9055,0.9322,,
MLP,PR,PC,0.984,0.9886,0.9896,0.9943,0.9763,0.9816,0.9873,0.9901,0.892,0.9225,0.8175,0.8611,,
MLP,PR,ECFP4,0.983,0.9891,0.9917,0.9964,0.9802,0.9826,0.9894,0.9906,0.8879,0.9261,0.8444,0.8684,,
MLP,PR,MIX,0.9841,0.9927,0.9937,0.9974,0.9826,0.9879,0.9907,0.9935,0.8954,0.9502,0.8639,0.9089,,
MLP,RT,PC,0.951,0.9606,0.965,0.9746,0.9395,0.953,0.9582,0.9675,0.9195,0.9361,0.8487,0.8825,,
MLP,RT,ECFP4,0.9504,0.9658,0.9638,0.9821,0.9437,0.9527,0.9613,0.9676,0.9221,0.9381,0.8588,0.8813,,
MLP,RT,MIX,0.9428,0.9592,0.9613,0.9821,0.9413,0.9497,0.9593,0.9653,0.9147,0.9324,0.8541,0.8743,,

RFC,IN,PC,0.9587,0.9729,0.9313,0.9501,0.9536,0.9647,0.9481,0.9605,0.9521,0.9634,0.9063,0.9287,,
RFC,IN,ECFP4,0.9681,0.9806,0.9219,0.9558,0.9536,0.9698,0.9474,0.9662,0.9509,0.9685,0.9069,0.9391,,
RFC,IN,MIX,0.9645,0.9852,0.9257,0.9511,0.9549,0.9676,0.949,0.9635,0.9525,0.9656,0.9093,0.9351,,
RFC,PR,PC,0.981,0.9891,0.9943,0.9969,0.9773,0.9845,0.9878,0.9917,0.8741,0.9271,0.8204,0.882,,
RFC,PR,ECFP4,0.976,0.984,0.9948,0.9984,0.9739,0.9816,0.9861,0.9902,0.8415,0.8948,0.7894,0.8563,,
RFC,PR,MIX,0.9785,0.9841,0.9958,1.0,0.9778,0.9841,0.9881,0.9915,0.859,0.8959,0.8227,0.8757,,
RFC,RT,PC,0.9439,0.9558,0.9758,0.9871,0.9428,0.9566,0.9609,0.9703,0.9157,0.9329,0.8561,0.8912,,
RFC,RT,ECFP4,0.938,0.951,0.9842,0.9896,0.9449,0.9533,0.9627,0.9681,0.9106,0.9278,0.8618,0.8829,,
RFC,RT,MIX,0.9381,0.9485,0.9804,0.9863,0.9422,0.9494,0.9608,0.9655,0.9093,0.9227,0.8546,0.873,,

SVC,IN,PC,0.5291,0.9785,0.0706,0.8862,0.5741,0.8786,0.1312,0.8645,0.5333,0.8766,0.1418,0.7547,,
SVC,IN,ECFP4,0.7536,1.0,0.0865,0.9605,0.5865,0.9676,0.1593,0.9638,0.5433,0.9663,0.222,0.9348,,
SVC,IN,MIX,0.7567,1.0,0.0894,0.9511,0.5873,0.9651,0.1639,0.9608,0.5443,0.9635,0.2227,0.9297,,
SVC,PR,PC,0.9275,0.9845,0.9343,1.0,0.8739,0.9787,0.9322,0.9886,0.5,0.8964,0.0,0.8352,,
SVC,PR,ECFP4,0.9275,0.9886,0.9786,1.0,0.9275,0.9836,0.9624,0.9912,0.5,0.9233,0.0,0.8735,,
SVC,PR,MIX,0.9275,0.9912,0.9833,1.0,0.9275,0.9855,0.9624,0.9922,0.5,0.9399,0.0,0.8909,,
SVC,RT,PC,0.698,0.9291,0.686,0.9992,0.5617,0.9191,0.6925,0.9447,0.462,0.8865,-0.076,0.7958,,
SVC,RT,ECFP4,0.7232,0.964,0.8934,1.0,0.7247,0.9599,0.8394,0.9723,0.5096,0.9435,0.1179,0.8997,,
SVC,RT,MIX,0.7241,0.9631,0.8884,1.0,0.7259,0.9566,0.84,0.97,0.5117,0.9405,0.1304,0.8915,,

