Model,Enzyme,Descriptor,Precision avg,Recall avg,Accuracy avg,F1 avg,AUC avg,MCC avg,
CNN,IN,PC,0.8602,0.9441,0.9042,0.8997,0.9077,0.8127,
CNN,IN,ECFP4,0.9392,0.9365,0.9438,0.9378,0.9432,0.8866,
CNN,IN,MIX,0.9525,0.9379,0.9507,0.9451,0.9496,0.9005,
CNN,PR,PC,0.9844,0.9932,0.9791,0.9888,0.8958,0.8377,
CNN,PR,ECFP4,0.9831,0.9943,0.9788,0.9886,0.8876,0.834,
CNN,PR,MIX,0.9872,0.9949,0.9833,0.991,0.915,0.8715,
CNN,RT,PC,0.9402,0.9585,0.9262,0.9492,0.901,0.8152,
CNN,RT,ECFP4,0.9433,0.9652,0.9333,0.9541,0.9083,0.8325,
CNN,RT,MIX,0.9432,0.9581,0.9283,0.9506,0.9051,0.8207,

MLP,IN,PC,0.9442,0.9511,0.9524,0.9476,0.9522,0.904,
MLP,IN,ECFP4,0.9502,0.9531,0.9561,0.9516,0.9559,0.9115,
MLP,IN,MIX,0.961,0.9467,0.9585,0.9538,0.9575,0.9162,
MLP,PR,PC,0.9859,0.9922,0.9796,0.989,0.9053,0.8432,
MLP,PR,ECFP4,0.9866,0.9935,0.9814,0.99,0.9101,0.8569,
MLP,PR,MIX,0.9888,0.9953,0.9852,0.992,0.9256,0.8865,
MLP,RT,PC,0.9548,0.9707,0.9459,0.9627,0.9265,0.8647,
MLP,RT,ECFP4,0.9552,0.9749,0.949,0.9649,0.9288,0.8725,
MLP,RT,MIX,0.9535,0.9731,0.9465,0.9632,0.9257,0.8662,

RFC,IN,PC,0.9662,0.9401,0.958,0.953,0.9565,0.9154,
RFC,IN,ECFP4,0.9741,0.9405,0.9617,0.957,0.9599,0.9231,
RFC,IN,MIX,0.974,0.9388,0.961,0.9561,0.9591,0.9215,
RFC,PR,PC,0.9847,0.9956,0.9816,0.9901,0.899,0.8564,
RFC,PR,ECFP4,0.9808,0.9969,0.979,0.9888,0.8734,0.8334,
RFC,PR,MIX,0.9812,0.998,0.9805,0.9896,0.8768,0.8457,
RFC,RT,PC,0.9496,0.9822,0.9497,0.9656,0.9243,0.8736,
RFC,RT,ECFP4,0.9438,0.9873,0.9486,0.9651,0.9184,0.8712,
RFC,RT,MIX,0.9443,0.9836,0.9464,0.9635,0.9174,0.8654,

SVC,IN,PC,0.834,0.4978,0.7132,0.5605,0.6946,0.4361,
SVC,IN,ECFP4,0.9488,0.775,0.8767,0.8279,0.868,0.7614,
SVC,IN,MIX,0.9474,0.7546,0.8672,0.8135,0.8575,0.7438,
SVC,PR,PC,0.957,0.9915,0.9506,0.9739,0.7098,0.5476,
SVC,PR,ECFP4,0.9606,0.9976,0.9594,0.9786,0.7341,0.6031,
SVC,PR,MIX,0.9615,0.9982,0.9608,0.9794,0.7404,0.6148,
SVC,RT,PC,0.811,0.9382,0.7957,0.8681,0.6844,0.458,
SVC,RT,ECFP4,0.8623,0.9831,0.867,0.9163,0.7763,0.6398,
SVC,RT,MIX,0.859,0.981,0.8628,0.9136,0.7704,0.6294,

