Descriptor,Enzyme,model,scaler,split,Accuracy,criterion,n_estimators
PC,IN,rfc,std,1,0.959114139693356,gini,100
PC,IN,rfc,std,1,0.9582623509369677,gini,500
PC,IN,rfc,std,1,0.9578364565587736,gini,1000
PC,IN,rfc,std,1,0.9578364565587736,gini,1500
PC,IN,rfc,std,1,0.9578364565587736,gini,2000
PC,IN,rfc,std,1,0.9565587734241908,entropy,100
PC,IN,rfc,std,1,0.9582623509369677,entropy,500
PC,IN,rfc,std,1,0.9578364565587736,entropy,1000
PC,IN,rfc,std,1,0.9582623509369677,entropy,1500
PC,IN,rfc,std,1,0.9578364565587736,entropy,2000
PC,IN,rfc,std,1,0.956984667802385,log_loss,100
PC,IN,rfc,std,1,0.9574105621805792,log_loss,500
PC,IN,rfc,std,1,0.9586882453151618,log_loss,1000
PC,IN,rfc,std,1,0.9582623509369677,log_loss,1500
PC,IN,rfc,std,1,0.9595400340715504,log_loss,2000
PC,IN,rfc,std,2,0.9574105621805792,gini,100
PC,IN,rfc,std,2,0.959114139693356,gini,500
PC,IN,rfc,std,2,0.9565587734241908,gini,1000
PC,IN,rfc,std,2,0.9552810902896082,gini,1500
PC,IN,rfc,std,2,0.9565587734241908,gini,2000
PC,IN,rfc,std,2,0.9561328790459966,entropy,100
PC,IN,rfc,std,2,0.9574105621805792,entropy,500
PC,IN,rfc,std,2,0.956984667802385,entropy,1000
PC,IN,rfc,std,2,0.9552810902896082,entropy,1500
PC,IN,rfc,std,2,0.9565587734241908,entropy,2000
PC,IN,rfc,std,2,0.9540034071550256,log_loss,100
PC,IN,rfc,std,2,0.9565587734241908,log_loss,500
PC,IN,rfc,std,2,0.9565587734241908,log_loss,1000
PC,IN,rfc,std,2,0.9557069846678024,log_loss,1500
PC,IN,rfc,std,2,0.9552810902896082,log_loss,2000
PC,IN,rfc,std,3,0.9633730834752982,gini,100
PC,IN,rfc,std,3,0.9616695059625212,gini,500
PC,IN,rfc,std,3,0.9612436115843273,gini,1000
PC,IN,rfc,std,3,0.9616695059625212,gini,1500
PC,IN,rfc,std,3,0.9646507666098808,gini,2000
PC,IN,rfc,std,3,0.9612436115843273,entropy,100
PC,IN,rfc,std,3,0.9616695059625212,entropy,500
PC,IN,rfc,std,3,0.9633730834752982,entropy,1000
PC,IN,rfc,std,3,0.9620954003407156,entropy,1500
PC,IN,rfc,std,3,0.9637989778534924,entropy,2000
PC,IN,rfc,std,3,0.9612436115843273,log_loss,100
PC,IN,rfc,std,3,0.9608177172061328,log_loss,500
PC,IN,rfc,std,3,0.9625212947189096,log_loss,1000
PC,IN,rfc,std,3,0.9620954003407156,log_loss,1500
PC,IN,rfc,std,3,0.962947189097104,log_loss,2000
PC,IN,rfc,std,4,0.9561328790459966,gini,100
PC,IN,rfc,std,4,0.956984667802385,gini,500
PC,IN,rfc,std,4,0.9578364565587736,gini,1000
PC,IN,rfc,std,4,0.9574105621805792,gini,1500
PC,IN,rfc,std,4,0.956984667802385,gini,2000
PC,IN,rfc,std,4,0.9540034071550256,entropy,100
PC,IN,rfc,std,4,0.956984667802385,entropy,500
PC,IN,rfc,std,4,0.9544293015332198,entropy,1000
PC,IN,rfc,std,4,0.9540034071550256,entropy,1500
PC,IN,rfc,std,4,0.9561328790459966,entropy,2000
PC,IN,rfc,std,4,0.9544293015332198,log_loss,100
PC,IN,rfc,std,4,0.9544293015332198,log_loss,500
PC,IN,rfc,std,4,0.9544293015332198,log_loss,1000
PC,IN,rfc,std,4,0.9540034071550256,log_loss,1500
PC,IN,rfc,std,4,0.9544293015332198,log_loss,2000
PC,IN,rfc,minmax,1,0.9565587734241908,gini,100
PC,IN,rfc,minmax,1,0.9586882453151618,gini,500
PC,IN,rfc,minmax,1,0.9582623509369677,gini,1000
PC,IN,rfc,minmax,1,0.9586882453151618,gini,1500
PC,IN,rfc,minmax,1,0.9578364565587736,gini,2000
PC,IN,rfc,minmax,1,0.956984667802385,entropy,100
PC,IN,rfc,minmax,1,0.9578364565587736,entropy,500
PC,IN,rfc,minmax,1,0.9578364565587736,entropy,1000
PC,IN,rfc,minmax,1,0.9574105621805792,entropy,1500
PC,IN,rfc,minmax,1,0.9578364565587736,entropy,2000
PC,IN,rfc,minmax,1,0.9578364565587736,log_loss,100
PC,IN,rfc,minmax,1,0.956984667802385,log_loss,500
PC,IN,rfc,minmax,1,0.9574105621805792,log_loss,1000
PC,IN,rfc,minmax,1,0.9578364565587736,log_loss,1500
PC,IN,rfc,minmax,1,0.9595400340715504,log_loss,2000
PC,IN,rfc,minmax,2,0.9561328790459966,gini,100
PC,IN,rfc,minmax,2,0.9552810902896082,gini,500
PC,IN,rfc,minmax,2,0.9557069846678024,gini,1000
PC,IN,rfc,minmax,2,0.9552810902896082,gini,1500
PC,IN,rfc,minmax,2,0.956984667802385,gini,2000
PC,IN,rfc,minmax,2,0.9599659284497444,entropy,100
PC,IN,rfc,minmax,2,0.956984667802385,entropy,500
PC,IN,rfc,minmax,2,0.954855195911414,entropy,1000
PC,IN,rfc,minmax,2,0.9561328790459966,entropy,1500
PC,IN,rfc,minmax,2,0.9561328790459966,entropy,2000
PC,IN,rfc,minmax,2,0.956984667802385,log_loss,100
PC,IN,rfc,minmax,2,0.9557069846678024,log_loss,500
PC,IN,rfc,minmax,2,0.9565587734241908,log_loss,1000
PC,IN,rfc,minmax,2,0.9552810902896082,log_loss,1500
PC,IN,rfc,minmax,2,0.9557069846678024,log_loss,2000
PC,IN,rfc,minmax,3,0.9646507666098808,gini,100
PC,IN,rfc,minmax,3,0.9625212947189096,gini,500
PC,IN,rfc,minmax,3,0.9625212947189096,gini,1000
PC,IN,rfc,minmax,3,0.9612436115843273,gini,1500
PC,IN,rfc,minmax,3,0.962947189097104,gini,2000
PC,IN,rfc,minmax,3,0.9625212947189096,entropy,100
PC,IN,rfc,minmax,3,0.962947189097104,entropy,500
PC,IN,rfc,minmax,3,0.9620954003407156,entropy,1000
PC,IN,rfc,minmax,3,0.9612436115843273,entropy,1500
PC,IN,rfc,minmax,3,0.9620954003407156,entropy,2000
PC,IN,rfc,minmax,3,0.9637989778534924,log_loss,100
PC,IN,rfc,minmax,3,0.9637989778534924,log_loss,500
PC,IN,rfc,minmax,3,0.9612436115843273,log_loss,1000
PC,IN,rfc,minmax,3,0.9620954003407156,log_loss,1500
PC,IN,rfc,minmax,3,0.9620954003407156,log_loss,2000
PC,IN,rfc,minmax,4,0.954855195911414,gini,100
PC,IN,rfc,minmax,4,0.9552810902896082,gini,500
PC,IN,rfc,minmax,4,0.9561328790459966,gini,1000
PC,IN,rfc,minmax,4,0.9561328790459966,gini,1500
PC,IN,rfc,minmax,4,0.956984667802385,gini,2000
PC,IN,rfc,minmax,4,0.9544293015332198,entropy,100
PC,IN,rfc,minmax,4,0.9535775127768312,entropy,500
PC,IN,rfc,minmax,4,0.9561328790459966,entropy,1000
PC,IN,rfc,minmax,4,0.9565587734241908,entropy,1500
PC,IN,rfc,minmax,4,0.9552810902896082,entropy,2000
PC,IN,rfc,minmax,4,0.9535775127768312,log_loss,100
PC,IN,rfc,minmax,4,0.9561328790459966,log_loss,500
PC,IN,rfc,minmax,4,0.954855195911414,log_loss,1000
PC,IN,rfc,minmax,4,0.9544293015332198,log_loss,1500
PC,IN,rfc,minmax,4,0.9552810902896082,log_loss,2000
ECFP4,IN,rfc,std,1,0.9625212947189096,gini,100
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,500
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,1000
ECFP4,IN,rfc,std,1,0.9595400340715504,gini,1500
ECFP4,IN,rfc,std,1,0.9599659284497444,gini,2000
ECFP4,IN,rfc,std,1,0.9616695059625212,entropy,100
