Model,Enzyme,Descriptor,Precision (sd),Recall (sd),Accuracy (sd),F1 (sd),AUC (sd),MCC (sd),
CNN,IN,PC,0.8602 (0.038),0.9441 (0.0163),0.9042 (0.0214),0.8997 (0.0194),0.9077 (0.0194),0.8127 (0.0377),
CNN,IN,ECFP4,0.9392 (0.0081),0.9365 (0.0106),0.9438 (0.0045),0.9378 (0.0051),0.9432 (0.0048),0.8866 (0.0091),
CNN,IN,MIX,0.9525 (0.004),0.9379 (0.0063),0.9507 (0.0036),0.9451 (0.004),0.9496 (0.0037),0.9005 (0.0072),
CNN,PR,PC,0.9844 (0.0023),0.9932 (0.0014),0.9791 (0.0022),0.9888 (0.0012),0.8958 (0.015),0.8377 (0.0179),
CNN,PR,ECFP4,0.9831 (0.0019),0.9943 (0.0018),0.9788 (0.0028),0.9886 (0.0015),0.8876 (0.0127),0.834 (0.0221),
CNN,PR,MIX,0.9872 (0.0008),0.9949 (0.0015),0.9833 (0.0014),0.991 (0.0008),0.915 (0.0054),0.8715 (0.0105),
CNN,RT,PC,0.9402 (0.0088),0.9585 (0.0078),0.9262 (0.0048),0.9492 (0.0032),0.901 (0.0102),0.8152 (0.0129),
CNN,RT,ECFP4,0.9433 (0.0052),0.9652 (0.0051),0.9333 (0.0049),0.9541 (0.0033),0.9083 (0.0072),0.8325 (0.0123),
CNN,RT,MIX,0.9432 (0.0071),0.9581 (0.0053),0.9283 (0.0042),0.9506 (0.0028),0.9051 (0.0085),0.8207 (0.0112),

Model,Enzyme,Descriptor,Precision (sd),Recall (sd),Accuracy (sd),F1 (sd),AUC (sd),MCC (sd),
MLP,IN,PC,0.9442 (0.0108),0.9511 (0.0054),0.9524 (0.0045),0.9476 (0.0047),0.9522 (0.0041),0.904 (0.0089),
MLP,IN,ECFP4,0.9502 (0.0072),0.9531 (0.0066),0.9561 (0.0044),0.9516 (0.0049),0.9559 (0.0044),0.9115 (0.0089),
MLP,IN,MIX,0.961 (0.0056),0.9467 (0.0069),0.9585 (0.0044),0.9538 (0.0049),0.9575 (0.0045),0.9162 (0.0089),
MLP,PR,PC,0.9859 (0.0014),0.9922 (0.0016),0.9796 (0.0019),0.989 (0.001),0.9053 (0.009),0.8432 (0.0145),
MLP,PR,ECFP4,0.9866 (0.0021),0.9935 (0.0017),0.9814 (0.0008),0.99 (0.0004),0.9101 (0.0131),0.8569 (0.0077),
MLP,PR,MIX,0.9888 (0.0034),0.9953 (0.0014),0.9852 (0.0022),0.992 (0.0012),0.9256 (0.0214),0.8865 (0.0187),
MLP,RT,PC,0.9548 (0.0034),0.9707 (0.0031),0.9459 (0.0044),0.9627 (0.003),0.9265 (0.0057),0.8647 (0.011),
MLP,RT,ECFP4,0.9552 (0.0049),0.9749 (0.0059),0.949 (0.003),0.9649 (0.0021),0.9288 (0.0052),0.8725 (0.0075),
MLP,RT,MIX,0.9535 (0.0058),0.9731 (0.0063),0.9465 (0.0029),0.9632 (0.002),0.9257 (0.006),0.8662 (0.0071),

Model,Enzyme,Descriptor,Precision (sd),Recall (sd),Accuracy (sd),F1 (sd),AUC (sd),MCC (sd),
RFC,IN,PC,0.9662 (0.0031),0.9401 (0.0047),0.958 (0.0029),0.953 (0.0033),0.9565 (0.003),0.9154 (0.0058),
RFC,IN,ECFP4,0.9741 (0.0028),0.9405 (0.0101),0.9617 (0.0049),0.957 (0.0057),0.9599 (0.0053),0.9231 (0.0096),
RFC,IN,MIX,0.974 (0.0053),0.9388 (0.007),0.961 (0.0037),0.9561 (0.0043),0.9591 (0.0039),0.9215 (0.0075),
RFC,PR,PC,0.9847 (0.0022),0.9956 (0.0008),0.9816 (0.0021),0.9901 (0.0011),0.899 (0.0145),0.8564 (0.0175),
RFC,PR,ECFP4,0.9808 (0.0019),0.9969 (0.0008),0.979 (0.0015),0.9888 (0.0008),0.8734 (0.0123),0.8334 (0.0133),
RFC,PR,MIX,0.9812 (0.0014),0.998 (0.0011),0.9805 (0.002),0.9896 (0.0011),0.8768 (0.0092),0.8457 (0.0166),
RFC,RT,PC,0.9496 (0.0032),0.9822 (0.0021),0.9497 (0.0035),0.9656 (0.0023),0.9243 (0.005),0.8736 (0.0088),
RFC,RT,ECFP4,0.9438 (0.0017),0.9873 (0.0011),0.9486 (0.0013),0.9651 (0.0009),0.9184 (0.0023),0.8712 (0.0033),
RFC,RT,MIX,0.9443 (0.0029),0.9836 (0.0013),0.9464 (0.0019),0.9635 (0.0012),0.9174 (0.0038),0.8654 (0.0048),

Model,Enzyme,Descriptor,Precision (sd),Recall (sd),Accuracy (sd),F1 (sd),AUC (sd),MCC (sd),
SVC,IN,PC,0.834 (0.1194),0.4978 (0.2694),0.7132 (0.1083),0.5605 (0.263),0.6946 (0.1197),0.4361 (0.2078),
SVC,IN,ECFP4,0.9488 (0.0604),0.775 (0.2148),0.8767 (0.0973),0.8279 (0.1939),0.868 (0.1068),0.7614 (0.1813),
SVC,IN,MIX,0.9474 (0.063),0.7546 (0.219),0.8672 (0.0987),0.8135 (0.197),0.8575 (0.1085),0.7438 (0.184),
SVC,PR,PC,0.957 (0.0162),0.9915 (0.0137),0.9506 (0.0236),0.9739 (0.0125),0.7098 (0.1137),0.5476 (0.2433),
SVC,PR,ECFP4,0.9606 (0.0185),0.9976 (0.003),0.9594 (0.0173),0.9786 (0.0089),0.7341 (0.129),0.6031 (0.2522),
SVC,PR,MIX,0.9615 (0.0193),0.9982 (0.0027),0.9608 (0.0184),0.9794 (0.0094),0.7404 (0.1343),0.6148 (0.2632),
SVC,RT,PC,0.811 (0.0689),0.9382 (0.0877),0.7957 (0.0982),0.8681 (0.067),0.6844 (0.1289),0.458 (0.2574),
SVC,RT,ECFP4,0.8623 (0.0791),0.9831 (0.0235),0.867 (0.0779),0.9163 (0.0446),0.7763 (0.1424),0.6398 (0.2352),
SVC,RT,MIX,0.859 (0.0776),0.981 (0.0253),0.8628 (0.0758),0.9136 (0.0434),0.7704 (0.1394),0.6294 (0.2283),

