Descriptor,Precision,Recall,Accuracy,F1,AUC,MCC,,,,,Precision SD,Recall SD,Accuracy SD,F1 SD,AUC SD,MCC SD
PC,0.9402,0.9585,0.9262,0.9492,,,,,,,0.0088,0.0078,0.0048,0.0032,0.0102,0.0129
ECFP4,0.9433,0.9652,0.9333,0.9541,,,,,,,0.0052,0.0051,0.0049,0.0033,0.0072,0.0123
MIX,0.9432,0.9581,0.9283,0.9506,,,,,,,0.0071,0.0053,0.0042,0.0028,0.0085,0.0112
,,,,,,,,min,max,,,,,,,
min,0.9402,0.9581,0.9262,0.9492,,,,0.9262,0.9581,,,,,,,
max,0.9433,0.9652,0.9333,0.9541,,,,0.9333,0.9652,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,0.901,0.8152,,,,,,,,,,
,,,,,0.9083,0.8325,,,,,,,,,,
,,,,,0.9051,0.8207,,,,,,,,,,
