Model,va_precision,va_recall,va_accuracy,va_f1,va_auc,va_mcc
RFC,0.9664,0.9737,0.9629,0.9698,0.9203,0.8781
MLP,0.9472,0.9491,0.9364,0.9478,0.8886,0.7967
CNN,0.9319,0.9565,0.9316,0.9438,0.8698,0.7846
KNN,0.9421,0.9443,0.9309,0.9423,0.8568,0.7639
DTC,0.9132,0.9268,0.9033,0.918,0.8336,0.6932
GPC,0.8973,0.9236,0.8873,0.9067,0.7421,0.5465
SVC,0.9046,0.8797,0.8726,0.8702,0.7595,0.6038
ABC,0.8199,0.8842,0.8141,0.8444,0.6337,0.3019
GNB,0.8839,0.6978,0.7779,0.7607,0.7642,0.4606
QDA,0.7735,0.6867,0.6999,0.6691,0.6264,0.2423
