Enzyme,Model,Precision,Recall,Accuracy,F1,AUC,MCC
IN,ABC,0.7717,0.6778,0.7631,0.7199,0.7557,0.5213
IN,CNN,0.9004,0.9216,0.9174,0.9104,0.9178,0.8349
IN,DTC,0.8805,0.8435,0.8786,0.8598,0.8756,0.7555
IN,GNB,0.7609,0.5394,0.7491,0.5869,0.731,0.4774
IN,GPC,0.9129,0.8153,0.8811,0.8605,0.8754,0.7623
IN,KNN,0.9325,0.887,0.9187,0.9078,0.916,0.8379
IN,MLP,0.9258,0.921,0.9304,0.923,0.9296,0.8601
IN,QDA,0.7202,0.4981,0.6509,0.4839,0.6377,0.3086
IN,RFC,0.9712,0.9396,0.96,0.9551,0.9583,0.9195
IN,SVC,0.9101,0.6758,0.8191,0.734,0.8067,0.6471
PR,ABC,0.9395,0.9942,0.935,0.966,0.5858,0.2355
PR,CNN,0.9728,0.9957,0.9702,0.9841,0.8193,0.753
PR,DTC,0.9738,0.9893,0.9651,0.9814,0.8225,0.6997
PR,GNB,0.9767,0.8619,0.8527,0.9144,0.7986,0.4213
PR,GPC,0.9368,0.9894,0.9321,0.9618,0.5938,0.2639
PR,KNN,0.9666,0.9955,0.9636,0.9807,0.7757,0.6791
PR,MLP,0.9775,0.9903,0.9697,0.9838,0.8481,0.7525
PR,QDA,0.8611,0.7627,0.7394,0.7709,0.6022,0.151
PR,RFC,0.9822,0.9968,0.9803,0.9894,0.8825,0.8445
PR,SVC,0.9597,0.9958,0.957,0.9773,0.7281,0.5885
RT,ABC,0.7484,0.9805,0.7441,0.8472,0.5594,0.149
RT,CNN,0.9223,0.9521,0.9073,0.9368,0.8724,0.7659
RT,DTC,0.8853,0.9475,0.8662,0.9128,0.8027,0.6244
RT,GNB,0.9142,0.692,0.7319,0.7807,0.763,0.4829
RT,GPC,0.8423,0.9659,0.8487,0.8978,0.7571,0.6133
RT,KNN,0.9272,0.9506,0.9102,0.9385,0.8788,0.7746
RT,MLP,0.9383,0.936,0.9092,0.9367,0.8883,0.7773
RT,QDA,0.739,0.7995,0.7095,0.7525,0.6392,0.2672
RT,RFC,0.9459,0.9845,0.9483,0.9648,0.9201,0.8703
RT,SVC,0.8441,0.9674,0.8418,0.8993,0.7437,0.5757
