model,Descriptor,Enzyme,scaler,split,Accuracy,algorithm,n_neighbors,weights
knn,PC,HIV-1 IN,std,1,0.870954003407155,auto,5,uniform
knn,PC,HIV-1 IN,std,1,0.9416524701873936,auto,5,distance
knn,PC,HIV-1 IN,std,1,0.8726575809199318,auto,6,uniform
knn,PC,HIV-1 IN,std,1,0.9450596252129472,auto,6,distance
knn,PC,HIV-1 IN,std,1,0.8632879045996593,auto,7,uniform
knn,PC,HIV-1 IN,std,1,0.9408006814310051,auto,7,distance
knn,PC,HIV-1 IN,std,1,0.8598807495741057,auto,10,uniform
knn,PC,HIV-1 IN,std,1,0.9437819420783644,auto,10,distance
knn,PC,HIV-1 IN,std,1,0.870954003407155,ball_tree,5,uniform
knn,PC,HIV-1 IN,std,1,0.9416524701873936,ball_tree,5,distance
knn,PC,HIV-1 IN,std,1,0.8726575809199318,ball_tree,6,uniform
knn,PC,HIV-1 IN,std,1,0.9450596252129472,ball_tree,6,distance
knn,PC,HIV-1 IN,std,1,0.8632879045996593,ball_tree,7,uniform
knn,PC,HIV-1 IN,std,1,0.9408006814310051,ball_tree,7,distance
knn,PC,HIV-1 IN,std,1,0.8598807495741057,ball_tree,10,uniform
knn,PC,HIV-1 IN,std,1,0.9437819420783644,ball_tree,10,distance
knn,PC,HIV-1 IN,std,1,0.870954003407155,kd_tree,5,uniform
knn,PC,HIV-1 IN,std,1,0.9416524701873936,kd_tree,5,distance
knn,PC,HIV-1 IN,std,1,0.8726575809199318,kd_tree,6,uniform
knn,PC,HIV-1 IN,std,1,0.9450596252129472,kd_tree,6,distance
knn,PC,HIV-1 IN,std,1,0.8632879045996593,kd_tree,7,uniform
knn,PC,HIV-1 IN,std,1,0.9408006814310051,kd_tree,7,distance
knn,PC,HIV-1 IN,std,1,0.8598807495741057,kd_tree,10,uniform
knn,PC,HIV-1 IN,std,1,0.9437819420783644,kd_tree,10,distance
knn,PC,HIV-1 IN,std,1,0.870954003407155,brute,5,uniform
knn,PC,HIV-1 IN,std,1,0.9416524701873936,brute,5,distance
knn,PC,HIV-1 IN,std,1,0.8726575809199318,brute,6,uniform
knn,PC,HIV-1 IN,std,1,0.9450596252129472,brute,6,distance
knn,PC,HIV-1 IN,std,1,0.8632879045996593,brute,7,uniform
knn,PC,HIV-1 IN,std,1,0.9408006814310051,brute,7,distance
knn,PC,HIV-1 IN,std,1,0.8598807495741057,brute,10,uniform
knn,PC,HIV-1 IN,std,1,0.9437819420783644,brute,10,distance
knn,PC,HIV-1 IN,std,2,0.8764906303236797,auto,5,uniform
knn,PC,HIV-1 IN,std,2,0.942504258943782,auto,5,distance
knn,PC,HIV-1 IN,std,2,0.8713798977853492,auto,6,uniform
knn,PC,HIV-1 IN,std,2,0.9433560477001705,auto,6,distance
knn,PC,HIV-1 IN,std,2,0.8611584327086882,auto,7,uniform
knn,PC,HIV-1 IN,std,2,0.9412265758091992,auto,7,distance
knn,PC,HIV-1 IN,std,2,0.8526405451448041,auto,10,uniform
knn,PC,HIV-1 IN,std,2,0.9403747870528107,auto,10,distance
knn,PC,HIV-1 IN,std,2,0.8764906303236797,ball_tree,5,uniform
knn,PC,HIV-1 IN,std,2,0.942504258943782,ball_tree,5,distance
knn,PC,HIV-1 IN,std,2,0.8713798977853492,ball_tree,6,uniform
knn,PC,HIV-1 IN,std,2,0.9433560477001705,ball_tree,6,distance
knn,PC,HIV-1 IN,std,2,0.8611584327086882,ball_tree,7,uniform
knn,PC,HIV-1 IN,std,2,0.9412265758091992,ball_tree,7,distance
knn,PC,HIV-1 IN,std,2,0.8526405451448041,ball_tree,10,uniform
knn,PC,HIV-1 IN,std,2,0.9403747870528107,ball_tree,10,distance
knn,PC,HIV-1 IN,std,2,0.8764906303236797,kd_tree,5,uniform
knn,PC,HIV-1 IN,std,2,0.942504258943782,kd_tree,5,distance
knn,PC,HIV-1 IN,std,2,0.8713798977853492,kd_tree,6,uniform
knn,PC,HIV-1 IN,std,2,0.9433560477001705,kd_tree,6,distance
knn,PC,HIV-1 IN,std,2,0.8611584327086882,kd_tree,7,uniform
knn,PC,HIV-1 IN,std,2,0.9412265758091992,kd_tree,7,distance
knn,PC,HIV-1 IN,std,2,0.8526405451448041,kd_tree,10,uniform
knn,PC,HIV-1 IN,std,2,0.9403747870528107,kd_tree,10,distance
knn,PC,HIV-1 IN,std,2,0.8764906303236797,brute,5,uniform
knn,PC,HIV-1 IN,std,2,0.942504258943782,brute,5,distance
knn,PC,HIV-1 IN,std,2,0.8713798977853492,brute,6,uniform
knn,PC,HIV-1 IN,std,2,0.9433560477001705,brute,6,distance
knn,PC,HIV-1 IN,std,2,0.8611584327086882,brute,7,uniform
knn,PC,HIV-1 IN,std,2,0.9412265758091992,brute,7,distance
knn,PC,HIV-1 IN,std,2,0.8526405451448041,brute,10,uniform
knn,PC,HIV-1 IN,std,2,0.9403747870528107,brute,10,distance
knn,PC,HIV-1 IN,std,3,0.8713798977853492,auto,5,uniform
knn,PC,HIV-1 IN,std,3,0.944633730834753,auto,5,distance
knn,PC,HIV-1 IN,std,3,0.8718057921635435,auto,6,uniform
knn,PC,HIV-1 IN,std,3,0.9493185689948892,auto,6,distance
knn,PC,HIV-1 IN,std,3,0.8637137989778535,auto,7,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,auto,7,distance
knn,PC,HIV-1 IN,std,3,0.8581771720613288,auto,10,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,auto,10,distance
knn,PC,HIV-1 IN,std,3,0.8713798977853492,ball_tree,5,uniform
knn,PC,HIV-1 IN,std,3,0.944633730834753,ball_tree,5,distance
knn,PC,HIV-1 IN,std,3,0.8718057921635435,ball_tree,6,uniform
knn,PC,HIV-1 IN,std,3,0.9493185689948892,ball_tree,6,distance
knn,PC,HIV-1 IN,std,3,0.8637137989778535,ball_tree,7,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,ball_tree,7,distance
knn,PC,HIV-1 IN,std,3,0.8581771720613288,ball_tree,10,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,ball_tree,10,distance
knn,PC,HIV-1 IN,std,3,0.8713798977853492,kd_tree,5,uniform
knn,PC,HIV-1 IN,std,3,0.944633730834753,kd_tree,5,distance
knn,PC,HIV-1 IN,std,3,0.8718057921635435,kd_tree,6,uniform
knn,PC,HIV-1 IN,std,3,0.9493185689948892,kd_tree,6,distance
knn,PC,HIV-1 IN,std,3,0.8637137989778535,kd_tree,7,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,kd_tree,7,distance
knn,PC,HIV-1 IN,std,3,0.8581771720613288,kd_tree,10,uniform
knn,PC,HIV-1 IN,std,3,0.9476149914821124,kd_tree,10,distance
knn,PC,HIV-1 IN,std,3,0.8713798977853492,brute,5,uniform
knn,PC,HIV-1 IN,std,3,0.944633730834753,brute,5,distance
knn,PC,HIV-1 IN,std,3,0.8718057921635435,brute,6,uniform
knn,PC,HIV-1 IN,std,3,0.9493185689948892,brute,6,distance
knn,PC,HIV-1 IN,std,3,0.8637137989778535,brute,7,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,brute,7,distance
knn,PC,HIV-1 IN,std,3,0.8581771720613288,brute,10,uniform
knn,PC,HIV-1 IN,std,3,0.9471890971039182,brute,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,auto,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,auto,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,auto,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,auto,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,auto,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,auto,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,auto,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,auto,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,ball_tree,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,ball_tree,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,ball_tree,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,ball_tree,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,ball_tree,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,ball_tree,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,ball_tree,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,ball_tree,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,kd_tree,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,kd_tree,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,kd_tree,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,kd_tree,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,kd_tree,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,kd_tree,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,kd_tree,10,uniform
