model,Descriptor,Enzyme,scaler,split,Accuracy,Category,Enzyme x Descriptor
cnn,PC,HIV-1 IN,std,1,0.8854344122657581,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,std,2,0.8492333901192505,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,std,3,0.8862862010221465,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,std,4,0.8594548551959114,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,minmax,1,0.9011925042589438,A,HIV-1 IN x PC
cnn,PC,HIV-1 IN,minmax,2,0.8862862010221465,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,minmax,3,0.883304940374787,B,HIV-1 IN x PC
cnn,PC,HIV-1 IN,minmax,4,0.8739352640545145,B,HIV-1 IN x PC
cnn,ECFP4,HIV-1 IN,std,1,0.9442078364565588,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,std,2,0.9335604770017036,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,std,3,0.9369676320272572,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,std,4,0.93015332197615,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,minmax,1,0.9501703577512776,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,minmax,2,0.9288756388415672,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,minmax,3,0.9165247018739352,A,HIV-1 IN x ECFP4
cnn,ECFP4,HIV-1 IN,minmax,4,0.9258943781942078,A,HIV-1 IN x ECFP4
cnn,MIX,HIV-1 IN,std,1,0.944633730834753,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,std,2,0.9408006814310051,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,std,3,0.938671209540034,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,std,4,0.9412265758091992,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,minmax,1,0.9369676320272572,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,minmax,2,0.938671209540034,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,minmax,3,0.946763202725724,A,HIV-1 IN x MIX
cnn,MIX,HIV-1 IN,minmax,4,0.938671209540034,A,HIV-1 IN x MIX
cnn,PC,HIV-1 PR,std,1,0.9661672305461576,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,std,2,0.9632672788786854,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,std,3,0.9637506041565974,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,std,4,0.9594006766553892,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,minmax,1,0.9536007733204448,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,minmax,2,0.973417109714838,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,minmax,3,0.9676172063798936,A,HIV-1 PR x PC
cnn,PC,HIV-1 PR,minmax,4,0.9521507974867084,A,HIV-1 PR x PC
