model,Descriptor,Enzyme,scaler,split,Accuracy,var_smoothing,Category,Enzyme x Descriptor
gnb,PC,HIV-1 IN,std,1,0.5477001703577513,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,1,0.5477001703577513,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,1,0.5502555366269165,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,1,0.5506814310051107,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,2,0.5515332197614992,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,2,0.5506814310051107,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,2,0.5506814310051107,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,2,0.5519591141396933,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,3,0.5485519591141397,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,3,0.5489778534923339,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,3,0.5506814310051107,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,3,0.551107325383305,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,4,0.5481260647359455,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,4,0.5485519591141397,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,4,0.5494037478705281,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,std,4,0.551107325383305,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,1,0.5477001703577513,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,1,0.5494037478705281,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,1,0.5502555366269165,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,1,0.5515332197614992,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,2,0.551107325383305,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,2,0.5506814310051107,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,2,0.5515332197614992,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,2,0.5528109028960818,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,3,0.5481260647359455,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,3,0.5502555366269165,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,3,0.5506814310051107,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,3,0.5523850085178875,0.001,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,4,0.5468483816013628,1e-12,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,4,0.5485519591141397,1e-09,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,4,0.5498296422487223,1e-06,D,HIV-1 IN x PC
gnb,PC,HIV-1 IN,minmax,4,0.5515332197614992,0.001,D,HIV-1 IN x PC
gnb,ECFP4,HIV-1 IN,std,1,0.8658432708688245,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,1,0.8671209540034072,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,1,0.868824531516184,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,1,0.8705281090289608,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,2,0.8620102214650767,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,2,0.8662691652470187,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,2,0.8637137989778535,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,2,0.8615843270868825,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,3,0.8509369676320273,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,3,0.8539182282793867,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,3,0.8645655877342419,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,3,0.8637137989778535,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,4,0.8556218057921635,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,4,0.8560477001703578,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,4,0.8594548551959114,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,std,4,0.8598807495741057,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,1,0.8675468483816013,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,1,0.8683986371379898,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,1,0.8705281090289608,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,1,0.8705281090289608,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,2,0.8658432708688245,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,2,0.8649914821124361,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,2,0.8637137989778535,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,2,0.8624361158432708,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8517887563884157,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8615843270868825,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8658432708688245,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,3,0.8598807495741057,0.001,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.856473594548552,1e-12,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.856473594548552,1e-09,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.860732538330494,1e-06,B,HIV-1 IN x ECFP4
gnb,ECFP4,HIV-1 IN,minmax,4,0.8598807495741057,0.001,B,HIV-1 IN x ECFP4
gnb,MIX,HIV-1 IN,std,1,0.8496592844974447,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8377342419080068,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8347529812606473,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,1,0.8245315161839863,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8466780238500852,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8419931856899489,1e-09,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.8390119250425895,1e-06,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,2,0.830068143100511,0.001,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8458262350936968,1e-12,B,HIV-1 IN x MIX
gnb,MIX,HIV-1 IN,std,3,0.8390119250425895,1e-09,B,HIV-1 IN x MIX
